Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
qc_output | SRR8668755	(1, 84.878)	(2, 47.362300000000005)	(3, 60.101400000000005)	(4, 54.4743)	(5, 47.3455)	(6, 46.6364)	(7, 37.9131)	(8, 46.6149)	(9, 45.9794)	(10, 42.851099999999995)	(11, 53.876000000000005)	(12, 52.1101)	(13, 48.8059)	(14, 48.8351)	(15, 48.9622)	(16, 50.9649)	(17, 49.82)	(18, 49.7751)	(19, 50.355000000000004)	(20, 50.0105)	(21, 50.365700000000004)	(22, 49.525000000000006)	(23, 49.451)	(24, 49.137100000000004)	(25, 50.4841)	(26, 48.9873)	(27, 49.5764)	(28, 50.586600000000004)	(29, 50.1748)	(30, 51.4434)	(31, 50.9498)	(32, 49.9607)	(33, 51.090599999999995)	(34, 50.8474)	(35, 49.8696)	(36, 50.33800000000001)	(37, 50.9006)	(38, 50.1235)	(39, 50.2098)	(40, 50.8248)	(41, 50.6247)	(42, 50.4505)	(43, 49.3714)	(44, 48.7308)	(45, 49.1435)	(46, 50.1576)	(47, 49.3601)	(48, 50.546899999999994)	(49, 49.5903)	(50, 49.4567)	(51, 50.639599999999994)	(52, 50.383500000000005)	(53, 49.5018)	(54, 50.1269)	(55, 50.7441)	(56, 50.8892)	(57, 50.099000000000004)	(58, 49.9296)	(59, 49.5509)	(60, 50.0071)	(61, 49.9418)	(62, 48.9748)	(63, 50.421899999999994)	(64, 50.547799999999995)	(65, 49.3416)	(66, 49.6648)	(67, 51.119800000000005)	(68, 49.7336)	(69, 50.2093)	(70, 50.166599999999995)	(71, 49.690200000000004)	(72, 50.7753)	(73, 50.558)	(74, 52.653499999999994)	(75, 64.4988)
qc_output | SRR8668756	(1, 78.14370000000001)	(2, 46.6477)	(3, 55.540299999999995)	(4, 49.865300000000005)	(5, 43.9415)	(6, 43.3076)	(7, 36.629)	(8, 46.6712)	(9, 44.6742)	(10, 40.3581)	(11, 53.3008)	(12, 50.3729)	(13, 47.0321)	(14, 46.7611)	(15, 47.2954)	(16, 48.3296)	(17, 47.505399999999995)	(18, 47.2583)	(19, 48.3043)	(20, 47.646300000000004)	(21, 47.9445)	(22, 47.037)	(23, 46.6511)	(24, 47.6217)	(25, 47.6111)	(26, 47.6256)	(27, 47.538599999999995)	(28, 47.910799999999995)	(29, 48.3353)	(30, 48.5287)	(31, 48.832300000000004)	(32, 47.604600000000005)	(33, 48.178399999999996)	(34, 48.212500000000006)	(35, 47.7849)	(36, 47.9088)	(37, 47.8444)	(38, 47.660799999999995)	(39, 47.5479)	(40, 48.1843)	(41, 47.457100000000004)	(42, 46.714800000000004)	(43, 46.9272)	(44, 46.962199999999996)	(45, 47.4507)	(46, 47.1412)	(47, 46.7689)	(48, 46.8232)	(49, 47.388000000000005)	(50, 47.4749)	(51, 48.542699999999996)	(52, 48.5101)	(53, 47.4131)	(54, 47.5656)	(55, 48.0576)	(56, 47.6342)	(57, 47.335)	(58, 47.0408)	(59, 47.1224)	(60, 47.030699999999996)	(61, 46.9018)	(62, 46.5244)	(63, 47.1835)	(64, 47.8153)	(65, 47.374100000000006)	(66, 47.7184)	(67, 48.2462)	(68, 47.1687)	(69, 47.6031)	(70, 47.888)	(71, 47.0951)	(72, 47.6327)	(73, 47.6655)	(74, 50.1215)	(75, 61.3085)
qc_output | SRR8668757	(1, 84.7385)	(2, 44.2278)	(3, 58.1592)	(4, 51.802800000000005)	(5, 44.9288)	(6, 43.8134)	(7, 35.9578)	(8, 44.469500000000004)	(9, 43.535000000000004)	(10, 40.0643)	(11, 51.441199999999995)	(12, 49.3017)	(13, 46.475699999999996)	(14, 46.3431)	(15, 46.5949)	(16, 48.2554)	(17, 47.408)	(18, 47.286699999999996)	(19, 48.1706)	(20, 47.6434)	(21, 47.6607)	(22, 46.949999999999996)	(23, 46.550599999999996)	(24, 46.7097)	(25, 47.6533)	(26, 46.6107)	(27, 47.0597)	(28, 47.7733)	(29, 47.7755)	(30, 48.5636)	(31, 48.2962)	(32, 47.5468)	(33, 48.2087)	(34, 48.0436)	(35, 47.377900000000004)	(36, 47.4789)	(37, 47.9285)	(38, 47.4385)	(39, 47.5106)	(40, 47.969699999999996)	(41, 47.4811)	(42, 47.3802)	(43, 46.977999999999994)	(44, 46.2814)	(45, 47.0017)	(46, 47.348800000000004)	(47, 46.5892)	(48, 47.4632)	(49, 47.1068)	(50, 46.8307)	(51, 48.0603)	(52, 48.0579)	(53, 47.1966)	(54, 47.4931)	(55, 48.2346)	(56, 47.993)	(57, 47.484300000000005)	(58, 47.1717)	(59, 46.9677)	(60, 47.1318)	(61, 47.2171)	(62, 46.5922)	(63, 47.4479)	(64, 47.838300000000004)	(65, 46.909800000000004)	(66, 47.4765)	(67, 48.6391)	(68, 47.1636)	(69, 47.7452)	(70, 47.8232)	(71, 47.2539)	(72, 48.0531)	(73, 48.1132)	(74, 49.9222)	(75, 61.481300000000005)
qc_output | SRR8668758	(1, 78.7623)	(2, 47.61)	(3, 55.279199999999996)	(4, 51.1634)	(5, 45.4428)	(6, 45.0828)	(7, 37.6789)	(8, 47.4881)	(9, 46.5483)	(10, 41.3377)	(11, 54.9007)	(12, 52.2859)	(13, 47.8115)	(14, 48.396899999999995)	(15, 48.0898)	(16, 50.09909999999999)	(17, 49.2232)	(18, 48.0745)	(19, 49.8214)	(20, 48.558099999999996)	(21, 49.7611)	(22, 47.9339)	(23, 47.786)	(24, 49.1243)	(25, 48.6772)	(26, 49.080400000000004)	(27, 49.2421)	(28, 48.8617)	(29, 50.04579999999999)	(30, 49.4138)	(31, 50.41330000000001)	(32, 48.3835)	(33, 49.9317)	(34, 50.0445)	(35, 49.845)	(36, 50.03999999999999)	(37, 48.484)	(38, 48.4915)	(39, 49.697)	(40, 49.1418)	(41, 48.6323)	(42, 48.574)	(43, 47.855799999999995)	(44, 48.5329)	(45, 49.1121)	(46, 48.2029)	(47, 47.9178)	(48, 47.9856)	(49, 49.0006)	(50, 49.3448)	(51, 50.2155)	(52, 50.00639999999999)	(53, 48.3216)	(54, 49.2622)	(55, 48.888)	(56, 48.6042)	(57, 48.873)	(58, 47.9152)	(59, 48.8448)	(60, 48.7749)	(61, 47.9484)	(62, 47.39)	(63, 48.961)	(64, 48.6687)	(65, 48.0041)	(66, 48.1288)	(67, 48.828700000000005)	(68, 47.807)	(69, 48.473699999999994)	(70, 48.682199999999995)	(71, 48.0923)	(72, 48.6705)	(73, 48.7181)	(74, 51.0914)	(75, 62.863899999999994)
qc_output | SRR8668759	(1, 83.0686)	(2, 56.0373)	(3, 63.090199999999996)	(4, 58.8673)	(5, 52.255700000000004)	(6, 52.4147)	(7, 44.5731)	(8, 53.648700000000005)	(9, 52.54259999999999)	(10, 48.8667)	(11, 61.297599999999996)	(12, 58.367599999999996)	(13, 55.0979)	(14, 54.637100000000004)	(15, 55.5722)	(16, 56.821999999999996)	(17, 55.2019)	(18, 55.1487)	(19, 56.2944)	(20, 56.1759)	(21, 56.312799999999996)	(22, 55.570699999999995)	(23, 54.70159999999999)	(24, 55.508100000000006)	(25, 55.66)	(26, 55.554199999999994)	(27, 55.4205)	(28, 56.155100000000004)	(29, 56.5872)	(30, 56.8149)	(31, 56.698499999999996)	(32, 55.505)	(33, 56.6608)	(34, 56.51389999999999)	(35, 55.8356)	(36, 56.2194)	(37, 55.716)	(38, 56.0982)	(39, 56.2684)	(40, 56.06)	(41, 56.076499999999996)	(42, 55.138799999999996)	(43, 55.1457)	(44, 54.3608)	(45, 55.340900000000005)	(46, 55.5343)	(47, 54.892300000000006)	(48, 55.950500000000005)	(49, 55.789500000000004)	(50, 55.2701)	(51, 56.8768)	(52, 56.218900000000005)	(53, 56.1154)	(54, 56.2805)	(55, 55.96020000000001)	(56, 56.1351)	(57, 55.753699999999995)	(58, 55.2217)	(59, 55.56870000000001)	(60, 54.595800000000004)	(61, 55.2725)	(62, 54.403)	(63, 55.491299999999995)	(64, 56.25790000000001)	(65, 55.2991)	(66, 56.013999999999996)	(67, 56.51389999999999)	(68, 55.277)	(69, 56.220400000000005)	(70, 56.300700000000006)	(71, 54.8067)	(72, 55.9576)	(73, 56.4796)	(74, 58.81849999999999)	(75, 69.3506)
qc_output | SRR8668769	(1, 80.6979)	(2, 54.129599999999996)	(3, 62.846999999999994)	(4, 57.540800000000004)	(5, 50.879)	(6, 49.2067)	(7, 42.0018)	(8, 50.5008)	(9, 49.2777)	(10, 45.9738)	(11, 58.0516)	(12, 55.086400000000005)	(13, 53.2509)	(14, 52.358000000000004)	(15, 52.486)	(16, 54.086)	(17, 52.9964)	(18, 53.048899999999996)	(19, 54.140299999999996)	(20, 53.7134)	(21, 53.5828)	(22, 53.285000000000004)	(23, 51.871599999999994)	(24, 52.64489999999999)	(25, 53.493199999999995)	(26, 52.9686)	(27, 53.3254)	(28, 53.5667)	(29, 54.062200000000004)	(30, 54.400000000000006)	(31, 54.6135)	(32, 53.9447)	(33, 54.265699999999995)	(34, 54.30239999999999)	(35, 53.264599999999994)	(36, 53.512800000000006)	(37, 53.420500000000004)	(38, 53.8196)	(39, 53.5194)	(40, 54.0049)	(41, 53.047999999999995)	(42, 52.227500000000006)	(43, 53.2416)	(44, 52.29240000000001)	(45, 52.5096)	(46, 53.3042)	(47, 52.1629)	(48, 52.241899999999994)	(49, 53.245200000000004)	(50, 52.5494)	(51, 54.1289)	(52, 54.6833)	(53, 53.4598)	(54, 53.95759999999999)	(55, 54.0814)	(56, 53.651700000000005)	(57, 53.478899999999996)	(58, 53.0242)	(59, 53.1083)	(60, 51.9945)	(61, 52.59819999999999)	(62, 52.424800000000005)	(63, 52.2428)	(64, 53.8219)	(65, 53.081900000000005)	(66, 53.395700000000005)	(67, 54.585899999999995)	(68, 52.6072)	(69, 54.128600000000006)	(70, 54.1712)	(71, 53.124300000000005)	(72, 53.9862)	(73, 53.7099)	(74, 56.0867)	(75, 65.6272)
qc_output | SRR8668771	(1, 80.9083)	(2, 53.6614)	(3, 62.73180000000001)	(4, 56.7763)	(5, 50.18319999999999)	(6, 47.9795)	(7, 40.899)	(8, 49.764)	(9, 48.2873)	(10, 45.1129)	(11, 57.2242)	(12, 54.4666)	(13, 52.132999999999996)	(14, 51.0822)	(15, 51.41480000000001)	(16, 52.8004)	(17, 51.956500000000005)	(18, 51.902800000000006)	(19, 52.2493)	(20, 52.1988)	(21, 52.414)	(22, 51.895599999999995)	(23, 51.320699999999995)	(24, 51.41440000000001)	(25, 52.498)	(26, 51.870099999999994)	(27, 52.124700000000004)	(28, 52.0408)	(29, 52.432199999999995)	(30, 53.463899999999995)	(31, 53.0057)	(32, 52.505599999999994)	(33, 52.87539999999999)	(34, 52.539899999999996)	(35, 52.0548)	(36, 52.5693)	(37, 52.2795)	(38, 52.352900000000005)	(39, 52.310100000000006)	(40, 52.8882)	(41, 52.5481)	(42, 51.872600000000006)	(43, 51.93879999999999)	(44, 51.4514)	(45, 51.4055)	(46, 52.3117)	(47, 51.677499999999995)	(48, 52.4764)	(49, 52.3497)	(50, 51.7379)	(51, 52.8724)	(52, 53.000899999999994)	(53, 51.8943)	(54, 52.7567)	(55, 52.954100000000004)	(56, 52.9455)	(57, 52.3349)	(58, 52.1767)	(59, 52.3251)	(60, 51.8589)	(61, 51.7012)	(62, 51.490899999999996)	(63, 51.8727)	(64, 52.66459999999999)	(65, 51.6691)	(66, 51.9354)	(67, 53.1659)	(68, 51.829899999999995)	(69, 52.843700000000005)	(70, 52.502)	(71, 52.2825)	(72, 52.745)	(73, 52.431799999999996)	(74, 54.811299999999996)	(75, 65.41590000000001)
qc_output | SRR8668772	(1, 80.3951)	(2, 51.7919)	(3, 60.787800000000004)	(4, 54.3836)	(5, 47.7429)	(6, 45.7618)	(7, 39.067)	(8, 48.577999999999996)	(9, 46.597899999999996)	(10, 42.9319)	(11, 55.463499999999996)	(12, 52.429899999999996)	(13, 50.043000000000006)	(14, 49.6375)	(15, 50.071799999999996)	(16, 51.0871)	(17, 50.67080000000001)	(18, 50.611200000000004)	(19, 51.2213)	(20, 50.9819)	(21, 50.639900000000004)	(22, 50.4461)	(23, 49.355399999999996)	(24, 49.9164)	(25, 50.8344)	(26, 50.306200000000004)	(27, 50.5269)	(28, 50.83069999999999)	(29, 51.0831)	(30, 51.5143)	(31, 51.433499999999995)	(32, 51.1379)	(33, 51.49589999999999)	(34, 51.0197)	(35, 50.416000000000004)	(36, 50.556599999999996)	(37, 50.5695)	(38, 51.065400000000004)	(39, 50.5326)	(40, 51.107899999999994)	(41, 50.2547)	(42, 49.4768)	(43, 50.4174)	(44, 49.7004)	(45, 49.682900000000004)	(46, 50.078100000000006)	(47, 49.3915)	(48, 49.345299999999995)	(49, 50.3255)	(50, 50.0394)	(51, 51.146)	(52, 51.5894)	(53, 50.2691)	(54, 50.9679)	(55, 50.9851)	(56, 50.85849999999999)	(57, 50.7138)	(58, 49.938900000000004)	(59, 50.2273)	(60, 49.2348)	(61, 49.5039)	(62, 49.5966)	(63, 49.522800000000004)	(64, 50.8829)	(65, 50.1503)	(66, 50.432500000000005)	(67, 51.3761)	(68, 49.9425)	(69, 51.223)	(70, 51.129599999999996)	(71, 50.4466)	(72, 50.970099999999995)	(73, 50.6831)	(74, 52.887499999999996)	(75, 63.8198)
qc_output | SRR8668773	(1, 80.6145)	(2, 51.3228)	(3, 61.0341)	(4, 54.4729)	(5, 48.2044)	(6, 45.9449)	(7, 39.1673)	(8, 47.8734)	(9, 46.5088)	(10, 43.1149)	(11, 55.1472)	(12, 52.2288)	(13, 50.5043)	(14, 49.6485)	(15, 49.9707)	(16, 51.1517)	(17, 50.3219)	(18, 50.2931)	(19, 51.2027)	(20, 50.605199999999996)	(21, 50.4769)	(22, 50.342699999999994)	(23, 49.1101)	(24, 49.7595)	(25, 50.564)	(26, 49.998799999999996)	(27, 50.41480000000001)	(28, 50.633399999999995)	(29, 51.004000000000005)	(30, 51.36619999999999)	(31, 51.46469999999999)	(32, 51.0221)	(33, 51.2939)	(34, 51.1725)	(35, 50.2355)	(36, 50.5384)	(37, 50.407199999999996)	(38, 50.7662)	(39, 50.333099999999995)	(40, 50.94030000000001)	(41, 49.9852)	(42, 49.4912)	(43, 50.4924)	(44, 49.485)	(45, 49.7403)	(46, 50.3512)	(47, 49.1575)	(48, 49.4253)	(49, 50.321000000000005)	(50, 49.6288)	(51, 51.135)	(52, 51.6018)	(53, 50.449299999999994)	(54, 51.0561)	(55, 51.19820000000001)	(56, 50.734199999999994)	(57, 50.6642)	(58, 50.0304)	(59, 50.1193)	(60, 49.3818)	(61, 49.759100000000004)	(62, 49.6374)	(63, 49.4912)	(64, 50.8939)	(65, 50.118399999999994)	(66, 50.515600000000006)	(67, 51.6485)	(68, 49.8844)	(69, 51.25880000000001)	(70, 51.3625)	(71, 50.383100000000006)	(72, 51.1537)	(73, 50.85659999999999)	(74, 53.119499999999995)	(75, 63.187400000000004)
qc_output | SRR8668774	(1, 80.6828)	(2, 46.9521)	(3, 54.8892)	(4, 50.22879999999999)	(5, 44.8829)	(6, 44.7859)	(7, 37.55)	(8, 47.1611)	(9, 45.8893)	(10, 41.4473)	(11, 54.136799999999994)	(12, 51.4531)	(13, 48.028999999999996)	(14, 47.7582)	(15, 48.0598)	(16, 49.561)	(17, 48.8589)	(18, 48.5536)	(19, 49.1645)	(20, 48.873)	(21, 49.0913)	(22, 48.523300000000006)	(23, 47.983599999999996)	(24, 48.4797)	(25, 49.1979)	(26, 48.2467)	(27, 48.8319)	(28, 49.1453)	(29, 49.679)	(30, 49.641200000000005)	(31, 49.985600000000005)	(32, 48.794399999999996)	(33, 49.6442)	(34, 49.6417)	(35, 48.574)	(36, 49.1269)	(37, 48.8716)	(38, 48.845)	(39, 48.8467)	(40, 49.355199999999996)	(41, 48.8464)	(42, 48.1638)	(43, 47.7933)	(44, 47.5522)	(45, 48.1329)	(46, 48.4214)	(47, 47.8224)	(48, 48.0122)	(49, 48.653)	(50, 48.680800000000005)	(51, 49.6521)	(52, 49.5937)	(53, 48.0063)	(54, 48.646)	(55, 48.7155)	(56, 48.7738)	(57, 48.2405)	(58, 47.7084)	(59, 48.1175)	(60, 48.0887)	(61, 47.5715)	(62, 47.5103)	(63, 48.612100000000005)	(64, 48.9446)	(65, 48.1326)	(66, 48.2041)	(67, 49.3412)	(68, 47.951)	(69, 48.7153)	(70, 48.9305)	(71, 48.173300000000005)	(72, 48.629099999999994)	(73, 48.6644)	(74, 50.9906)	(75, 62.984700000000004)
