Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
qc_output | SRR8668755	(1, 84.8287)	(2, 47.3447)	(3, 60.100699999999996)	(4, 54.4805)	(5, 47.3489)	(6, 46.651900000000005)	(7, 37.907999999999994)	(8, 46.6093)	(9, 45.984199999999994)	(10, 42.850899999999996)	(11, 53.8805)	(12, 52.106399999999994)	(13, 48.8049)	(14, 48.8377)	(15, 48.9581)	(16, 50.961800000000004)	(17, 49.8183)	(18, 49.777)	(19, 50.3618)	(20, 50.0131)	(21, 50.3717)	(22, 49.5293)	(23, 49.4556)	(24, 49.146699999999996)	(25, 50.484300000000005)	(26, 48.9933)	(27, 49.5871)	(28, 50.5938)	(29, 50.185900000000004)	(30, 51.455)	(31, 50.9631)	(32, 49.9739)	(33, 51.105500000000006)	(34, 50.8617)	(35, 49.8824)	(36, 50.3541)	(37, 50.9161)	(38, 50.132200000000005)	(39, 50.22370000000001)	(40, 50.8338)	(41, 50.6383)	(42, 50.467600000000004)	(43, 49.3836)	(44, 48.739900000000006)	(45, 49.1526)	(46, 50.1605)	(47, 49.3658)	(48, 50.55030000000001)	(49, 49.5998)	(50, 49.4695)	(51, 50.65539999999999)	(52, 50.39900000000001)	(53, 49.521)	(54, 50.13609999999999)	(55, 50.7522)	(56, 50.901700000000005)	(57, 50.109899999999996)	(58, 49.945299999999996)	(59, 49.567899999999995)	(60, 50.023399999999995)	(61, 49.959199999999996)	(62, 48.9902)	(63, 50.430299999999995)	(64, 50.55349999999999)	(65, 49.3595)	(66, 49.6891)	(67, 51.135200000000005)	(68, 49.7605)	(69, 50.2463)	(70, 50.2109)	(71, 49.7487)	(72, 50.8428)	(73, 50.62219999999999)	(74, 52.6985)	(75, 64.6061)
qc_output | SRR8668756	(1, 78.03219999999999)	(2, 46.6244)	(3, 55.6798)	(4, 50.207)	(5, 44.1762)	(6, 43.406299999999995)	(7, 36.4806)	(8, 46.5394)	(9, 44.8799)	(10, 40.5711)	(11, 53.45100000000001)	(12, 50.386900000000004)	(13, 47.1964)	(14, 47.077999999999996)	(15, 47.2687)	(16, 48.6472)	(17, 47.8517)	(18, 47.5366)	(19, 48.7632)	(20, 47.949799999999996)	(21, 48.3687)	(22, 47.266799999999996)	(23, 46.6409)	(24, 47.698800000000006)	(25, 47.814299999999996)	(26, 47.6636)	(27, 47.7922)	(28, 48.1753)	(29, 48.64)	(30, 48.827799999999996)	(31, 48.9625)	(32, 47.9615)	(33, 48.5715)	(34, 48.2787)	(35, 47.7534)	(36, 47.8938)	(37, 48.0723)	(38, 47.8791)	(39, 47.693200000000004)	(40, 48.1104)	(41, 47.4267)	(42, 47.0876)	(43, 47.254200000000004)	(44, 47.0721)	(45, 47.7813)	(46, 47.449400000000004)	(47, 46.7956)	(48, 47.178399999999996)	(49, 47.706199999999995)	(50, 47.5445)	(51, 48.972)	(52, 48.9581)	(53, 47.8889)	(54, 48.106300000000005)	(55, 48.4134)	(56, 48.0561)	(57, 47.7774)	(58, 47.2652)	(59, 47.5548)	(60, 47.5238)	(61, 47.313300000000005)	(62, 47.126200000000004)	(63, 47.7016)	(64, 48.3617)	(65, 47.5995)	(66, 48.207899999999995)	(67, 48.9138)	(68, 47.4899)	(69, 48.3848)	(70, 48.3865)	(71, 47.7175)	(72, 48.2186)	(73, 48.1867)	(74, 50.580000000000005)	(75, 61.4432)
qc_output | SRR8668757	(1, 84.6853)	(2, 44.1985)	(3, 58.1499)	(4, 51.796299999999995)	(5, 44.9189)	(6, 43.813)	(7, 35.9417)	(8, 44.452000000000005)	(9, 43.5257)	(10, 40.046)	(11, 51.4256)	(12, 49.282399999999996)	(13, 46.4578)	(14, 46.3255)	(15, 46.5739)	(16, 48.2354)	(17, 47.3895)	(18, 47.2682)	(19, 48.1562)	(20, 47.6268)	(21, 47.6477)	(22, 46.9352)	(23, 46.537099999999995)	(24, 46.699400000000004)	(25, 47.639199999999995)	(26, 46.6014)	(27, 47.0548)	(28, 47.7671)	(29, 47.7724)	(30, 48.5612)	(31, 48.2973)	(32, 47.5465)	(33, 48.2104)	(34, 48.044799999999995)	(35, 47.3788)	(36, 47.4832)	(37, 47.9325)	(38, 47.437400000000004)	(39, 47.5132)	(40, 47.9695)	(41, 47.4837)	(42, 47.3843)	(43, 46.9796)	(44, 46.280300000000004)	(45, 47.0026)	(46, 47.3458)	(47, 46.5872)	(48, 47.4624)	(49, 47.1094)	(50, 46.835100000000004)	(51, 48.0657)	(52, 48.0642)	(53, 47.204299999999996)	(54, 47.4951)	(55, 48.2366)	(56, 47.997299999999996)	(57, 47.4887)	(58, 47.1782)	(59, 46.974700000000006)	(60, 47.1361)	(61, 47.2231)	(62, 46.5956)	(63, 47.4484)	(64, 47.8372)	(65, 46.9155)	(66, 47.4844)	(67, 48.6425)	(68, 47.1744)	(69, 47.7599)	(70, 47.841)	(71, 47.284)	(72, 48.1021)	(73, 48.1617)	(74, 49.952999999999996)	(75, 61.5557)
qc_output | SRR8668758	(1, 78.2534)	(2, 47.8433)	(3, 55.55179999999999)	(4, 51.7763)	(5, 46.0154)	(6, 45.564)	(7, 37.8815)	(8, 47.619099999999996)	(9, 47.0788)	(10, 41.8312)	(11, 55.3253)	(12, 52.6169)	(13, 48.173)	(14, 49.0154)	(15, 48.3303)	(16, 50.678900000000006)	(17, 49.8637)	(18, 48.5634)	(19, 50.556599999999996)	(20, 49.0494)	(21, 50.4517)	(22, 48.3797)	(23, 48.048)	(24, 49.5529)	(25, 49.0824)	(26, 49.4788)	(27, 49.778099999999995)	(28, 49.3258)	(29, 50.62140000000001)	(30, 49.8936)	(31, 50.869)	(32, 48.9091)	(33, 50.5991)	(34, 50.453199999999995)	(35, 50.2139)	(36, 50.48010000000001)	(37, 48.9088)	(38, 48.9727)	(39, 50.2714)	(40, 49.3923)	(41, 48.9212)	(42, 49.2724)	(43, 48.4414)	(44, 49.0284)	(45, 49.7647)	(46, 48.739900000000006)	(47, 48.2423)	(48, 48.554700000000004)	(49, 49.6379)	(50, 49.810500000000005)	(51, 50.9702)	(52, 50.8056)	(53, 49.0553)	(54, 50.099700000000006)	(55, 49.5095)	(56, 49.2657)	(57, 49.6145)	(58, 48.4536)	(59, 49.5825)	(60, 49.6162)	(61, 48.6725)	(62, 48.2592)	(63, 49.792500000000004)	(64, 49.4619)	(65, 48.5341)	(66, 48.8519)	(67, 49.669799999999995)	(68, 48.3354)	(69, 49.195299999999996)	(70, 49.0045)	(71, 48.539300000000004)	(72, 49.195499999999996)	(73, 49.4097)	(74, 52.1183)	(75, 63.7864)
qc_output | SRR8668759	(1, 82.1137)	(2, 51.9378)	(3, 57.8663)	(4, 64.9867)	(5, 59.4642)	(6, 59.61109999999999)	(7, 42.3975)	(8, 50.0015)	(9, 59.6921)	(10, 46.0198)	(11, 67.02850000000001)	(12, 64.5177)	(13, 51.2409)	(14, 61.4201)	(15, 51.6215)	(16, 63.2364)	(17, 61.9151)	(18, 51.29089999999999)	(19, 62.803200000000004)	(20, 52.1441)	(21, 62.821099999999994)	(22, 51.6177)	(23, 50.904)	(24, 62.144200000000005)	(25, 51.715999999999994)	(26, 62.146699999999996)	(27, 62.00449999999999)	(28, 52.119400000000006)	(29, 63.0116)	(30, 52.6624)	(31, 63.0726)	(32, 51.559)	(33, 63.0235)	(34, 52.27929999999999)	(35, 51.744800000000005)	(36, 63.022800000000004)	(37, 62.509)	(38, 52.20399999999999)	(39, 52.2699)	(40, 52.0692)	(41, 52.425399999999996)	(42, 61.641)	(43, 56.4982)	(44, 61.108399999999996)	(45, 62.134699999999995)	(46, 55.6373)	(47, 52.722199999999994)	(48, 52.327400000000004)	(49, 59.51)	(50, 61.1719)	(51, 63.015600000000006)	(52, 62.815799999999996)	(53, 56.60770000000001)	(54, 62.288900000000005)	(55, 55.622400000000006)	(56, 53.4219)	(57, 60.209599999999995)	(58, 53.4093)	(59, 60.9318)	(60, 61.0071)	(61, 55.301100000000005)	(62, 51.929)	(63, 60.031800000000004)	(64, 53.3312)	(65, 50.97239999999999)	(66, 51.112199999999994)	(67, 51.21019999999999)	(68, 49.9743)	(69, 50.4884)	(70, 50.2474)	(71, 48.9977)	(72, 49.792199999999994)	(73, 50.5399)	(74, 59.532399999999996)	(75, 71.8943)
qc_output | SRR8668769	(1, 80.65259999999999)	(2, 54.094500000000004)	(3, 62.83069999999999)	(4, 57.5302)	(5, 50.865700000000004)	(6, 49.1996)	(7, 41.9863)	(8, 50.48160000000001)	(9, 49.2645)	(10, 45.9521)	(11, 58.0329)	(12, 55.070600000000006)	(13, 53.2308)	(14, 52.3408)	(15, 52.466100000000004)	(16, 54.06530000000001)	(17, 52.9799)	(18, 53.0323)	(19, 54.122099999999996)	(20, 53.69540000000001)	(21, 53.5667)	(22, 53.267900000000004)	(23, 51.8566)	(24, 52.6316)	(25, 53.47769999999999)	(26, 52.9539)	(27, 53.309200000000004)	(28, 53.550200000000004)	(29, 54.047900000000006)	(30, 54.3878)	(31, 54.6016)	(32, 53.9308)	(33, 54.255399999999995)	(34, 54.290499999999994)	(35, 53.2537)	(36, 53.5068)	(37, 53.413900000000005)	(38, 53.813900000000004)	(39, 53.514799999999994)	(40, 53.9991)	(41, 53.04299999999999)	(42, 52.2212)	(43, 53.2307)	(44, 52.2819)	(45, 52.495999999999995)	(46, 53.290000000000006)	(47, 52.154500000000006)	(48, 52.2316)	(49, 53.2335)	(50, 52.540299999999995)	(51, 54.116200000000006)	(52, 54.6746)	(53, 53.4527)	(54, 53.9477)	(55, 54.07189999999999)	(56, 53.6461)	(57, 53.469100000000005)	(58, 53.021300000000004)	(59, 53.107000000000006)	(60, 51.992000000000004)	(61, 52.598)	(62, 52.424800000000005)	(63, 52.2427)	(64, 53.8206)	(65, 53.084399999999995)	(66, 53.3964)	(67, 54.5833)	(68, 52.6138)	(69, 54.1327)	(70, 54.1775)	(71, 53.141000000000005)	(72, 54.0049)	(73, 53.7435)	(74, 56.0925)	(75, 65.7192)
qc_output | SRR8668771	(1, 80.8742)	(2, 53.642)	(3, 62.727)	(4, 56.77680000000001)	(5, 50.1816)	(6, 47.9823)	(7, 40.889399999999995)	(8, 49.7504)	(9, 48.282599999999995)	(10, 45.1019)	(11, 57.2175)	(12, 54.4544)	(13, 52.121399999999994)	(14, 51.074200000000005)	(15, 51.4011)	(16, 52.7884)	(17, 51.949)	(18, 51.897099999999995)	(19, 52.2447)	(20, 52.19279999999999)	(21, 52.4079)	(22, 51.888999999999996)	(23, 51.3158)	(24, 51.4116)	(25, 52.4902)	(26, 51.865399999999994)	(27, 52.1226)	(28, 52.03830000000001)	(29, 52.4313)	(30, 53.4642)	(31, 53.006699999999995)	(32, 52.5069)	(33, 52.8768)	(34, 52.5415)	(35, 52.0568)	(36, 52.5728)	(37, 52.2826)	(38, 52.35189999999999)	(39, 52.312400000000004)	(40, 52.8882)	(41, 52.5515)	(42, 51.874900000000004)	(43, 51.9382)	(44, 51.449999999999996)	(45, 51.403600000000004)	(46, 52.305800000000005)	(47, 51.6736)	(48, 52.4705)	(49, 52.3486)	(50, 51.73799999999999)	(51, 52.8744)	(52, 53.004200000000004)	(53, 51.9001)	(54, 52.755300000000005)	(55, 52.9545)	(56, 52.94839999999999)	(57, 52.337900000000005)	(58, 52.1821)	(59, 52.3323)	(60, 51.866299999999995)	(61, 51.71059999999999)	(62, 51.4985)	(63, 51.876599999999996)	(64, 52.6671)	(65, 51.6791)	(66, 51.9493)	(67, 53.175)	(68, 51.8417)	(69, 52.8608)	(70, 52.5305)	(71, 52.3131)	(72, 52.776999999999994)	(73, 52.488299999999995)	(74, 54.8331)	(75, 65.50540000000001)
qc_output | SRR8668772	(1, 80.3247)	(2, 51.731300000000005)	(3, 60.74699999999999)	(4, 54.3502)	(5, 47.7109)	(6, 45.7338)	(7, 39.0332)	(8, 48.538)	(9, 46.5623)	(10, 42.8909)	(11, 55.4215)	(12, 52.39)	(13, 50.0013)	(14, 49.5962)	(15, 50.029599999999995)	(16, 51.0441)	(17, 50.6316)	(18, 50.5698)	(19, 51.1802)	(20, 50.9424)	(21, 50.6024)	(22, 50.4063)	(23, 49.3186)	(24, 49.8821)	(25, 50.798100000000005)	(26, 50.2714)	(27, 50.4918)	(28, 50.794200000000004)	(29, 51.050799999999995)	(30, 51.484399999999994)	(31, 51.4045)	(32, 51.1073)	(33, 51.4678)	(34, 50.989700000000006)	(35, 50.387899999999995)	(36, 50.5328)	(37, 50.5458)	(38, 51.0436)	(39, 50.510999999999996)	(40, 51.085800000000006)	(41, 50.230799999999995)	(42, 49.4518)	(43, 50.389700000000005)	(44, 49.673899999999996)	(45, 49.6531)	(46, 50.049699999999994)	(47, 49.3665)	(48, 49.317499999999995)	(49, 50.296600000000005)	(50, 50.010200000000005)	(51, 51.115500000000004)	(52, 51.5616)	(53, 50.2463)	(54, 50.9415)	(55, 50.956500000000005)	(56, 50.833)	(57, 50.6846)	(58, 49.9163)	(59, 50.205999999999996)	(60, 49.2115)	(61, 49.483700000000006)	(62, 49.574600000000004)	(63, 49.5019)	(64, 50.8622)	(65, 50.134299999999996)	(66, 50.4108)	(67, 51.35340000000001)	(68, 49.9264)	(69, 51.2054)	(70, 51.112100000000005)	(71, 50.44220000000001)	(72, 50.9727)	(73, 50.7075)	(74, 52.884299999999996)	(75, 63.9042)
qc_output | SRR8668773	(1, 80.5361)	(2, 51.2526)	(3, 60.9826)	(4, 54.4304)	(5, 48.1633)	(6, 45.907199999999996)	(7, 39.1205)	(8, 47.8214)	(9, 46.4639)	(10, 43.0628)	(11, 55.0987)	(12, 52.1796)	(13, 50.449600000000004)	(14, 49.5986)	(15, 49.9166)	(16, 51.099399999999996)	(17, 50.2719)	(18, 50.2416)	(19, 51.152)	(20, 50.5542)	(21, 50.429100000000005)	(22, 50.2905)	(23, 49.061)	(24, 49.7139)	(25, 50.5162)	(26, 49.9525)	(27, 50.370599999999996)	(28, 50.58669999999999)	(29, 50.9598)	(30, 51.3233)	(31, 51.423700000000004)	(32, 50.978699999999996)	(33, 51.253899999999994)	(34, 51.129000000000005)	(35, 50.193)	(36, 50.504000000000005)	(37, 50.3698)	(38, 50.7306)	(39, 50.2954)	(40, 50.905199999999994)	(41, 49.9487)	(42, 49.453)	(43, 50.451100000000004)	(44, 49.4463)	(45, 49.6999)	(46, 50.310500000000005)	(47, 49.1209)	(48, 49.3857)	(49, 50.279799999999994)	(50, 49.588)	(51, 51.093500000000006)	(52, 51.5636)	(53, 50.413399999999996)	(54, 51.017100000000006)	(55, 51.15880000000001)	(56, 50.6976)	(57, 50.624)	(58, 49.9932)	(59, 50.084399999999995)	(60, 49.3447)	(61, 49.7232)	(62, 49.6015)	(63, 49.4539)	(64, 50.8541)	(65, 50.083)	(66, 50.4749)	(67, 51.605199999999996)	(68, 49.847)	(69, 51.21639999999999)	(70, 51.3186)	(71, 50.3549)	(72, 51.1301)	(73, 50.8467)	(74, 53.0805)	(75, 63.241099999999996)
qc_output | SRR8668774	(1, 80.5343)	(2, 47.025800000000004)	(3, 55.0349)	(4, 50.4297)	(5, 44.9896)	(6, 44.7828)	(7, 37.4859)	(8, 47.0903)	(9, 46.0656)	(10, 41.6357)	(11, 54.2864)	(12, 51.4473)	(13, 48.0798)	(14, 48.0844)	(15, 48.133900000000004)	(16, 49.8282)	(17, 49.2049)	(18, 48.8981)	(19, 49.6269)	(20, 49.1954)	(21, 49.342999999999996)	(22, 48.707)	(23, 48.0313)	(24, 48.4439)	(25, 49.4563)	(26, 48.3216)	(27, 49.0493)	(28, 49.4516)	(29, 49.8328)	(30, 50.0085)	(31, 50.118700000000004)	(32, 49.027100000000004)	(33, 49.9073)	(34, 49.622899999999994)	(35, 48.6132)	(36, 49.1934)	(37, 49.0749)	(38, 49.007400000000004)	(39, 48.9905)	(40, 49.4004)	(41, 48.8646)	(42, 48.432900000000004)	(43, 48.2045)	(44, 47.713100000000004)	(45, 48.3313)	(46, 48.7806)	(47, 47.9386)	(48, 48.3095)	(49, 49.0416)	(50, 48.817)	(51, 50.1073)	(52, 50.124199999999995)	(53, 48.5619)	(54, 49.2341)	(55, 49.1145)	(56, 49.1657)	(57, 48.7784)	(58, 48.019600000000004)	(59, 48.5616)	(60, 48.6159)	(61, 48.069)	(62, 48.147800000000004)	(63, 49.0829)	(64, 49.5464)	(65, 48.5297)	(66, 48.6016)	(67, 50.0393)	(68, 48.3683)	(69, 49.6498)	(70, 49.5972)	(71, 48.705)	(72, 49.3216)	(73, 49.0084)	(74, 51.4185)	(75, 62.99209999999999)
