Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
qc_output | SRR8668755	(1, 0.0)	(2, 0.0007495970000000001)	(3, 0.000157751)	(4, 0.0)	(5, 0.0)	(6, 0.014794999999999999)	(7, 0.0)	(8, 0.000319977)	(9, 0.000161107)	(10, 4.92273e-05)	(11, 0.000196909)	(12, 4.13957e-05)	(13, 0.000316621)	(14, 5.3702499999999996e-05)	(15, 9.621690000000001e-05)	(16, 0.000153276)	(17, 9.28605e-05)	(18, 5.03461e-05)	(19, 0.000288651)	(20, 0.000196909)	(21, 5.81777e-05)	(22, 0.00027858200000000004)	(23, 0.00043073899999999997)	(24, 0.00011187999999999999)	(25, 0.00043633299999999996)	(26, 0.000398296)	(27, 0.00025397099999999997)	(28, 0.00046654899999999997)	(29, 0.0005941000000000001)	(30, 0.000635502)	(31, 0.000844732)	(32, 0.0007977479999999999)	(33, 0.000767546)	(34, 0.000819023)	(35, 0.000600847)	(36, 0.000698209)	(37, 0.000589689)	(38, 0.0006579649999999999)	(39, 0.00104517)	(40, 0.000630034)	(41, 0.00242512)	(42, 0.00243755)	(43, 0.0011416100000000002)	(44, 0.00230685)	(45, 0.00102197)	(46, 0.00123025)	(47, 0.0009325459999999999)	(48, 0.000868804)	(49, 0.000792748)	(50, 0.000893619)	(51, 0.00130251)	(52, 0.0008008830000000001)	(53, 0.000177006)	(54, 9.86024e-05)	(55, 0.00046508700000000004)	(56, 0.000357573)	(57, 0.00060544)	(58, 0.000475508)	(59, 0.000498092)	(60, 0.00132424)	(61, 0.00110025)	(62, 0.0010154)	(63, 0.0011935300000000002)	(64, 0.00082096)	(65, 0.0009161750000000001)	(66, 0.00104447)	(67, 0.00162335)	(68, 0.000473494)	(69, 0.000488311)	(70, 0.000495878)	(71, 0.000437165)	(72, 0.000194378)	(73, 0.000152061)	(74, 0.00022703300000000002)	(75, 0.0)
qc_output | SRR8668756	(1, 0.0)	(2, 0.000963457)	(3, 0.000250862)	(4, 0.0)	(5, 0.0)	(6, 0.0193564)	(7, 0.000532022)	(8, 1.09071e-05)	(9, 0.000164818)	(10, 0.000126037)	(11, 2.3026e-05)	(12, 7.756129999999999e-05)	(13, 2.0602199999999997e-05)	(14, 0.000103011)	(15, 7.02899e-05)	(16, 0.000100587)	(17, 0.00090165)	(18, 8.84683e-05)	(19, 0.00011270599999999999)	(20, 0.000182996)	(21, 0.00010179899999999999)	(22, 0.00011391799999999999)	(23, 0.000453249)	(24, 0.0005005130000000001)	(25, 0.00025571000000000003)	(26, 0.000758695)	(27, 0.000392773)	(28, 0.000591662)	(29, 0.000795595)	(30, 0.0015929)	(31, 0.000687942)	(32, 0.000539958)	(33, 0.00131656)	(34, 0.0005921650000000001)	(35, 0.000701395)	(36, 0.000526698)	(37, 0.00032528)	(38, 0.00036175)	(39, 0.000220972)	(40, 0.00024530200000000003)	(41, 0.000290287)	(42, 0.000358367)	(43, 0.0003548)	(44, 0.000269802)	(45, 0.000138584)	(46, 0.000918261)	(47, 0.000388157)	(48, 0.000331156)	(49, 0.000441143)	(50, 0.000529321)	(51, 0.00028818)	(52, 0.000397278)	(53, 0.00038771300000000003)	(54, 0.000603264)	(55, 0.000400394)	(56, 0.000551329)	(57, 0.000590967)	(58, 0.000334954)	(59, 0.00033644299999999996)	(60, 0.00014749)	(61, 0.000386326)	(62, 0.000290949)	(63, 0.000267978)	(64, 0.000219141)	(65, 0.000354841)	(66, 0.0005468539999999999)	(67, 0.00044617)	(68, 0.0007616389999999999)	(69, 0.00020710000000000002)	(70, 0.0007180320000000001)	(71, 0.00102743)	(72, 0.000311456)	(73, 0.000399988)	(74, 0.000611844)	(75, 0.0)
qc_output | SRR8668757	(1, 0.0)	(2, 0.000667013)	(3, 0.00015644700000000002)	(4, 0.0)	(5, 0.0)	(6, 0.0137398)	(7, 0.0)	(8, 0.00028435200000000003)	(9, 0.00014799)	(10, 3.69975e-05)	(11, 0.000206129)	(12, 4.01688e-05)	(13, 0.000247355)	(14, 4.86253e-05)	(15, 9.40794e-05)	(16, 0.000115221)	(17, 9.51365e-05)	(18, 5.4967800000000006e-05)	(19, 0.000320293)	(20, 0.000231499)	(21, 7.18809e-05)	(22, 0.000417544)	(23, 0.000396402)	(24, 0.000142705)	(25, 0.000568705)	(26, 0.00045137300000000003)	(27, 0.000269558)	(28, 0.000451381)	(29, 0.00068712)	(30, 0.000679728)	(31, 0.00081082)	(32, 0.0009334580000000001)	(33, 0.0007262659999999999)	(34, 0.000718877)	(35, 0.000572995)	(36, 0.000681902)	(37, 0.0005783089999999999)	(38, 0.000631189)	(39, 0.0012010900000000001)	(40, 0.000759167)	(41, 0.0022458599999999997)	(42, 0.00245744)	(43, 0.00129222)	(44, 0.00211926)	(45, 0.000928546)	(46, 0.00126387)	(47, 0.000968847)	(48, 0.000775346)	(49, 0.000686551)	(50, 0.000771252)	(51, 0.00116388)	(52, 0.000791537)	(53, 0.000293163)	(54, 0.00011961099999999999)	(55, 0.000596034)	(56, 0.000468016)	(57, 0.000602615)	(58, 0.000518008)	(59, 0.000487417)	(60, 0.0012454200000000001)	(61, 0.00096913)	(62, 0.00126017)	(63, 0.00146985)	(64, 0.00106081)	(65, 0.00126984)	(66, 0.00145289)	(67, 0.00217425)	(68, 0.00072299)	(69, 0.000734205)	(70, 0.0005339429999999999)	(71, 0.00047861800000000004)	(72, 0.000225281)	(73, 0.000196412)	(74, 0.00032886499999999996)	(75, 0.0)
qc_output | SRR8668758	(1, 0.0)	(2, 0.00111694)	(3, 0.000123723)	(4, 0.0)	(5, 0.0)	(6, 0.0177301)	(7, 0.000625487)	(8, 3.43674e-06)	(9, 0.00012028599999999999)	(10, 7.56083e-05)	(11, 1.71837e-05)	(12, 5.49878e-05)	(13, 1.03102e-05)	(14, 8.59185e-05)	(15, 8.59185e-05)	(16, 6.18613e-05)	(17, 0.000976034)	(18, 0.000109976)	(19, 8.93552e-05)	(20, 0.00019589399999999998)	(21, 0.000116849)	(22, 7.9045e-05)	(23, 0.00049489)	(24, 0.000594556)	(25, 0.00025431900000000003)	(26, 0.000993276)	(27, 0.000391886)	(28, 0.0006085330000000001)	(29, 0.000904429)	(30, 0.0016682799999999998)	(31, 0.000688012)	(32, 0.0005607720000000001)	(33, 0.00146909)	(34, 0.000526425)	(35, 0.000763877)	(36, 0.000333876)	(37, 0.000313346)	(38, 0.00034105)	(39, 0.000193022)	(40, 0.000282819)	(41, 0.000210538)	(42, 0.00021416)	(43, 0.000352641)	(44, 0.000148798)	(45, 0.000138558)	(46, 0.0007978029999999999)	(47, 0.00020495399999999998)	(48, 0.000229678)	(49, 0.00020582800000000002)	(50, 0.00040221)	(51, 0.000185947)	(52, 0.000239344)	(53, 0.00022239399999999997)	(54, 0.000435503)	(55, 0.000323297)	(56, 0.00040288899999999997)	(57, 0.000465355)	(58, 0.00019774)	(59, 0.000278224)	(60, 0.000116293)	(61, 0.000171888)	(62, 0.000235859)	(63, 0.000189455)	(64, 0.00012747)	(65, 0.000249741)	(66, 0.000333044)	(67, 0.000213425)	(68, 0.000523916)	(69, 0.000148766)	(70, 0.000616562)	(71, 0.000514064)	(72, 0.000216814)	(73, 0.00025481900000000004)	(74, 0.00040817999999999996)	(75, 0.0)
qc_output | SRR8668759	(1, 0.0)	(2, 0.0008895379999999999)	(3, 0.000250895)	(4, 0.0)	(5, 0.0)	(6, 0.020619000000000002)	(7, 0.000387747)	(8, 2.28087e-05)	(9, 0.00011404299999999999)	(10, 0.00029651300000000004)	(11, 2.28087e-05)	(12, 0.00011404299999999999)	(13, 2.28087e-05)	(14, 6.8426e-05)	(15, 6.8426e-05)	(16, 0.00011404299999999999)	(17, 0.0007070690000000001)	(18, 0.0)	(19, 0.00011404299999999999)	(20, 0.000228087)	(21, 6.8426e-05)	(22, 0.000136852)	(23, 0.00043336499999999995)	(24, 0.000478982)	(25, 0.00020527799999999998)	(26, 0.00075272)	(27, 0.000342165)	(28, 0.00050188)	(29, 0.000593171)	(30, 0.00146024)	(31, 0.000593285)	(32, 0.000479248)	(33, 0.0011184)	(34, 0.000707664)	(35, 0.0005479559999999999)	(36, 0.000594268)	(37, 0.0005491980000000001)	(38, 0.000366622)	(39, 0.00027536499999999996)	(40, 0.00025283)	(41, 0.000276321)	(42, 0.000392234)	(43, 0.00030055100000000003)	(44, 0.00044014300000000004)	(45, 0.000162471)	(46, 0.00102334)	(47, 0.00051277)	(48, 0.000420583)	(49, 0.000913801)	(50, 0.0006110299999999999)	(51, 0.000448018)	(52, 0.00068627)	(53, 0.0005224520000000001)	(54, 0.000881934)	(55, 0.00047848499999999996)	(56, 0.000960652)	(57, 0.000964342)	(58, 0.000484277)	(59, 0.000462236)	(60, 0.000171182)	(61, 0.0005409669999999999)	(62, 0.000519435)	(63, 0.000323569)	(64, 0.00027561)	(65, 0.000479513)	(66, 0.000712159)	(67, 0.000589593)	(68, 0.00137117)	(69, 0.000130812)	(70, 0.00061)	(71, 0.00121576)	(72, 0.00022083999999999998)	(73, 0.0004247)	(74, 0.00067427)	(75, 0.0)
qc_output | SRR8668769	(1, 0.0)	(2, 0.0008255889999999999)	(3, 5.3332600000000005e-05)	(4, 9.599869999999999e-06)	(5, 1.06665e-06)	(6, 0.015826999999999997)	(7, 9.17321e-05)	(8, 0.00015786499999999998)	(9, 4.05328e-05)	(10, 8.95988e-05)	(11, 0.000316796)	(12, 4.05328e-05)	(13, 0.000180264)	(14, 5.3332600000000005e-05)	(15, 0.000553593)	(16, 0.00027413)	(17, 0.000442661)	(18, 0.00044799400000000006)	(19, 0.000140798)	(20, 0.000380795)	(21, 0.000125865)	(22, 0.000731724)	(23, 0.000476794)	(24, 0.000268796)	(25, 0.000412795)	(26, 0.00121812)	(27, 0.0037322600000000003)	(28, 0.0034336199999999996)	(29, 0.00163095)	(30, 0.00043840800000000005)	(31, 0.000454412)	(32, 0.0008416299999999999)	(33, 0.00106671)	(34, 0.0023606599999999997)	(35, 0.00240336)	(36, 0.00129718)	(37, 0.000781954)	(38, 0.000600617)	(39, 0.00145625)	(40, 0.00050037)	(41, 0.000133367)	(42, 0.00042786)	(43, 8.96311e-05)	(44, 9.71055e-05)	(45, 0.00025931799999999997)	(46, 0.00012166299999999999)	(47, 0.000413041)	(48, 0.000547563)	(49, 0.000307432)	(50, 0.000674713)	(51, 0.00032031400000000004)	(52, 0.000318222)	(53, 3.09724e-05)	(54, 2.35e-05)	(55, 0.000183758)	(56, 0.000154942)	(57, 0.000296055)	(58, 1.7104600000000002e-05)	(59, 5.56052e-05)	(60, 0.00011445499999999999)	(61, 0.000130548)	(62, 0.00011454600000000001)	(63, 3.64158e-05)	(64, 3.64373e-05)	(65, 9.75938e-05)	(66, 8.58757e-06)	(67, 2.14913e-06)	(68, 7.53227e-06)	(69, 4.31278e-05)	(70, 0.0007818200000000001)	(71, 0.000145624)	(72, 0.000367021)	(73, 0.000267291)	(74, 6.229940000000001e-05)	(75, 0.0)
qc_output | SRR8668771	(1, 0.0)	(2, 0.000751349)	(3, 4.98821e-05)	(4, 7.794079999999999e-06)	(5, 0.0)	(6, 0.0156349)	(7, 0.000129382)	(8, 0.00015432300000000002)	(9, 3.89704e-05)	(10, 0.000123146)	(11, 0.000305528)	(12, 4.98821e-05)	(13, 0.00019173400000000002)	(14, 3.42939e-05)	(15, 0.000586115)	(16, 0.000269675)	(17, 0.00041932099999999995)	(18, 0.00040841000000000006)	(19, 0.000148087)	(20, 0.000378792)	(21, 0.000116911)	(22, 0.00068432)	(23, 0.000525321)	(24, 0.000266557)	(25, 0.000459851)	(26, 0.00116756)	(27, 0.0035962299999999997)	(28, 0.0033748999999999997)	(29, 0.00165862)	(30, 0.00043024800000000005)	(31, 0.000511313)	(32, 0.000855833)	(33, 0.00106474)	(34, 0.00237424)	(35, 0.0024226)	(36, 0.0013048600000000001)	(37, 0.000731175)	(38, 0.0006454449999999999)	(39, 0.00159339)	(40, 0.000486452)	(41, 0.000129413)	(42, 0.0004942849999999999)	(43, 0.000110712)	(44, 0.00010292)	(45, 0.000300978)	(46, 0.000106049)	(47, 0.000378992)	(48, 0.00046792199999999996)	(49, 0.000283895)	(50, 0.00070356)	(51, 0.00033855399999999997)	(52, 0.000310505)	(53, 3.12102e-05)	(54, 2.49714e-05)	(55, 0.000168581)	(56, 0.000168607)	(57, 0.00029355500000000003)	(58, 1.8741200000000003e-05)	(59, 5.62366e-05)	(60, 0.000118754)	(61, 0.000120355)	(62, 0.00011727000000000001)	(63, 3.91062e-05)	(64, 3.9125600000000004e-05)	(65, 7.36014e-05)	(66, 3.13447e-06)	(67, 1.5687e-06)	(68, 1.7277700000000002e-05)	(69, 4.87799e-05)	(70, 0.0007526350000000001)	(71, 0.00012046499999999999)	(72, 0.000337374)	(73, 0.000283241)	(74, 5.23395e-05)	(75, 0.0)
qc_output | SRR8668772	(1, 0.0)	(2, 0.0007997760000000001)	(3, 5.60729e-05)	(4, 1.03292e-05)	(5, 1.4756e-06)	(6, 0.0158745)	(7, 0.00010624299999999999)	(8, 0.000156414)	(9, 3.98413e-05)	(10, 0.000113621)	(11, 0.000343815)	(12, 5.60729e-05)	(13, 0.000172645)	(14, 5.164610000000001e-05)	(15, 0.000603521)	(16, 0.000290694)	(17, 0.000510558)	(18, 0.000407266)	(19, 0.00017117)	(20, 0.000407266)	(21, 0.00013428000000000002)	(22, 0.0007909230000000001)	(23, 0.00045743700000000005)	(24, 0.000278889)	(25, 0.000419071)	(26, 0.00123214)	(27, 0.00369496)	(28, 0.0035489)	(29, 0.00174127)	(30, 0.00039695400000000004)	(31, 0.000515012)	(32, 0.0008337669999999999)	(33, 0.00113335)	(34, 0.00221359)	(35, 0.00231987)	(36, 0.00133559)	(37, 0.0008087559999999999)	(38, 0.0007069460000000001)	(39, 0.00149512)	(40, 0.000448702)	(41, 0.00014317800000000002)	(42, 0.000442843)	(43, 0.00011662200000000001)	(44, 0.000118105)	(45, 0.000271657)	(46, 0.000122549)	(47, 0.00040606800000000004)	(48, 0.000509477)	(49, 0.00034264100000000003)	(50, 0.000735581)	(51, 0.000357499)	(52, 0.000367894)	(53, 2.36434e-05)	(54, 2.06915e-05)	(55, 0.00018921499999999998)	(56, 0.000168554)	(57, 0.000335705)	(58, 2.6626699999999997e-05)	(59, 5.0309800000000004e-05)	(60, 0.000109535)	(61, 0.000116984)	(62, 0.000154075)	(63, 3.85393e-05)	(64, 3.85632e-05)	(65, 9.351260000000001e-05)	(66, 5.94283e-06)	(67, 1.4873e-06)	(68, 1.4893700000000001e-05)	(69, 5.2233000000000006e-05)	(70, 0.000781229)	(71, 0.000109767)	(72, 0.000377404)	(73, 0.000330342)	(74, 5.31232e-05)	(75, 0.0)
qc_output | SRR8668773	(1, 0.0)	(2, 0.0008152260000000001)	(3, 4.60092e-05)	(4, 8.62673e-06)	(5, 0.0)	(6, 0.0159192)	(7, 0.000117899)	(8, 0.000140903)	(9, 5.3198099999999995e-05)	(10, 0.000102083)	(11, 0.000314876)	(12, 3.7382499999999997e-05)	(13, 0.000179723)	(14, 5.60737e-05)	(15, 0.000589493)	(16, 0.000231484)	(17, 0.000498912)	(18, 0.00042846100000000004)	(19, 0.000138028)	(20, 0.000391078)	(21, 0.000145217)	(22, 0.0007260830000000001)	(23, 0.000516166)	(24, 0.000248737)	(25, 0.00042270999999999997)	(26, 0.00119768)	(27, 0.0037598600000000003)	(28, 0.00345938)	(29, 0.0017498300000000002)	(30, 0.000396843)	(31, 0.000562199)	(32, 0.0008986640000000001)	(33, 0.00109998)	(34, 0.00241422)	(35, 0.00240418)	(36, 0.00133441)	(37, 0.000770759)	(38, 0.000678748)	(39, 0.00150567)	(40, 0.000503345)	(41, 0.00014238100000000002)	(42, 0.000471751)	(43, 0.000107876)	(44, 0.000119389)	(45, 0.00029921)	(46, 0.000165439)	(47, 0.00042010299999999996)	(48, 0.000487765)	(49, 0.000292113)	(50, 0.000767066)	(51, 0.000418849)	(52, 0.00032390100000000003)	(53, 3.0235400000000002e-05)	(54, 3.02407e-05)	(55, 0.00021172499999999998)	(56, 0.000149824)	(57, 0.000344388)	(58, 1.58546e-05)	(59, 6.19956e-05)	(60, 0.000116823)	(61, 0.000129855)	(62, 0.000128472)	(63, 5.1993900000000004e-05)	(64, 4.48005e-05)	(65, 8.8223e-05)	(66, 1.4476400000000001e-05)	(67, 2.8983900000000002e-06)	(68, 8.70728e-06)	(69, 5.2345799999999996e-05)	(70, 0.00078882)	(71, 0.000114247)	(72, 0.000374966)	(73, 0.000345768)	(74, 6.47845e-05)	(75, 0.0)
qc_output | SRR8668774	(1, 0.0)	(2, 0.0008911300000000001)	(3, 0.000234872)	(4, 0.0)	(5, 0.0)	(6, 0.019845099999999997)	(7, 0.00042061999999999997)	(8, 8.4431e-06)	(9, 0.000206472)	(10, 0.000136625)	(11, 3.76102e-05)	(12, 6.06368e-05)	(13, 1.45835e-05)	(14, 8.443099999999999e-05)	(15, 5.37288e-05)	(16, 6.447460000000001e-05)	(17, 0.000833564)	(18, 8.75012e-05)	(19, 0.00010669)	(20, 0.000165024)	(21, 0.000121274)	(22, 0.00012511100000000002)	(23, 0.00038454499999999997)	(24, 0.000445181)	(25, 0.00025099)	(26, 0.000733107)	(27, 0.000447554)	(28, 0.000556597)	(29, 0.0007218439999999999)	(30, 0.00141935)	(31, 0.000596189)	(32, 0.000488765)	(33, 0.0012005)	(34, 0.0006548589999999999)	(35, 0.000632589)	(36, 0.00063886)	(37, 0.000429073)	(38, 0.00039994600000000004)	(39, 0.0002008)	(40, 0.000297076)	(41, 0.000370341)	(42, 0.000418263)	(43, 0.000424614)	(44, 0.00032766)	(45, 0.000128045)	(46, 0.00107894)	(47, 0.000486529)	(48, 0.00041439600000000004)	(49, 0.000600524)	(50, 0.000612077)	(51, 0.00041219000000000005)	(52, 0.000533445)	(53, 0.000462774)	(54, 0.000782159)	(55, 0.00047052000000000004)	(56, 0.000650311)	(57, 0.000761064)	(58, 0.000444296)	(59, 0.00048130600000000003)	(60, 0.00019778)	(61, 0.000548784)	(62, 0.000396523)	(63, 0.000362618)	(64, 0.000281946)	(65, 0.000482862)	(66, 0.000682217)	(67, 0.00056262)	(68, 0.0010279199999999999)	(69, 0.00025756099999999996)	(70, 0.000748887)	(71, 0.00127775)	(72, 0.00041944799999999995)	(73, 0.000511153)	(74, 0.0007506310000000001)	(75, 0.0)
