Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
qc_output | SRR8668755	(1, 0.06530480000000001)	(2, 0.0115034)	(3, 0.0109118)	(4, 0.010755)	(5, 0.010755)	(6, 0.0264164)	(7, 0.0107561)	(8, 0.011175299999999999)	(9, 0.011013)	(10, 0.010844999999999999)	(11, 0.011100800000000001)	(12, 0.0108506)	(13, 0.0115623)	(14, 0.0108272)	(15, 0.0109985)	(16, 0.0110185)	(17, 0.0111275)	(18, 0.010884)	(19, 0.011094099999999999)	(20, 0.0111631)	(21, 0.0110263)	(22, 0.0114912)	(23, 0.0115479)	(24, 0.011110799999999999)	(25, 0.0121061)	(26, 0.0122796)	(27, 0.0117681)	(28, 0.0130103)	(29, 0.0139622)	(30, 0.0141713)	(31, 0.014079000000000001)	(32, 0.014342500000000001)	(33, 0.0139533)	(34, 0.0143559)	(35, 0.013499599999999999)	(36, 0.0036091499999999998)	(37, 0.00322881)	(38, 0.00385952)	(39, 0.0041777)	(40, 0.00414999)	(41, 0.0067785200000000006)	(42, 0.00708575)	(43, 0.00571885)	(44, 0.00598938)	(45, 0.00448219)	(46, 0.00496854)	(47, 0.00399304)	(48, 0.0037373399999999996)	(49, 0.00366526)	(50, 0.0029889599999999997)	(51, 0.00374931)	(52, 0.00387433)	(53, 0.0017987900000000002)	(54, 0.00221089)	(55, 0.00308517)	(56, 0.0025922899999999997)	(57, 0.0028154399999999998)	(58, 0.00273794)	(59, 0.00240314)	(60, 0.00480072)	(61, 0.0043304599999999995)	(62, 0.00401169)	(63, 0.00476587)	(64, 0.00430116)	(65, 0.0038307099999999998)	(66, 0.00387255)	(67, 0.005572290000000001)	(68, 0.00316417)	(69, 0.00358303)	(70, 0.00302045)	(71, 0.00294986)	(72, 0.00268087)	(73, 0.00294669)	(74, 0.00343951)	(75, 0.0078517)
qc_output | SRR8668756	(1, 0.1031)	(2, 0.0352458)	(3, 0.0345226)	(4, 0.0342716)	(5, 0.0342716)	(6, 0.0534931)	(7, 0.0347972)	(8, 0.0342823)	(9, 0.0344622)	(10, 0.0344101)	(11, 0.034345)	(12, 0.0343758)	(13, 0.034303600000000004)	(14, 0.0344054)	(15, 0.0344184)	(16, 0.0344137)	(17, 0.0352635)	(18, 0.0344397)	(19, 0.0345155)	(20, 0.0346551)	(21, 0.0344385)	(22, 0.034666999999999996)	(23, 0.0350055)	(24, 0.0349215)	(25, 0.0347995)	(26, 0.035764199999999996)	(27, 0.0355595)	(28, 0.0359643)	(29, 0.0359903)	(30, 0.0371243)	(31, 0.0362259)	(32, 0.03584)	(33, 0.0371953)	(34, 0.0361608)	(35, 0.0363466)	(36, 0.00203907)	(37, 0.0015442)	(38, 0.00191026)	(39, 0.00164748)	(40, 0.00148892)	(41, 0.0018267)	(42, 0.00167173)	(43, 0.0018011200000000002)	(44, 0.0016496800000000002)	(45, 0.00147449)	(46, 0.00257958)	(47, 0.00192436)	(48, 0.0021074099999999997)	(49, 0.00221827)	(50, 0.00249183)	(51, 0.0020380199999999998)	(52, 0.00198174)	(53, 0.00197533)	(54, 0.00250723)	(55, 0.00187108)	(56, 0.0020633400000000003)	(57, 0.00212971)	(58, 0.00200343)	(59, 0.0018473699999999999)	(60, 0.00152798)	(61, 0.0024248299999999998)	(62, 0.0020734399999999997)	(63, 0.00187216)	(64, 0.0017925900000000002)	(65, 0.0017908199999999998)	(66, 0.00213315)	(67, 0.00226513)	(68, 0.00267871)	(69, 0.0018258600000000001)	(70, 0.0028332)	(71, 0.00339791)	(72, 0.00264322)	(73, 0.00274254)	(74, 0.00296372)	(75, 0.00352873)
qc_output | SRR8668757	(1, 0.0673146)	(2, 0.00836609)	(3, 0.007856150000000001)	(4, 0.00769949)	(5, 0.00769949)	(6, 0.0222521)	(7, 0.00769949)	(8, 0.008076950000000001)	(9, 0.007926599999999999)	(10, 0.00776047)	(11, 0.00806223)	(12, 0.007803579999999999)	(13, 0.008375549999999999)	(14, 0.00777625)	(15, 0.00794973)	(16, 0.007926599999999999)	(17, 0.00804646)	(18, 0.00784143)	(19, 0.00807064)	(20, 0.0082599)	(21, 0.00806223)	(22, 0.00874565)	(23, 0.00851854)	(24, 0.00814634)	(25, 0.009483740000000001)	(26, 0.00942907)	(27, 0.00897591)	(28, 0.010267)	(29, 0.011451999999999999)	(30, 0.0116086)	(31, 0.0113037)	(32, 0.011922)	(33, 0.0113111)	(34, 0.0115161)	(35, 0.0107665)	(36, 0.00391159)	(37, 0.0034647400000000004)	(38, 0.0043123)	(39, 0.0048959599999999995)	(40, 0.00477511)	(41, 0.007174880000000001)	(42, 0.007698729999999999)	(43, 0.00630236)	(44, 0.006337209999999999)	(45, 0.00476302)	(46, 0.0056129299999999995)	(47, 0.00436891)	(48, 0.0038000699999999996)	(49, 0.00368349)	(50, 0.00290214)	(51, 0.0038027900000000003)	(52, 0.00426806)	(53, 0.00243878)	(54, 0.00285144)	(55, 0.00396818)	(56, 0.0033676400000000003)	(57, 0.00345644)	(58, 0.0033916199999999997)	(59, 0.00272674)	(60, 0.0054334)	(61, 0.00485626)	(62, 0.00513119)	(63, 0.00612822)	(64, 0.00572406)	(65, 0.00527561)	(66, 0.00527419)	(67, 0.0073649100000000006)	(68, 0.004286)	(69, 0.0049023899999999995)	(70, 0.0037324)	(71, 0.0036719499999999998)	(72, 0.00333008)	(73, 0.003954269999999999)	(74, 0.00454027)	(75, 0.0102834)
qc_output | SRR8668758	(1, 0.207549)	(2, 0.158639)	(3, 0.157638)	(4, 0.157515)	(5, 0.157515)	(6, 0.175011)	(7, 0.158128)	(8, 0.157518)	(9, 0.15765099999999999)	(10, 0.157614)	(11, 0.157548)	(12, 0.157588)	(13, 0.157522)	(14, 0.15762400000000001)	(15, 0.15764399999999998)	(16, 0.15761799999999998)	(17, 0.15852)	(18, 0.15768100000000002)	(19, 0.15764399999999998)	(20, 0.15782700000000002)	(21, 0.157667)	(22, 0.157727)	(23, 0.15818500000000002)	(24, 0.158241)	(25, 0.157966)	(26, 0.159086)	(27, 0.158539)	(28, 0.158924)	(29, 0.15920299999999998)	(30, 0.160128)	(31, 0.159186)	(32, 0.158921)	(33, 0.160157)	(34, 0.158964)	(35, 0.159239)	(36, 0.00125888)	(37, 0.00106323)	(38, 0.00134279)	(39, 0.00115714)	(40, 0.00110116)	(41, 0.00120831)	(42, 0.00106923)	(43, 0.00126002)	(44, 0.00104748)	(45, 0.00101828)	(46, 0.00188472)	(47, 0.00114073)	(48, 0.00124274)	(49, 0.00119776)	(50, 0.00157976)	(51, 0.0011384799999999999)	(52, 0.00114116)	(53, 0.00118806)	(54, 0.0015476399999999999)	(55, 0.0012901199999999999)	(56, 0.00130105)	(57, 0.00141179)	(58, 0.00117303)	(59, 0.00118865)	(60, 0.000927341)	(61, 0.0013482099999999999)	(62, 0.00124405)	(63, 0.00117109)	(64, 0.0011117)	(65, 0.0011058300000000001)	(66, 0.00131021)	(67, 0.00130963)	(68, 0.00178041)	(69, 0.00118749)	(70, 0.00190268)	(71, 0.00198296)	(72, 0.00172643)	(73, 0.0017579199999999998)	(74, 0.00212852)	(75, 0.0022703099999999998)
qc_output | SRR8668759	(1, 0.6953860000000001)	(2, 0.6122879999999999)	(3, 0.611687)	(4, 0.611443)	(5, 0.611443)	(6, 0.631053)	(7, 0.611762)	(8, 0.6114620000000001)	(9, 0.611612)	(10, 0.611743)	(11, 0.611574)	(12, 0.611574)	(13, 0.611518)	(14, 0.611537)	(15, 0.611612)	(16, 0.611555)	(17, 0.612232)	(18, 0.611649)	(19, 0.611724)	(20, 0.6118750000000001)	(21, 0.611555)	(22, 0.611931)	(23, 0.612063)	(24, 0.6121190000000001)	(25, 0.611931)	(26, 0.6128330000000001)	(27, 0.612964)	(28, 0.613321)	(29, 0.6130960000000001)	(30, 0.61426)	(31, 0.613265)	(32, 0.613265)	(33, 0.6142230000000001)	(34, 0.613659)	(35, 0.613603)	(36, 0.00249662)	(37, 0.00193082)	(38, 0.0024253)	(39, 0.00202949)	(40, 0.00208881)	(41, 0.0022246600000000003)	(42, 0.00209455)	(43, 0.00230736)	(44, 0.00210053)	(45, 0.00206513)	(46, 0.0032935499999999997)	(47, 0.00264648)	(48, 0.0029969000000000003)	(49, 0.0030220299999999998)	(50, 0.0035493)	(51, 0.00307432)	(52, 0.0031402999999999995)	(53, 0.0027206500000000002)	(54, 0.00356566)	(55, 0.00267641)	(56, 0.0029774899999999997)	(57, 0.00310332)	(58, 0.00275802)	(59, 0.0021938)	(60, 0.00204303)	(61, 0.00306636)	(62, 0.00287897)	(63, 0.0028713000000000002)	(64, 0.00252102)	(65, 0.00245202)	(66, 0.00283031)	(67, 0.0031502599999999998)	(68, 0.00417312)	(69, 0.00247993)	(70, 0.00357453)	(71, 0.00445577)	(72, 0.00373688)	(73, 0.00354654)	(74, 0.0035314400000000003)	(75, 0.00485922)
qc_output | SRR8668769	(1, 0.040728299999999995)	(2, 0.0101282)	(3, 0.009359000000000001)	(4, 0.009315499999999999)	(5, 0.00930701)	(6, 0.025465900000000003)	(7, 0.00939719)	(8, 0.009494810000000001)	(9, 0.00938022)	(10, 0.00943857)	(11, 0.009794009999999999)	(12, 0.00936537)	(13, 0.00954149)	(14, 0.009431150000000001)	(15, 0.00996589)	(16, 0.009644409999999999)	(17, 0.00985342)	(18, 0.00975793)	(19, 0.0095139)	(20, 0.00971974)	(21, 0.00959348)	(22, 0.0100688)	(23, 0.00995209)	(24, 0.00962531)	(25, 0.0100412)	(26, 0.0121727)	(27, 0.014124999999999999)	(28, 0.0139297)	(29, 0.0125674)	(30, 0.0109356)	(31, 0.0103606)	(32, 0.0114035)	(33, 0.0113621)	(34, 0.0130141)	(35, 0.0130438)	(36, 0.0030772000000000004)	(37, 0.00183998)	(38, 0.0012892799999999999)	(39, 0.0019122000000000002)	(40, 0.0008383310000000001)	(41, 0.00041705400000000004)	(42, 0.000595356)	(43, 0.000131598)	(44, 0.000287617)	(45, 0.000383149)	(46, 0.000421376)	(47, 0.000565752)	(48, 0.000924573)	(49, 0.000554143)	(50, 0.0014343)	(51, 0.000487344)	(52, 0.000575525)	(53, 0.00013593199999999999)	(54, 0.000223038)	(55, 0.000411078)	(56, 0.00020184800000000002)	(57, 0.0005811939999999999)	(58, 0.000160465)	(59, 0.000171123)	(60, 0.0005049729999999999)	(61, 0.000292422)	(62, 0.00053076)	(63, 0.000188324)	(64, 0.00019264599999999998)	(65, 0.00040461)	(66, 0.000200262)	(67, 9.591470000000001e-05)	(68, 0.00012048699999999999)	(69, 0.00015363100000000002)	(70, 0.00120214)	(71, 0.0006757579999999999)	(72, 0.00110448)	(73, 0.0008095579999999999)	(74, 0.00028741199999999996)	(75, 0.000452917)
qc_output | SRR8668771	(1, 0.0389639)	(2, 0.00848742)	(3, 0.007782849999999999)	(4, 0.00774095)	(5, 0.00773319)	(6, 0.023711700000000002)	(7, 0.007862000000000001)	(8, 0.00791011)	(9, 0.0078201)	(10, 0.00788373)	(11, 0.00819411)	(12, 0.00780458)	(13, 0.00795822)	(14, 0.00782786)	(15, 0.00844086)	(16, 0.0080684)	(17, 0.00826395)	(18, 0.00814755)	(19, 0.00796132)	(20, 0.00817859)	(21, 0.00804357)	(22, 0.00845949)	(23, 0.008465690000000001)	(24, 0.00806685)	(25, 0.0085495)	(26, 0.0105437)	(27, 0.012447900000000001)	(28, 0.0122896)	(29, 0.0110046)	(30, 0.00934408)	(31, 0.00876366)	(32, 0.00977396)	(33, 0.009836029999999999)	(34, 0.0114314)	(35, 0.0114578)	(36, 0.0031118599999999997)	(37, 0.0018392)	(38, 0.00142482)	(39, 0.0020875900000000003)	(40, 0.0008785110000000001)	(41, 0.000454786)	(42, 0.000678316)	(43, 0.000183166)	(44, 0.000336848)	(45, 0.000417579)	(46, 0.000471925)	(47, 0.000544906)	(48, 0.0008647440000000001)	(49, 0.000593086)	(50, 0.00148435)	(51, 0.000563655)	(52, 0.000562142)	(53, 0.000150641)	(54, 0.000267138)	(55, 0.000394529)	(56, 0.000225245)	(57, 0.000585699)	(58, 0.000177129)	(59, 0.000183368)	(60, 0.000497349)	(61, 0.000329551)	(62, 0.000597037)	(63, 0.000189726)	(64, 0.000199103)	(65, 0.000390536)	(66, 0.000188322)	(67, 0.00012454800000000001)	(68, 0.00011836199999999999)	(69, 0.000174495)	(70, 0.0012018600000000001)	(71, 0.000721116)	(72, 0.0011776199999999999)	(73, 0.0008715639999999999)	(74, 0.000316361)	(75, 0.000484071)
qc_output | SRR8668772	(1, 0.0429701)	(2, 0.0116662)	(3, 0.0109255)	(4, 0.01088)	(5, 0.0108712)	(6, 0.027074)	(7, 0.010975400000000001)	(8, 0.0110516)	(9, 0.0109622)	(10, 0.0110208)	(11, 0.0113905)	(12, 0.010949)	(13, 0.011086799999999999)	(14, 0.0109886)	(15, 0.0115958)	(16, 0.011207100000000001)	(17, 0.0115019)	(18, 0.0112804)	(19, 0.0111147)	(20, 0.0113303)	(21, 0.011195400000000001)	(22, 0.011697)	(23, 0.0115239)	(24, 0.0112291)	(25, 0.011587)	(26, 0.013710799999999999)	(27, 0.015661500000000002)	(28, 0.0156996)	(29, 0.014210899999999999)	(30, 0.0124069)	(31, 0.0119845)	(32, 0.012895300000000002)	(33, 0.013039)	(34, 0.0143547)	(35, 0.0144383)	(36, 0.00310394)	(37, 0.0019774000000000003)	(38, 0.00147134)	(39, 0.00196574)	(40, 0.000844996)	(41, 0.000482659)	(42, 0.00063232)	(43, 0.000168723)	(44, 0.00034185899999999997)	(45, 0.000384423)	(46, 0.00048715300000000004)	(47, 0.0005986979999999999)	(48, 0.0009039720000000001)	(49, 0.000635467)	(50, 0.00143542)	(51, 0.000597413)	(52, 0.000620961)	(53, 0.000139474)	(54, 0.00025842300000000003)	(55, 0.00042586299999999996)	(56, 0.00021736600000000003)	(57, 0.000646314)	(58, 0.00019980300000000002)	(59, 0.00016898300000000002)	(60, 0.0005085290000000001)	(61, 0.00032048199999999997)	(62, 0.000630849)	(63, 0.00020740599999999999)	(64, 0.00019864799999999997)	(65, 0.00044013700000000006)	(66, 0.000203225)	(67, 0.000123757)	(68, 0.00012824)	(69, 0.000168132)	(70, 0.00120722)	(71, 0.000673949)	(72, 0.00122141)	(73, 0.0009582290000000001)	(74, 0.00032166599999999997)	(75, 0.000432041)
qc_output | SRR8668773	(1, 0.0434152)	(2, 0.0118819)	(3, 0.0111232)	(4, 0.0110846)	(5, 0.011076)	(6, 0.0273206)	(7, 0.0111932)	(8, 0.0112446)	(9, 0.011166)	(10, 0.011223200000000001)	(11, 0.0115847)	(12, 0.0111403)	(13, 0.0113075)	(14, 0.011205999999999999)	(15, 0.0118005)	(16, 0.011366099999999999)	(17, 0.0116962)	(18, 0.0115161)	(19, 0.0113232)	(20, 0.0115018)	(21, 0.0113789)	(22, 0.011833399999999999)	(23, 0.0117762)	(24, 0.0113947)	(25, 0.0117762)	(26, 0.013998299999999998)	(27, 0.0158759)	(28, 0.0157145)	(29, 0.0144241)	(30, 0.0126364)	(31, 0.0122163)	(32, 0.013148)	(33, 0.0131695)	(34, 0.0147871)	(35, 0.0147813)	(36, 0.0031127000000000004)	(37, 0.00180076)	(38, 0.00138347)	(39, 0.00193375)	(40, 0.000881857)	(41, 0.000457378)	(42, 0.000647497)	(43, 0.000160093)	(44, 0.000311622)	(45, 0.000403123)	(46, 0.000497493)	(47, 0.000620467)	(48, 0.000880717)	(49, 0.000550488)	(50, 0.00151003)	(51, 0.000604931)	(52, 0.000610717)	(53, 0.000128737)	(54, 0.000237478)	(55, 0.00046500299999999997)	(56, 0.00019318299999999998)	(57, 0.000675532)	(58, 0.00017034399999999998)	(59, 0.000174673)	(60, 0.00054276)	(61, 0.000359547)	(62, 0.000570291)	(63, 0.00019494)	(64, 0.000180672)	(65, 0.00047052000000000004)	(66, 0.000200924)	(67, 0.00010769100000000001)	(68, 0.00011206)	(69, 0.00016244099999999999)	(70, 0.0012069700000000001)	(71, 0.000708866)	(72, 0.00116046)	(73, 0.000959214)	(74, 0.00034589200000000004)	(75, 0.00046759000000000004)
qc_output | SRR8668774	(1, 0.180366)	(2, 0.0988928)	(3, 0.0982338)	(4, 0.0980014)	(5, 0.0980014)	(6, 0.117733)	(7, 0.0984197)	(8, 0.09801040000000001)	(9, 0.09825249999999999)	(10, 0.0981468)	(11, 0.0981161)	(12, 0.0980868)	(13, 0.0980404)	(14, 0.0981191)	(15, 0.0981551)	(16, 0.09811310000000001)	(17, 0.098934)	(18, 0.0981933)	(19, 0.0982713)	(20, 0.0984167)	(21, 0.09819850000000001)	(22, 0.09845190000000001)	(23, 0.0986678)	(24, 0.0986506)	(25, 0.0985127)	(26, 0.09950379999999999)	(27, 0.099518)	(28, 0.0997751)	(29, 0.0996537)	(30, 0.10082100000000001)	(31, 0.09993179999999999)	(32, 0.0995907)	(33, 0.100971)	(34, 0.10020000000000001)	(35, 0.100256)	(36, 0.0026036600000000003)	(37, 0.00189249)	(38, 0.00230057)	(39, 0.00186928)	(40, 0.00181345)	(41, 0.0022445900000000003)	(42, 0.00205971)	(43, 0.00227404)	(44, 0.00209437)	(45, 0.00184234)	(46, 0.0031976500000000002)	(47, 0.00247908)	(48, 0.00274128)	(49, 0.002866)	(50, 0.00328318)	(51, 0.0028401299999999997)	(52, 0.0026800300000000003)	(53, 0.00254023)	(54, 0.0033380000000000003)	(55, 0.00254236)	(56, 0.00270302)	(57, 0.00285528)	(58, 0.00279432)	(59, 0.00252711)	(60, 0.00203665)	(61, 0.0032011599999999998)	(62, 0.00282345)	(63, 0.00255764)	(64, 0.00237564)	(65, 0.00238687)	(66, 0.00288589)	(67, 0.0030944)	(68, 0.0036175)	(69, 0.0024427)	(70, 0.0035427099999999997)	(71, 0.004411630000000001)	(72, 0.0033637199999999997)	(73, 0.0034901999999999997)	(74, 0.00373437)	(75, 0.00452222)
