Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
qc_output | SRR8668755	(1, 31.4418)	(2, 31.4408)	(3, 31.5248)	(4, 31.5437)	(5, 31.5469)	(6, 35.0003)	(7, 35.0012)	(8, 34.9528)	(9, 34.9613)	(10, 34.9046)	(11, 34.9786)	(12, 34.9918)	(13, 34.9689)	(14, 34.958)	(15, 34.9468)	(16, 34.9498)	(17, 34.9251)	(18, 34.916)	(19, 34.9185)	(20, 34.8845)	(21, 34.8876)	(22, 34.8401)	(23, 34.8011)	(24, 34.7819)	(25, 34.7501)	(26, 34.6796)	(27, 34.6467)	(28, 34.6231)	(29, 34.6346)	(30, 34.6281)	(31, 34.6081)	(32, 34.5813)	(33, 34.5736)	(34, 34.5681)	(35, 34.5471)	(36, 34.5364)	(37, 34.5088)	(38, 34.4608)	(39, 34.4112)	(40, 34.414)	(41, 34.3871)	(42, 34.3789)	(43, 34.3487)	(44, 34.3081)	(45, 34.2924)	(46, 34.2521)	(47, 34.2481)	(48, 34.2175)	(49, 34.1607)	(50, 34.1039)	(51, 34.0978)	(52, 34.0774)	(53, 34.0166)	(54, 33.9801)	(55, 33.9286)	(56, 33.9116)	(57, 33.8616)	(58, 33.819)	(59, 33.7813)	(60, 33.743)	(61, 33.6757)	(62, 33.6251)	(63, 33.588)	(64, 33.5641)	(65, 33.5047)	(66, 33.4455)	(67, 33.458)	(68, 33.4118)	(69, 33.4392)	(70, 33.4652)	(71, 33.4926)	(72, 33.5666)	(73, 33.5326)	(74, 33.4844)	(75, 32.0632)
qc_output | SRR8668756	(1, 31.0748)	(2, 31.2058)	(3, 31.209)	(4, 31.2268)	(5, 31.2245)	(6, 34.4106)	(7, 34.3265)	(8, 34.3279)	(9, 34.3494)	(10, 34.27)	(11, 34.4573)	(12, 34.4556)	(13, 34.407)	(14, 34.4093)	(15, 34.3916)	(16, 34.4006)	(17, 34.3913)	(18, 34.3773)	(19, 34.3584)	(20, 34.3274)	(21, 34.3319)	(22, 34.2684)	(23, 34.2371)	(24, 34.2099)	(25, 34.1922)	(26, 34.0764)	(27, 34.0515)	(28, 34.0143)	(29, 34.0284)	(30, 34.0077)	(31, 33.9903)	(32, 33.9574)	(33, 33.9263)	(34, 33.9173)	(35, 33.8517)	(36, 33.8526)	(37, 33.8114)	(38, 33.7726)	(39, 33.7097)	(40, 33.6867)	(41, 33.6346)	(42, 33.5655)	(43, 33.5346)	(44, 33.5006)	(45, 33.5087)	(46, 33.4266)	(47, 33.4245)	(48, 33.4017)	(49, 33.3299)	(50, 33.2496)	(51, 33.2526)	(52, 33.2176)	(53, 33.1093)	(54, 33.0517)	(55, 33.0076)	(56, 33.0398)	(57, 32.9834)	(58, 32.9525)	(59, 32.9432)	(60, 32.8959)	(61, 32.8362)	(62, 32.8286)	(63, 32.784)	(64, 32.7807)	(65, 32.7128)	(66, 32.6547)	(67, 32.6531)	(68, 32.5879)	(69, 32.6376)	(70, 32.6677)	(71, 32.746)	(72, 32.8777)	(73, 32.8227)	(74, 32.7922)	(75, 31.2561)
qc_output | SRR8668757	(1, 31.5097)	(2, 31.5239)	(3, 31.6067)	(4, 31.6154)	(5, 31.6221)	(6, 35.1316)	(7, 35.1272)	(8, 35.0884)	(9, 35.0926)	(10, 35.0485)	(11, 35.1154)	(12, 35.1178)	(13, 35.1051)	(14, 35.0979)	(15, 35.0867)	(16, 35.0913)	(17, 35.0727)	(18, 35.0638)	(19, 35.0622)	(20, 35.0354)	(21, 35.037)	(22, 34.9946)	(23, 34.9654)	(24, 34.9478)	(25, 34.9199)	(26, 34.8551)	(27, 34.8407)	(28, 34.8175)	(29, 34.8207)	(30, 34.8132)	(31, 34.8024)	(32, 34.7821)	(33, 34.7643)	(34, 34.7625)	(35, 34.7363)	(36, 34.7276)	(37, 34.7036)	(38, 34.6649)	(39, 34.6251)	(40, 34.6312)	(41, 34.6066)	(42, 34.5962)	(43, 34.5739)	(44, 34.5363)	(45, 34.5276)	(46, 34.489)	(47, 34.4846)	(48, 34.4583)	(49, 34.408)	(50, 34.365)	(51, 34.3536)	(52, 34.3278)	(53, 34.2766)	(54, 34.2361)	(55, 34.1954)	(56, 34.1798)	(57, 34.1386)	(58, 34.098)	(59, 34.0665)	(60, 34.0292)	(61, 33.9777)	(62, 33.9335)	(63, 33.9004)	(64, 33.8798)	(65, 33.8219)	(66, 33.7691)	(67, 33.7692)	(68, 33.7297)	(69, 33.7641)	(70, 33.7685)	(71, 33.8072)	(72, 33.8746)	(73, 33.8382)	(74, 33.792)	(75, 32.4835)
qc_output | SRR8668758	(1, 30.8418)	(2, 30.9786)	(3, 31.0025)	(4, 31.0211)	(5, 31.0097)	(6, 34.0347)	(7, 33.9397)	(8, 33.9424)	(9, 33.9664)	(10, 33.8553)	(11, 34.0873)	(12, 34.0827)	(13, 34.0114)	(14, 34.0269)	(15, 33.9932)	(16, 34.006)	(17, 33.9894)	(18, 33.9663)	(19, 33.9517)	(20, 33.9104)	(21, 33.9129)	(22, 33.8283)	(23, 33.787)	(24, 33.7669)	(25, 33.7417)	(26, 33.583)	(27, 33.5437)	(28, 33.514)	(29, 33.5232)	(30, 33.4385)	(31, 33.4704)	(32, 33.4371)	(33, 33.3904)	(34, 33.3696)	(35, 33.2951)	(36, 33.2972)	(37, 33.2483)	(38, 33.1891)	(39, 33.1027)	(40, 33.0298)	(41, 32.9164)	(42, 32.841)	(43, 32.7948)	(44, 32.797)	(45, 32.8216)	(46, 32.7107)	(47, 32.669)	(48, 32.6759)	(49, 32.5453)	(50, 32.4478)	(51, 32.5321)	(52, 32.4413)	(53, 32.2837)	(54, 32.2082)	(55, 32.1352)	(56, 32.2673)	(57, 32.1164)	(58, 32.0855)	(59, 32.1137)	(60, 32.0348)	(61, 31.9474)	(62, 32.0231)	(63, 31.9245)	(64, 31.9159)	(65, 31.9311)	(66, 31.8971)	(67, 31.9119)	(68, 31.8363)	(69, 31.8858)	(70, 31.9094)	(71, 32.0114)	(72, 32.1789)	(73, 32.0793)	(74, 32.0606)	(75, 30.3533)
qc_output | SRR8668759	(1, 31.1869)	(2, 31.3305)	(3, 31.3584)	(4, 31.3678)	(5, 31.3621)	(6, 34.7042)	(7, 34.6383)	(8, 34.6211)	(9, 34.6236)	(10, 34.5642)	(11, 34.6898)	(12, 34.6861)	(13, 34.6299)	(14, 34.6209)	(15, 34.5944)	(16, 34.5825)	(17, 34.5583)	(18, 34.5445)	(19, 34.5222)	(20, 34.489)	(21, 34.4946)	(22, 34.4248)	(23, 34.3871)	(24, 34.3499)	(25, 34.3029)	(26, 34.1884)	(27, 34.1377)	(28, 34.1201)	(29, 34.1335)	(30, 34.0893)	(31, 34.0664)	(32, 34.0378)	(33, 34.0028)	(34, 33.9782)	(35, 33.9189)	(36, 33.8983)	(37, 33.8387)	(38, 33.8197)	(39, 33.7688)	(40, 33.7261)	(41, 33.68)	(42, 33.6332)	(43, 33.5795)	(44, 33.5533)	(45, 33.5413)	(46, 33.4644)	(47, 33.473)	(48, 33.4541)	(49, 33.3778)	(50, 33.3049)	(51, 33.2713)	(52, 33.2689)	(53, 33.1927)	(54, 33.1392)	(55, 33.0784)	(56, 33.084)	(57, 33.0656)	(58, 33.0197)	(59, 33.0295)	(60, 32.966)	(61, 32.9282)	(62, 32.8964)	(63, 32.8688)	(64, 32.8866)	(65, 32.8198)	(66, 32.7577)	(67, 32.7464)	(68, 32.7487)	(69, 32.7819)	(70, 32.8256)	(71, 32.9035)	(72, 33.0579)	(73, 32.9962)	(74, 32.9667)	(75, 31.3667)
qc_output | SRR8668769	(1, 31.6158)	(2, 31.5922)	(3, 31.6681)	(4, 31.6827)	(5, 31.6845)	(6, 35.2916)	(7, 35.2829)	(8, 35.2598)	(9, 35.247)	(10, 35.2079)	(11, 35.2809)	(12, 35.2689)	(13, 35.249)	(14, 35.244)	(15, 35.2371)	(16, 35.2371)	(17, 35.2173)	(18, 35.2139)	(19, 35.1962)	(20, 35.185)	(21, 35.1843)	(22, 35.1467)	(23, 35.1183)	(24, 35.0959)	(25, 35.0701)	(26, 35.0011)	(27, 34.9912)	(28, 34.9677)	(29, 34.9716)	(30, 34.9862)	(31, 34.9709)	(32, 34.9622)	(33, 34.9465)	(34, 34.9432)	(35, 34.9149)	(36, 34.9002)	(37, 34.8678)	(38, 34.8414)	(39, 34.8338)	(40, 34.8164)	(41, 34.8078)	(42, 34.7714)	(43, 34.7223)	(44, 34.7116)	(45, 34.7111)	(46, 34.6745)	(47, 34.6826)	(48, 34.6706)	(49, 34.6234)	(50, 34.5866)	(51, 34.552)	(52, 34.5231)	(53, 34.4813)	(54, 34.448)	(55, 34.4179)	(56, 34.3962)	(57, 34.3581)	(58, 34.3277)	(59, 34.3213)	(60, 34.256)	(61, 34.2243)	(62, 34.1842)	(63, 34.1359)	(64, 34.1285)	(65, 34.0542)	(66, 33.9949)	(67, 33.9825)	(68, 33.9716)	(69, 33.987)	(70, 33.9533)	(71, 34.0245)	(72, 34.0681)	(73, 34.0467)	(74, 34.027)	(75, 32.748)
qc_output | SRR8668771	(1, 31.6063)	(2, 31.5949)	(3, 31.6713)	(4, 31.682)	(5, 31.6893)	(6, 35.2906)	(7, 35.2879)	(8, 35.2594)	(9, 35.2516)	(10, 35.213)	(11, 35.2844)	(12, 35.277)	(13, 35.253)	(14, 35.2474)	(15, 35.2416)	(16, 35.2355)	(17, 35.2178)	(18, 35.2142)	(19, 35.2008)	(20, 35.1832)	(21, 35.1871)	(22, 35.1529)	(23, 35.1237)	(24, 35.1008)	(25, 35.0767)	(26, 35.0147)	(27, 35.0014)	(28, 34.9803)	(29, 34.9885)	(30, 34.994)	(31, 34.9755)	(32, 34.9668)	(33, 34.9433)	(34, 34.9388)	(35, 34.9159)	(36, 34.9001)	(37, 34.8723)	(38, 34.8465)	(39, 34.824)	(40, 34.8124)	(41, 34.8035)	(42, 34.7843)	(43, 34.7624)	(44, 34.7411)	(45, 34.7277)	(46, 34.6994)	(47, 34.6852)	(48, 34.671)	(49, 34.6225)	(50, 34.5797)	(51, 34.5625)	(52, 34.5445)	(53, 34.4957)	(54, 34.4671)	(55, 34.4308)	(56, 34.4125)	(57, 34.3731)	(58, 34.3432)	(59, 34.3184)	(60, 34.2715)	(61, 34.2341)	(62, 34.1916)	(63, 34.1539)	(64, 34.1409)	(65, 34.0682)	(66, 34.0193)	(67, 34.0153)	(68, 33.9859)	(69, 34.003)	(70, 33.9847)	(71, 34.0369)	(72, 34.084)	(73, 34.057)	(74, 34.0221)	(75, 32.7354)
qc_output | SRR8668772	(1, 31.6326)	(2, 31.6431)	(3, 31.7019)	(4, 31.7132)	(5, 31.7171)	(6, 35.3431)	(7, 35.3497)	(8, 35.3187)	(9, 35.3064)	(10, 35.2732)	(11, 35.3394)	(12, 35.3292)	(13, 35.3107)	(14, 35.3054)	(15, 35.2986)	(16, 35.2955)	(17, 35.2811)	(18, 35.2771)	(19, 35.2646)	(20, 35.2521)	(21, 35.2508)	(22, 35.2166)	(23, 35.1914)	(24, 35.1685)	(25, 35.15)	(26, 35.0851)	(27, 35.0767)	(28, 35.0544)	(29, 35.0558)	(30, 35.0721)	(31, 35.0561)	(32, 35.0478)	(33, 35.0289)	(34, 35.0252)	(35, 34.9942)	(36, 34.9783)	(37, 34.9536)	(38, 34.9278)	(39, 34.9137)	(40, 34.9103)	(41, 34.8962)	(42, 34.8702)	(43, 34.8349)	(44, 34.8245)	(45, 34.8152)	(46, 34.7728)	(47, 34.7794)	(48, 34.7651)	(49, 34.7159)	(50, 34.6878)	(51, 34.6448)	(52, 34.6216)	(53, 34.5852)	(54, 34.5525)	(55, 34.526)	(56, 34.5123)	(57, 34.4755)	(58, 34.4566)	(59, 34.4404)	(60, 34.3796)	(61, 34.3565)	(62, 34.3086)	(63, 34.2751)	(64, 34.2696)	(65, 34.1972)	(66, 34.1376)	(67, 34.132)	(68, 34.1155)	(69, 34.1305)	(70, 34.1047)	(71, 34.1768)	(72, 34.2149)	(73, 34.1972)	(74, 34.1744)	(75, 32.9203)
qc_output | SRR8668773	(1, 31.6224)	(2, 31.638)	(3, 31.7056)	(4, 31.7137)	(5, 31.7166)	(6, 35.3417)	(7, 35.3502)	(8, 35.3082)	(9, 35.3047)	(10, 35.2778)	(11, 35.338)	(12, 35.3273)	(13, 35.3099)	(14, 35.3044)	(15, 35.3001)	(16, 35.2989)	(17, 35.283)	(18, 35.2781)	(19, 35.2678)	(20, 35.2549)	(21, 35.2532)	(22, 35.2218)	(23, 35.1976)	(24, 35.1755)	(25, 35.1569)	(26, 35.0914)	(27, 35.0848)	(28, 35.0631)	(29, 35.0676)	(30, 35.0782)	(31, 35.0635)	(32, 35.0571)	(33, 35.04)	(34, 35.0365)	(35, 35.0071)	(36, 34.9957)	(37, 34.9728)	(38, 34.949)	(39, 34.9316)	(40, 34.9267)	(41, 34.9118)	(42, 34.8911)	(43, 34.8686)	(44, 34.8445)	(45, 34.8366)	(46, 34.8022)	(47, 34.8042)	(48, 34.7865)	(49, 34.7427)	(50, 34.7129)	(51, 34.6865)	(52, 34.6616)	(53, 34.6258)	(54, 34.5908)	(55, 34.5621)	(56, 34.5428)	(57, 34.5093)	(58, 34.4822)	(59, 34.468)	(60, 34.4172)	(61, 34.3836)	(62, 34.3457)	(63, 34.3127)	(64, 34.3041)	(65, 34.2405)	(66, 34.1897)	(67, 34.1857)	(68, 34.1662)	(69, 34.184)	(70, 34.1602)	(71, 34.2212)	(72, 34.2601)	(73, 34.2391)	(74, 34.2142)	(75, 33.0164)
qc_output | SRR8668774	(1, 31.2076)	(2, 31.2902)	(3, 31.3215)	(4, 31.3324)	(5, 31.3294)	(6, 34.6208)	(7, 34.557)	(8, 34.5456)	(9, 34.566)	(10, 34.5042)	(11, 34.6522)	(12, 34.6515)	(13, 34.605)	(14, 34.6026)	(15, 34.5897)	(16, 34.5933)	(17, 34.5816)	(18, 34.5681)	(19, 34.5549)	(20, 34.5277)	(21, 34.5307)	(22, 34.4733)	(23, 34.4367)	(24, 34.4229)	(25, 34.4002)	(26, 34.2933)	(27, 34.2647)	(28, 34.2315)	(29, 34.2531)	(30, 34.2282)	(31, 34.2165)	(32, 34.188)	(33, 34.1566)	(34, 34.1457)	(35, 34.0921)	(36, 34.0892)	(37, 34.0449)	(38, 34.009)	(39, 33.9457)	(40, 33.9244)	(41, 33.8742)	(42, 33.8266)	(43, 33.8163)	(44, 33.7921)	(45, 33.7994)	(46, 33.7267)	(47, 33.7247)	(48, 33.6979)	(49, 33.6354)	(50, 33.5593)	(51, 33.56)	(52, 33.5364)	(53, 33.4403)	(54, 33.3838)	(55, 33.334)	(56, 33.3745)	(57, 33.3169)	(58, 33.2753)	(59, 33.2816)	(60, 33.2214)	(61, 33.1581)	(62, 33.1584)	(63, 33.1189)	(64, 33.1093)	(65, 33.0352)	(66, 32.9732)	(67, 32.9853)	(68, 32.9262)	(69, 32.9691)	(70, 32.9946)	(71, 33.0584)	(72, 33.1874)	(73, 33.121)	(74, 33.0922)	(75, 31.6269)
