Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
qc_output | SRR8668755	(1, 31.4024)	(2, 31.4123)	(3, 31.4952)	(4, 31.5142)	(5, 31.5211)	(6, 34.9588)	(7, 34.9611)	(8, 34.9102)	(9, 34.9184)	(10, 34.8609)	(11, 34.9351)	(12, 34.9478)	(13, 34.9244)	(14, 34.9138)	(15, 34.9018)	(16, 34.9048)	(17, 34.8791)	(18, 34.8699)	(19, 34.8712)	(20, 34.8366)	(21, 34.8383)	(22, 34.7894)	(23, 34.7493)	(24, 34.7289)	(25, 34.6947)	(26, 34.6163)	(27, 34.5817)	(28, 34.5567)	(29, 34.5663)	(30, 34.5595)	(31, 34.5377)	(32, 34.5109)	(33, 34.5019)	(34, 34.4959)	(35, 34.4741)	(36, 34.466)	(37, 34.4377)	(38, 34.3889)	(39, 34.3389)	(40, 34.3409)	(41, 34.3133)	(42, 34.3055)	(43, 34.274)	(44, 34.2337)	(45, 34.2173)	(46, 34.1763)	(47, 34.1717)	(48, 34.1413)	(49, 34.0836)	(50, 34.0265)	(51, 34.0199)	(52, 33.9989)	(53, 33.9381)	(54, 33.8998)	(55, 33.8472)	(56, 33.8294)	(57, 33.7782)	(58, 33.7343)	(59, 33.6944)	(60, 33.6546)	(61, 33.5854)	(62, 33.5316)	(63, 33.4913)	(64, 33.4637)	(65, 33.3986)	(66, 33.3311)	(67, 33.3327)	(68, 33.2703)	(69, 33.2727)	(70, 33.2598)	(71, 33.2198)	(72, 33.1873)	(73, 33.1489)	(74, 33.0984)	(75, 31.6987)
qc_output | SRR8668756	(1, 30.993)	(2, 31.1384)	(3, 31.1385)	(4, 31.1573)	(5, 31.1637)	(6, 34.3175)	(7, 34.2356)	(8, 34.2346)	(9, 34.2552)	(10, 34.1716)	(11, 34.3562)	(12, 34.3476)	(13, 34.3051)	(14, 34.3098)	(15, 34.2887)	(16, 34.2994)	(17, 34.2843)	(18, 34.2737)	(19, 34.2543)	(20, 34.2224)	(21, 34.224)	(22, 34.158)	(23, 34.1222)	(24, 34.0957)	(25, 34.068)	(26, 33.9153)	(27, 33.9008)	(28, 33.8656)	(29, 33.8748)	(30, 33.8602)	(31, 33.8377)	(32, 33.8065)	(33, 33.7743)	(34, 33.765)	(35, 33.6999)	(36, 33.7126)	(37, 33.667)	(38, 33.628)	(39, 33.5673)	(40, 33.5343)	(41, 33.4767)	(42, 33.4057)	(43, 33.3747)	(44, 33.3393)	(45, 33.3496)	(46, 33.2651)	(47, 33.2642)	(48, 33.2429)	(49, 33.1695)	(50, 33.0922)	(51, 33.0949)	(52, 33.0558)	(53, 32.9475)	(54, 32.8866)	(55, 32.8383)	(56, 32.8727)	(57, 32.8119)	(58, 32.7779)	(59, 32.7682)	(60, 32.7181)	(61, 32.6556)	(62, 32.645)	(63, 32.5937)	(64, 32.5858)	(65, 32.5126)	(66, 32.4496)	(67, 32.434)	(68, 32.3415)	(69, 32.3449)	(70, 32.2926)	(71, 32.2518)	(72, 32.21)	(73, 32.1435)	(74, 32.1083)	(75, 30.6288)
qc_output | SRR8668757	(1, 31.4706)	(2, 31.4984)	(3, 31.5805)	(4, 31.5894)	(5, 31.5992)	(6, 35.0952)	(7, 35.0921)	(8, 35.0513)	(9, 35.0554)	(10, 35.0106)	(11, 35.0777)	(12, 35.0797)	(13, 35.0666)	(14, 35.0596)	(15, 35.0478)	(16, 35.0522)	(17, 35.0329)	(18, 35.0237)	(19, 35.0211)	(20, 34.9938)	(21, 34.9943)	(22, 34.9506)	(23, 34.9199)	(24, 34.9008)	(25, 34.8709)	(26, 34.7985)	(27, 34.7825)	(28, 34.7574)	(29, 34.7589)	(30, 34.7505)	(31, 34.7382)	(32, 34.7173)	(33, 34.6984)	(34, 34.6958)	(35, 34.6689)	(36, 34.6619)	(37, 34.6372)	(38, 34.5979)	(39, 34.5572)	(40, 34.5627)	(41, 34.5373)	(42, 34.5267)	(43, 34.5034)	(44, 34.4658)	(45, 34.4565)	(46, 34.4174)	(47, 34.4126)	(48, 34.3862)	(49, 34.3349)	(50, 34.2915)	(51, 34.2793)	(52, 34.2525)	(53, 34.2008)	(54, 34.1587)	(55, 34.1168)	(56, 34.0999)	(57, 34.0573)	(58, 34.0151)	(59, 33.9816)	(60, 33.9422)	(61, 33.8881)	(62, 33.8408)	(63, 33.8041)	(64, 33.7794)	(65, 33.7159)	(66, 33.6553)	(67, 33.6445)	(68, 33.5901)	(69, 33.6017)	(70, 33.5717)	(71, 33.5511)	(72, 33.5306)	(73, 33.4905)	(74, 33.4415)	(75, 32.1533)
qc_output | SRR8668758	(1, 30.6583)	(2, 30.8383)	(3, 30.8709)	(4, 30.8927)	(5, 30.8931)	(6, 33.8718)	(7, 33.7829)	(8, 33.7822)	(9, 33.8004)	(10, 33.6874)	(11, 33.9129)	(12, 33.9004)	(13, 33.8315)	(14, 33.8461)	(15, 33.8042)	(16, 33.8169)	(17, 33.7887)	(18, 33.7675)	(19, 33.7485)	(20, 33.7058)	(21, 33.6969)	(22, 33.6064)	(23, 33.5575)	(24, 33.5347)	(25, 33.4972)	(26, 33.2902)	(27, 33.2509)	(28, 33.23)	(29, 33.2221)	(30, 33.1374)	(31, 33.1635)	(32, 33.1359)	(33, 33.082)	(34, 33.0526)	(35, 32.9787)	(36, 33.0331)	(37, 32.975)	(38, 32.9169)	(39, 32.8223)	(40, 32.7398)	(41, 32.6146)	(42, 32.5356)	(43, 32.4855)	(44, 32.4895)	(45, 32.5101)	(46, 32.3966)	(47, 32.3526)	(48, 32.3577)	(49, 32.2207)	(50, 32.1279)	(51, 32.2122)	(52, 32.1118)	(53, 31.951)	(54, 31.8692)	(55, 31.7878)	(56, 31.9196)	(57, 31.7571)	(58, 31.7193)	(59, 31.7442)	(60, 31.6599)	(61, 31.5634)	(62, 31.634)	(63, 31.5191)	(64, 31.5011)	(65, 31.511)	(66, 31.4651)	(67, 31.4535)	(68, 31.3299)	(69, 31.321)	(70, 31.1538)	(71, 31.0435)	(72, 30.9619)	(73, 30.8393)	(74, 30.8246)	(75, 29.2122)
qc_output | SRR8668759	(1, 30.2332)	(2, 30.7323)	(3, 31.0975)	(4, 31.1384)	(5, 31.0987)	(6, 34.3876)	(7, 34.3865)	(8, 34.3945)	(9, 34.3437)	(10, 34.1625)	(11, 34.3797)	(12, 34.3478)	(13, 34.1795)	(14, 34.2377)	(15, 34.0972)	(16, 34.1324)	(17, 34.0338)	(18, 34.0134)	(19, 33.9821)	(20, 33.9234)	(21, 33.8499)	(22, 33.6864)	(23, 33.5298)	(24, 33.6273)	(25, 33.5508)	(26, 33.3187)	(27, 33.2283)	(28, 33.3258)	(29, 33.1827)	(30, 33.187)	(31, 33.1654)	(32, 33.087)	(33, 33.0534)	(34, 32.9686)	(35, 33.0242)	(36, 33.0248)	(37, 32.9724)	(38, 32.8169)	(39, 32.7163)	(40, 32.768)	(41, 31.7873)	(42, 31.5212)	(43, 31.0903)	(44, 30.9506)	(45, 31.7089)	(46, 31.0465)	(47, 30.8003)	(48, 31.3324)	(49, 30.705)	(50, 30.5136)	(51, 31.1738)	(52, 30.8098)	(53, 30.4232)	(54, 30.1654)	(55, 30.0686)	(56, 30.9844)	(57, 29.9608)	(58, 30.0362)	(59, 30.438)	(60, 30.0478)	(61, 29.8128)	(62, 30.6508)	(63, 30.0725)	(64, 29.9283)	(65, 30.5755)	(66, 30.8337)	(67, 31.0815)	(68, 31.2077)	(69, 31.2768)	(70, 31.0151)	(71, 30.5973)	(72, 30.0756)	(73, 29.312)	(74, 29.2332)	(75, 28.3801)
qc_output | SRR8668769	(1, 31.583)	(2, 31.5652)	(3, 31.641)	(4, 31.6551)	(5, 31.66)	(6, 35.2509)	(7, 35.2433)	(8, 35.2184)	(9, 35.2054)	(10, 35.1648)	(11, 35.2391)	(12, 35.2268)	(13, 35.2062)	(14, 35.2003)	(15, 35.1929)	(16, 35.193)	(17, 35.1722)	(18, 35.1687)	(19, 35.1499)	(20, 35.1377)	(21, 35.1364)	(22, 35.0978)	(23, 35.0682)	(24, 35.0443)	(25, 35.0171)	(26, 34.9404)	(27, 34.9294)	(28, 34.9046)	(29, 34.9078)	(30, 34.9219)	(31, 34.9061)	(32, 34.8965)	(33, 34.8802)	(34, 34.8762)	(35, 34.8475)	(36, 34.8353)	(37, 34.8027)	(38, 34.7756)	(39, 34.7676)	(40, 34.7498)	(41, 34.7406)	(42, 34.7041)	(43, 34.6542)	(44, 34.6432)	(45, 34.6424)	(46, 34.6053)	(47, 34.613)	(48, 34.6008)	(49, 34.553)	(50, 34.5151)	(51, 34.4799)	(52, 34.4504)	(53, 34.408)	(54, 34.3738)	(55, 34.3432)	(56, 34.321)	(57, 34.2815)	(58, 34.2497)	(59, 34.2421)	(60, 34.1754)	(61, 34.1417)	(62, 34.0993)	(63, 34.0484)	(64, 34.0382)	(65, 33.959)	(66, 33.8931)	(67, 33.8731)	(68, 33.8498)	(69, 33.8468)	(70, 33.7842)	(71, 33.8065)	(72, 33.768)	(73, 33.744)	(74, 33.7194)	(75, 32.4658)
qc_output | SRR8668771	(1, 31.578)	(2, 31.573)	(3, 31.6496)	(4, 31.66)	(5, 31.6703)	(6, 35.2594)	(7, 35.2573)	(8, 35.2274)	(9, 35.2192)	(10, 35.18)	(11, 35.252)	(12, 35.2438)	(13, 35.2199)	(14, 35.214)	(15, 35.2072)	(16, 35.2011)	(17, 35.1827)	(18, 35.179)	(19, 35.1642)	(20, 35.1462)	(21, 35.1487)	(22, 35.1139)	(23, 35.0832)	(24, 35.0591)	(25, 35.0332)	(26, 34.9646)	(27, 34.9505)	(28, 34.9283)	(29, 34.9356)	(30, 34.9408)	(31, 34.9213)	(32, 34.9126)	(33, 34.8876)	(34, 34.8827)	(35, 34.8591)	(36, 34.8451)	(37, 34.8171)	(38, 34.7904)	(39, 34.7677)	(40, 34.7555)	(41, 34.7462)	(42, 34.7274)	(43, 34.7045)	(44, 34.6829)	(45, 34.669)	(46, 34.6404)	(47, 34.6258)	(48, 34.6115)	(49, 34.5621)	(50, 34.5184)	(51, 34.5006)	(52, 34.4821)	(53, 34.4331)	(54, 34.4028)	(55, 34.366)	(56, 34.3467)	(57, 34.3062)	(58, 34.2749)	(59, 34.2484)	(60, 34.2005)	(61, 34.1608)	(62, 34.1149)	(63, 34.0748)	(64, 34.0586)	(65, 33.9807)	(66, 33.9255)	(67, 33.913)	(68, 33.8695)	(69, 33.8679)	(70, 33.8206)	(71, 33.8242)	(72, 33.7947)	(73, 33.7649)	(74, 33.7271)	(75, 32.4614)
qc_output | SRR8668772	(1, 31.5961)	(2, 31.6121)	(3, 31.6702)	(4, 31.681)	(5, 31.6873)	(6, 35.2943)	(7, 35.3026)	(8, 35.2699)	(9, 35.2573)	(10, 35.2218)	(11, 35.2903)	(12, 35.2797)	(13, 35.2606)	(14, 35.2545)	(15, 35.2468)	(16, 35.2439)	(17, 35.2286)	(18, 35.2244)	(19, 35.2109)	(20, 35.1972)	(21, 35.1954)	(22, 35.1599)	(23, 35.1333)	(24, 35.1089)	(25, 35.0888)	(26, 35.0152)	(27, 35.0053)	(28, 34.9813)	(29, 34.9819)	(30, 34.9975)	(31, 34.9809)	(32, 34.9717)	(33, 34.9518)	(34, 34.9474)	(35, 34.9158)	(36, 34.903)	(37, 34.878)	(38, 34.8514)	(39, 34.8369)	(40, 34.8328)	(41, 34.818)	(42, 34.7918)	(43, 34.7558)	(44, 34.7449)	(45, 34.7355)	(46, 34.6922)	(47, 34.6988)	(48, 34.6839)	(49, 34.6339)	(50, 34.6049)	(51, 34.5611)	(52, 34.5367)	(53, 34.4994)	(54, 34.4658)	(55, 34.4386)	(56, 34.4238)	(57, 34.3857)	(58, 34.3649)	(59, 34.3473)	(60, 34.2845)	(61, 34.2594)	(62, 34.2085)	(63, 34.1717)	(64, 34.1627)	(65, 34.0845)	(66, 34.0176)	(67, 34.004)	(68, 33.9737)	(69, 33.9698)	(70, 33.9146)	(71, 33.9373)	(72, 33.9034)	(73, 33.8833)	(74, 33.8557)	(75, 32.6319)
qc_output | SRR8668773	(1, 31.5846)	(2, 31.6057)	(3, 31.6728)	(4, 31.6801)	(5, 31.6855)	(6, 35.2904)	(7, 35.3008)	(8, 35.2571)	(9, 35.2535)	(10, 35.2241)	(11, 35.2867)	(12, 35.2758)	(13, 35.2574)	(14, 35.2513)	(15, 35.2465)	(16, 35.2454)	(17, 35.2287)	(18, 35.2236)	(19, 35.2124)	(20, 35.1986)	(21, 35.1963)	(22, 35.1636)	(23, 35.1381)	(24, 35.1147)	(25, 35.0945)	(26, 35.02)	(27, 35.0123)	(28, 34.9888)	(29, 34.9927)	(30, 35.0027)	(31, 34.9875)	(32, 34.9803)	(33, 34.9621)	(34, 34.9581)	(35, 34.928)	(36, 34.9197)	(37, 34.8966)	(38, 34.8721)	(39, 34.8544)	(40, 34.8485)	(41, 34.833)	(42, 34.8121)	(43, 34.789)	(44, 34.7645)	(45, 34.7561)	(46, 34.7214)	(47, 34.7232)	(48, 34.7049)	(49, 34.6604)	(50, 34.6296)	(51, 34.6028)	(52, 34.5766)	(53, 34.5401)	(54, 34.504)	(55, 34.4747)	(56, 34.4544)	(57, 34.4196)	(58, 34.3908)	(59, 34.3753)	(60, 34.3228)	(61, 34.287)	(62, 34.2469)	(63, 34.2108)	(64, 34.1991)	(65, 34.1303)	(66, 34.0732)	(67, 34.0609)	(68, 34.0288)	(69, 34.029)	(70, 33.9777)	(71, 33.9933)	(72, 33.9654)	(73, 33.9421)	(74, 33.9129)	(75, 32.749)
qc_output | SRR8668774	(1, 31.107)	(2, 31.2121)	(3, 31.2389)	(4, 31.2506)	(5, 31.2547)	(6, 34.5162)	(7, 34.4524)	(8, 34.4385)	(9, 34.4571)	(10, 34.3878)	(11, 34.5396)	(12, 34.533)	(13, 34.4904)	(14, 34.4909)	(15, 34.4737)	(16, 34.4791)	(17, 34.4625)	(18, 34.4509)	(19, 34.4369)	(20, 34.408)	(21, 34.4081)	(22, 34.349)	(23, 34.3064)	(24, 34.2836)	(25, 34.2619)	(26, 34.1219)	(27, 34.1007)	(28, 34.0711)	(29, 34.088)	(30, 34.0687)	(31, 34.0505)	(32, 34.025)	(33, 33.9932)	(34, 33.9826)	(35, 33.9293)	(36, 33.9571)	(37, 33.9101)	(38, 33.8728)	(39, 33.8075)	(40, 33.7837)	(41, 33.7306)	(42, 33.6842)	(43, 33.6732)	(44, 33.6478)	(45, 33.6559)	(46, 33.5813)	(47, 33.5803)	(48, 33.5547)	(49, 33.4907)	(50, 33.4159)	(51, 33.4152)	(52, 33.3881)	(53, 33.2921)	(54, 33.2335)	(55, 33.1805)	(56, 33.2191)	(57, 33.1588)	(58, 33.1136)	(59, 33.1193)	(60, 33.0551)	(61, 32.9895)	(62, 32.9856)	(63, 32.9371)	(64, 32.9258)	(65, 32.8445)	(66, 32.7717)	(67, 32.766)	(68, 32.6718)	(69, 32.6799)	(70, 32.6167)	(71, 32.5772)	(72, 32.5486)	(73, 32.4731)	(74, 32.4383)	(75, 31.0396)
