Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
qc_output | SRR8668755	89381347.0	511678.0	8049.0	20279.0	0.0
qc_output | SRR8668756	82515390.0	1092675.0	3691.0	872099.0	0.0
qc_output | SRR8668757	94600897.0	480794.0	9682.0	18786.0	0.0
qc_output | SRR8668758	29097347.0	618595.0	823.0	444814.0	0.0
qc_output | SRR8668759	4384299.0	138599.0	240.0	800664.0	0.0
qc_output | SRR8668769	93751229.0	476204.0	2822.0	21277.0	0.0
qc_output | SRR8668771	64151269.0	272069.0	1973.0	11226.0	0.0
qc_output | SRR8668772	67768955.0	392976.0	2085.0	15890.0	0.0
qc_output | SRR8668773	69551293.0	410874.0	2108.0	15848.0	0.0
qc_output | SRR8668774	130283958.0	1513754.0	6945.0	1583277.0	0.0
