.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
qc_output | SRR8668755	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668755_filtered	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668756	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
qc_output | SRR8668756_filtered	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668757	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
qc_output | SRR8668757_filtered	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
qc_output | SRR8668758	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
qc_output | SRR8668758_filtered	1	1	1	0.25	1	1	0.5	0.5	0.5	1
qc_output | SRR8668759	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
qc_output | SRR8668759_filtered	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
qc_output | SRR8668769	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668769_filtered	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668771	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668771_filtered	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
qc_output | SRR8668772	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668772_filtered	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668773	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668773_filtered	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668774	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
qc_output | SRR8668774_filtered	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
