Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
qc_output | SRR8668755 - polya	(1, 0.0013244907469308208)	(2, 0.004249268802705849)	(3, 0.0063244155145218955)	(4, 0.012437535275964987)	(5, 0.015307821269103902)	(6, 0.01826040139765246)	(7, 0.021792376722801314)	(8, 0.027478456646443033)	(9, 0.03671764147054148)	(10, 0.047121177102395245)	(11, 0.05016717219546285)	(12, 0.05339554888592479)	(13, 0.05685968715350624)	(14, 0.0611145163707668)	(15, 0.06388471490192102)	(16, 0.06717425615248472)	(17, 0.0700868012962394)	(18, 0.0728836898172562)	(19, 0.07520349476947928)	(20, 0.07801261620251644)	(21, 0.08123209622969085)	(22, 0.08455166371884996)	(23, 0.08798466366492506)	(24, 0.09098617544155502)	(25, 0.09438247665156907)	(26, 0.09906879403827476)	(27, 0.10321019079861932)	(28, 0.10887958947859692)	(29, 0.113237842406575)	(30, 0.1176995190452706)	(31, 0.12147059219627178)	(32, 0.12489247131323747)	(33, 0.1284211103896535)	(34, 0.13261255088099042)	(35, 0.13717987539622542)	(36, 0.14066736740493663)	(37, 0.14404476320546467)	(38, 0.1470262574896977)	(39, 0.15019235753714694)	(40, 0.15421031309437705)	(41, 0.15744425019939368)	(42, 0.16117417628269004)	(43, 0.16471838451985926)	(44, 0.16836824063356787)	(45, 0.17203032965929682)	(46, 0.1762150976531681)	(47, 0.1796747875891058)	(48, 0.18266851478535917)	(49, 0.18566557823034535)	(50, 0.18832568055331642)	(51, 0.19081007377635878)	(52, 0.193429029031625)	(53, 0.1960579930330897)	(54, 0.19937311219060505)	(55, 0.2026559809437031)	(56, 0.20557075025327967)	(57, 0.20865121991658644)	(58, 0.21130798599082468)	(59, 0.21394918290430973)	(60, 0.21645359361974903)	(61, 0.21893131434532576)	(62, 0.2214123713196353)	(63, 0.22367768420922224)	(64, 0.22367768420922224)
qc_output | SRR8668755_filtered - polya	(1, 0.0010460795584116673)	(2, 0.0027309948685378393)	(3, 0.004080269678638878)	(4, 0.007798047617250611)	(5, 0.00965078317738935)	(6, 0.011646725350872146)	(7, 0.014017466082716342)	(8, 0.017839292576335864)	(9, 0.02441784637682849)	(10, 0.03194738159405899)	(11, 0.034233093399230155)	(12, 0.03676829797608667)	(13, 0.039605579002965796)	(14, 0.04322713999823699)	(15, 0.045640395193417706)	(16, 0.04856606155197012)	(17, 0.05118853265883317)	(18, 0.05379422174069496)	(19, 0.05595686536252357)	(20, 0.058628563742723634)	(21, 0.061737713574623126)	(22, 0.06496098117653117)	(23, 0.06832857419345001)	(24, 0.07129451741200543)	(25, 0.07464420960225628)	(26, 0.07928947412260412)	(27, 0.08337869421457701)	(28, 0.08901521701166576)	(29, 0.09335057347032373)	(30, 0.09778438447565575)	(31, 0.1015290136542695)	(32, 0.10492569551452385)	(33, 0.10843313873978651)	(34, 0.11259619974176491)	(35, 0.11714524731877222)	(36, 0.12062136409736586)	(37, 0.12398560070928445)	(38, 0.1269537815311734)	(39, 0.1301121586364099)	(40, 0.1341085181900425)	(41, 0.1373239541802833)	(42, 0.1410394945155615)	(43, 0.1445681949724924)	(44, 0.1481897559677636)	(45, 0.15181914857470205)	(46, 0.15596654635334598)	(47, 0.15939343585860258)	(48, 0.16235714147382452)	(49, 0.16532755989904693)	(50, 0.167945555799243)	(51, 0.17039125624275947)	(52, 0.17295443086128473)	(53, 0.17551872428147677)	(54, 0.1787710807267203)	(55, 0.18198316031196085)	(56, 0.18482379774384022)	(57, 0.18781211699573067)	(58, 0.19033837115925317)	(59, 0.19283218007443992)	(60, 0.19516823795461485)	(61, 0.19750541463645652)	(62, 0.19985489813663246)	(63, 0.20202089816346133)	(64, 0.20202089816346133)
qc_output | SRR8668756 - polya	(1, 0.008985148700896757)	(2, 0.014283202394114236)	(3, 0.017460140757071276)	(4, 0.023934750610042594)	(5, 0.026801570548597716)	(6, 0.029305007447872733)	(7, 0.03260267893788701)	(8, 0.039127002431411304)	(9, 0.050546935861295626)	(10, 0.061506426287010696)	(11, 0.06500058502302009)	(12, 0.06891612604562138)	(13, 0.0736981048035746)	(14, 0.07952880464557399)	(15, 0.08354022197495604)	(16, 0.08792330795037703)	(17, 0.09202231597978099)	(18, 0.09596034650644197)	(19, 0.09924144678293859)	(20, 0.10334755676099297)	(21, 0.10783480464995353)	(22, 0.11267596631332696)	(23, 0.1181018550822521)	(24, 0.12264118392798246)	(25, 0.12769422039276024)	(26, 0.13452747865257805)	(27, 0.140561767689223)	(28, 0.14749090225582154)	(29, 0.15299017782746774)	(30, 0.15858414604778628)	(31, 0.1632785341057176)	(32, 0.16751839745002167)	(33, 0.1723074781566253)	(34, 0.17761973574714365)	(35, 0.18287044311602496)	(36, 0.1874109556198637)	(37, 0.19181061280880235)	(38, 0.19580309160844991)	(39, 0.19980030504053112)	(40, 0.20494685049587286)	(41, 0.20930389599290894)	(42, 0.21402669184544196)	(43, 0.2185956121438824)	(44, 0.22327697996262125)	(45, 0.22807671359220055)	(46, 0.23280779505149238)	(47, 0.23721573784718986)	(48, 0.24085193555620776)	(49, 0.2446692329558115)	(50, 0.2481657590080377)	(51, 0.2516670196926975)	(52, 0.2553067683760406)	(53, 0.25904594434048966)	(54, 0.2634491525037535)	(55, 0.2678831357778359)	(56, 0.2717087187841985)	(57, 0.27567634076356956)	(58, 0.2791420917049772)	(59, 0.282736861380201)	(60, 0.28602624726345643)	(61, 0.28945057017106995)	(62, 0.2932027663747115)	(63, 0.2968188418958865)	(64, 0.2968188418958865)
qc_output | SRR8668756_filtered - polya	(1, 0.007760976467541389)	(2, 0.01083070685359422)	(3, 0.012781858026726893)	(4, 0.01674717892019901)	(5, 0.018567445418363776)	(6, 0.020236225024204576)	(7, 0.022507316513925464)	(8, 0.026786518248292833)	(9, 0.03484683281506638)	(10, 0.042719303635358204)	(11, 0.04540365136733887)	(12, 0.048399456149937604)	(13, 0.05231630123786605)	(14, 0.05730930920886395)	(15, 0.06078138878092923)	(16, 0.06465460564386838)	(17, 0.06834361444574158)	(18, 0.07193930732194322)	(19, 0.07496783327328393)	(20, 0.07886771182927209)	(21, 0.08316872767613412)	(22, 0.08784906670137535)	(23, 0.09315959119868426)	(24, 0.09762421288925617)	(25, 0.10264630634358027)	(26, 0.10943776670024828)	(27, 0.11545724985363337)	(28, 0.12238080678040787)	(29, 0.12785736091170385)	(30, 0.13345146887144324)	(31, 0.1381415030577932)	(32, 0.14237828846230988)	(33, 0.14718951216251902)	(34, 0.15250003665982795)	(35, 0.1577778399883949)	(36, 0.16229093748451046)	(37, 0.16668284546676687)	(38, 0.17065664962620913)	(39, 0.17463651326134433)	(40, 0.17977252485869605)	(41, 0.18411838082568596)	(42, 0.18886295029327257)	(43, 0.1934414901268721)	(44, 0.19811940536183614)	(45, 0.20291002684468923)	(46, 0.20763641788519693)	(47, 0.21203559723828488)	(48, 0.21565916370267413)	(49, 0.21946572633299072)	(50, 0.2229414415904718)	(51, 0.22641594495281425)	(52, 0.2300249686755404)	(53, 0.23370185852602768)	(54, 0.23804529070274041)	(55, 0.24240447751625485)	(56, 0.24616741192158215)	(57, 0.24999215297897762)	(58, 0.2532872958608085)	(59, 0.25663697402387603)	(60, 0.2596485334432765)	(61, 0.26270978056335914)	(62, 0.2660958155805844)	(63, 0.26919220765968627)	(64, 0.26919220765968627)
qc_output | SRR8668757 - polya	(1, 0.0015613474055910263)	(2, 0.006189664765464223)	(3, 0.009229297997493622)	(4, 0.018966428181452204)	(5, 0.02295443539317393)	(6, 0.02729571716939302)	(7, 0.03202497011912261)	(8, 0.04003778397636787)	(9, 0.05294492252925368)	(10, 0.06898316719247626)	(11, 0.07322141055405028)	(12, 0.077813979892516)	(13, 0.08277349215660548)	(14, 0.08791595017730966)	(15, 0.09178199355128824)	(16, 0.09622000526778637)	(17, 0.09999037011388026)	(18, 0.10393421800503982)	(19, 0.10732922862635526)	(20, 0.11148861605835397)	(21, 0.11629987917484189)	(22, 0.12090401404964532)	(23, 0.12584775512781973)	(24, 0.1301627515941804)	(25, 0.1350612819393983)	(26, 0.1418828455538593)	(27, 0.14788746173792014)	(28, 0.15686442076077278)	(29, 0.1632959103769346)	(30, 0.16965274971309846)	(31, 0.17492663428309482)	(32, 0.17951289514719454)	(33, 0.1847142322619816)	(34, 0.19062422133055207)	(35, 0.1979388973579573)	(36, 0.2031654683702085)	(37, 0.20746889930023144)	(38, 0.21163985226856785)	(39, 0.2162187532459072)	(40, 0.22230432818433202)	(41, 0.22682329865519413)	(42, 0.23229905440490325)	(43, 0.2373920960430736)	(44, 0.2426733404998303)	(45, 0.24807549738193582)	(46, 0.2538393401276934)	(47, 0.2586611173681247)	(48, 0.2626796155392822)	(49, 0.26669495947325667)	(50, 0.2703612344923112)	(51, 0.2738361524555962)	(52, 0.2775276613721148)	(53, 0.2812359928869428)	(54, 0.2859862740845591)	(55, 0.2907512750556962)	(56, 0.2950410376245928)	(57, 0.2990637414453276)	(58, 0.30261541251339935)	(59, 0.30619757454090685)	(60, 0.3099132659424952)	(61, 0.31351225056831206)	(62, 0.3170050425423009)	(63, 0.3201729480864394)	(64, 0.3201729480864394)
qc_output | SRR8668757_filtered - polya	(1, 0.001140581151149127)	(2, 0.003798061238256546)	(3, 0.005684935524448568)	(4, 0.01159819869361281)	(5, 0.014258849998007948)	(6, 0.017246136683038007)	(7, 0.020510376344528743)	(8, 0.026066349032610125)	(9, 0.0352734498912838)	(10, 0.04708200599831522)	(11, 0.05031136226964106)	(12, 0.053929721194926936)	(13, 0.05800790662693188)	(14, 0.062321819210657166)	(15, 0.06565159736276073)	(16, 0.06960504824811545)	(17, 0.07301833512212892)	(18, 0.07667580572729664)	(19, 0.07984702301501433)	(20, 0.08383007192838773)	(21, 0.08846744867546023)	(22, 0.09295154992029304)	(23, 0.09779611286349642)	(24, 0.10202968794259953)	(25, 0.10687636503066139)	(26, 0.11361731591191995)	(27, 0.11957497612311224)	(28, 0.12850300986046675)	(29, 0.1348771566087793)	(30, 0.14118999315619596)	(31, 0.14644998556409036)	(32, 0.15098905457524361)	(33, 0.1561539104645065)	(34, 0.1620365185332228)	(35, 0.16932397586039802)	(36, 0.17453005757440124)	(37, 0.1788059155506739)	(38, 0.18294012582142852)	(39, 0.18749610799144958)	(40, 0.19354150521426874)	(41, 0.1980213781693846)	(42, 0.20345578752810345)	(43, 0.20851176495715468)	(44, 0.21374638762674736)	(45, 0.21909517411869783)	(46, 0.22480759352630664)	(47, 0.2295792184718925)	(48, 0.23355486787826124)	(49, 0.23753791679163466)	(50, 0.24114041963048194)	(51, 0.2445293938386229)	(52, 0.24812766838775324)	(53, 0.25175554096490227)	(54, 0.256393974784404)	(55, 0.2610620066319244)	(56, 0.26525329881385795)	(57, 0.269150724860463)	(58, 0.27254498443075015)	(59, 0.27590013232115546)	(60, 0.27936098745448473)	(61, 0.28270662169302685)	(62, 0.2860184296138334)	(63, 0.2890427138338868)	(64, 0.2890427138338868)
qc_output | SRR8668758 - polya	(1, 0.006826565678143044)	(2, 0.011202994379040964)	(3, 0.013706178976903034)	(4, 0.019186661281891112)	(5, 0.02161690540140488)	(6, 0.023692393558042833)	(7, 0.026258572205387524)	(8, 0.031715846176355686)	(9, 0.040946132163704026)	(10, 0.05010347767270407)	(11, 0.05302109680663602)	(12, 0.05606138856324465)	(13, 0.05988413272395321)	(14, 0.06431692452175664)	(15, 0.06764234723918135)	(16, 0.0714816687813327)	(17, 0.07501596650493662)	(18, 0.07834802017493846)	(19, 0.08121922264083058)	(20, 0.08488282393968831)	(21, 0.08878182405503372)	(22, 0.09283333607965286)	(23, 0.09731254454549611)	(24, 0.10116181251651314)	(25, 0.10525642573288355)	(26, 0.11087284256570254)	(27, 0.11589578914286948)	(28, 0.12144258097362874)	(29, 0.12577259300648683)	(30, 0.1303711586187182)	(31, 0.13452876588457122)	(32, 0.13819568265971752)	(33, 0.14219414706371972)	(34, 0.1464280102842096)	(35, 0.15086743303459013)	(36, 0.15460729028808473)	(37, 0.15836040944673355)	(38, 0.1617720345476608)	(39, 0.1652267608403393)	(40, 0.16972917764020246)	(41, 0.17335299322359748)	(42, 0.17732824929357976)	(43, 0.18117088631201966)	(44, 0.1850533090459223)	(45, 0.18926064845610371)	(46, 0.19337183905391692)	(47, 0.1969326605878293)	(48, 0.20008567853824893)	(49, 0.20321548815464865)	(50, 0.20608337514425223)	(51, 0.20879875022458208)	(52, 0.21191198245953902)	(53, 0.21503184564707306)	(54, 0.21891095290468712)	(55, 0.22249166729633088)	(56, 0.2255087507189196)	(57, 0.22875791748170743)	(58, 0.23162248899502244)	(59, 0.23459978670214846)	(60, 0.23734168559278676)	(61, 0.24072347140711697)	(62, 0.24409199531629297)	(63, 0.24796778709761846)	(64, 0.24796778709761846)
qc_output | SRR8668758 - polyg	(1, 0.2033580536350567)	(2, 0.8100537442021851)	(3, 0.8113600418598774)	(4, 0.8118010002062558)	(5, 0.8121325478351117)	(6, 0.8126431311835498)	(7, 0.8130078335752913)	(8, 0.8135681490680577)	(9, 0.8139759526515505)	(10, 0.814536268144317)	(11, 0.8148777622020386)	(12, 0.8153386134061482)	(13, 0.8159586074721088)	(14, 0.8167079051133231)	(15, 0.816949934882388)	(16, 0.8172019110803185)	(17, 0.817762226573085)	(18, 0.8180374111050354)	(19, 0.8182562325400802)	(20, 0.8184385837359509)	(21, 0.8185844646926476)	(22, 0.8188430718431552)	(23, 0.8191414647091255)	(24, 0.8195293754348869)	(25, 0.8198775004451856)	(26, 0.8202853040286784)	(27, 0.8207892564245393)	(28, 0.8212434766760719)	(29, 0.8216148100203905)	(30, 0.8220657147956345)	(31, 0.8224900957605701)	(32, 0.8229874172038539)	(33, 0.823580887459506)	(34, 0.8243832327213373)	(35, 0.825016488692452)	(36, 0.8255569113274872)	(37, 0.8259846077687113)	(38, 0.8266377565975574)	(39, 0.827287589950115)	(40, 0.8278644828243242)	(41, 0.8286137804655386)	(42, 0.8292072507211907)	(43, 0.8298769769314797)	(44, 0.8304969709974401)	(45, 0.8312595305438087)	(46, 0.8321215543788341)	(47, 0.8331261436942675)	(48, 0.8339185425272331)	(49, 0.8346811020736017)	(50, 0.8357055842467664)	(51, 0.8369256795209561)	(52, 0.8385270545683301)	(53, 0.8400654355662215)	(54, 0.8409075665435155)	(55, 0.8420381439579141)	(56, 0.8431256201805615)	(57, 0.8442661440238258)	(58, 0.8453735131042045)	(59, 0.8469052631495187)	(60, 0.848543108436067)	(61, 0.8498858763329333)	(62, 0.8512551680401083)	(63, 0.8524885252194522)	(64, 0.8536356800152937)
qc_output | SRR8668758_filtered - polya	(1, 0.005725607905078082)	(2, 0.007956051800873805)	(3, 0.009354804752474513)	(4, 0.012550972430579324)	(5, 0.014076884741416459)	(6, 0.015413776383118364)	(7, 0.017008423482731946)	(8, 0.020352370956706122)	(9, 0.026717212397405165)	(10, 0.03310954775361479)	(11, 0.03523688946624584)	(12, 0.03740203531270394)	(13, 0.040416055800551166)	(14, 0.044058999605702885)	(15, 0.04679120745956668)	(16, 0.05014202841241849)	(17, 0.05330039195669626)	(18, 0.05634877983893171)	(19, 0.0589435181152426)	(20, 0.06239400451182027)	(21, 0.06610568310574844)	(22, 0.07000638236881183)	(23, 0.07435042101948332)	(24, 0.07812739766274912)	(25, 0.08223430129214186)	(26, 0.08785337027461644)	(27, 0.09288132007361359)	(28, 0.09847633188001642)	(29, 0.10279287661517732)	(30, 0.10738779724488284)	(31, 0.11150844783203087)	(32, 0.1151685753343767)	(33, 0.11922392787218711)	(34, 0.12340643976923395)	(35, 0.12778140907485483)	(36, 0.13134874461235246)	(37, 0.13486452905826776)	(38, 0.1382050397928031)	(39, 0.1415661709639714)	(40, 0.14591708309352053)	(41, 0.1494156838422417)	(42, 0.15328201571091687)	(43, 0.15699713104428387)	(44, 0.16083596899744845)	(45, 0.1646335660773472)	(46, 0.16860643686862586)	(47, 0.1720844171807141)	(48, 0.1751396785418272)	(49, 0.17811589489584737)	(50, 0.18081717209476178)	(51, 0.18336379601892916)	(52, 0.1862575306264176)	(53, 0.18913751827615075)	(54, 0.19277702534186364)	(55, 0.19608316868201076)	(56, 0.198942535895111)	(57, 0.20186720115754883)	(58, 0.20434852703237857)	(59, 0.2068985876959848)	(60, 0.20903967636637114)	(61, 0.21149694506512914)	(62, 0.21386142179903894)	(63, 0.21610561265258993)	(64, 0.21610561265258993)
qc_output | SRR8668758_filtered - polyg	(1, 0.004622414545216098)	(2, 0.1660769966416526)	(3, 0.1663691194939525)	(4, 0.16645503797992306)	(5, 0.16648596863487244)	(6, 0.1665684503814042)	(7, 0.16663718517018064)	(8, 0.1667884017054888)	(9, 0.16685369975482645)	(10, 0.1669842958535017)	(11, 0.1670770878183499)	(12, 0.16719393695926987)	(13, 0.16737608414952745)	(14, 0.16760634569192853)	(15, 0.16767164374126617)	(16, 0.16772663157228732)	(17, 0.16796720333300488)	(18, 0.16803937486122017)	(19, 0.1680909259528025)	(20, 0.1681493505232625)	(21, 0.16820777509372245)	(22, 0.16828338336137655)	(23, 0.16842428967836828)	(24, 0.16862018382638114)	(25, 0.16880233101663875)	(26, 0.16897416798857987)	(27, 0.16911851104501038)	(28, 0.16928003779863504)	(29, 0.16940376041843264)	(30, 0.1695790341298126)	(31, 0.16974056088343725)	(32, 0.1699330182920113)	(33, 0.17015984309497356)	(34, 0.17043134551064054)	(35, 0.17064442335584754)	(36, 0.1707956398911557)	(37, 0.17093998294758625)	(38, 0.17118055470830382)	(39, 0.17139019581407197)	(40, 0.17156546952545193)	(41, 0.17179573106785304)	(42, 0.17199849869474354)	(43, 0.1721909561033176)	(44, 0.17236622981469754)	(45, 0.17261367505429276)	(46, 0.17281300594174445)	(47, 0.1730363940052679)	(48, 0.17328040250542429)	(49, 0.17347629665343717)	(50, 0.17369968471696062)	(51, 0.17398837082982171)	(52, 0.17440765304135802)	(53, 0.1747238330697297)	(54, 0.1748784863444767)	(55, 0.17507094375305074)	(56, 0.17524278072499186)	(57, 0.17532869921096242)	(58, 0.17539399726030006)	(59, 0.1754627320490765)	(60, 0.17551771988009765)	(61, 0.1755417770561694)	(62, 0.17557270771111883)	(63, 0.17557270771111883)	(64, 0.17557270771111883)
