Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
qc_output | SRR8668755	0.2783309988674214	3.7588491356441223
qc_output | SRR8668755_filtered	0.27997564189763213	3.7795100581780225
qc_output | SRR8668756	0.4017288273599731	1.94510892051505
qc_output | SRR8668756_filtered	0.4109633366575617	1.7406401399787361
qc_output | SRR8668757	0.25976299755739024	2.088048238884765
qc_output | SRR8668757_filtered	0.2610419222557689	2.0985593825817532
qc_output | SRR8668758	0.5992358689178707	1.8593721502445213
qc_output | SRR8668758_filtered	0.6122620045050843	1.3703139327444527
qc_output | SRR8668759	4.0531184292729145	7.506158192960595
qc_output | SRR8668759_filtered	0.38425755177737647	3.2206060763647733
qc_output | SRR8668769	0.40733555397274607	4.385287869909638
qc_output | SRR8668769_filtered	0.4094079662678342	4.40654596645341
qc_output | SRR8668771	0.2649319903706185	1.8409974452848081
qc_output | SRR8668771_filtered	0.2660165615741756	1.8488332631424642
qc_output | SRR8668772	0.45236788680817486	3.555424379728538
qc_output | SRR8668772_filtered	0.45496938826930416	3.575592983542391
qc_output | SRR8668773	0.3692562815301139	3.2421363420581586
qc_output | SRR8668773_filtered	0.37140215351567946	3.2615842238907047
qc_output | SRR8668774	0.5283963690448943	2.3179120534245623
qc_output | SRR8668774_filtered	0.5405423743727528	1.9172575337325877
