Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
qc_output | SRR8668755	(1, 0.06530484477919277)	(2, 0.011503385630774484)	(3, 0.010911757522153832)	(4, 0.01075495383171114)	(5, 0.01075495383171114)	(6, 0.026416417466494306)	(7, 0.01075606591462208)	(8, 0.011175321172046865)	(9, 0.011012957067049469)	(10, 0.010845032547497366)	(11, 0.011100811617013814)	(12, 0.010850592962052073)	(13, 0.011562326025054361)	(14, 0.01082723922092231)	(15, 0.010998499989207235)	(16, 0.011018517481604175)	(17, 0.0111275016068764)	(18, 0.010883955449380305)	(19, 0.011094139119548168)	(20, 0.011163088260026514)	(21, 0.011026302061980763)	(22, 0.011491152718754132)	(23, 0.011547868947212126)	(24, 0.011110820363212284)	(25, 0.012106134568504547)	(26, 0.012279619502611356)	(27, 0.01176806136357846)	(28, 0.013010257975099642)	(29, 0.013962200946865202)	(30, 0.014171272534122122)	(31, 0.014078969652514014)	(32, 0.014342533302407048)	(33, 0.013953304283577673)	(34, 0.014355878297338344)	(35, 0.013499574455913713)	(36, 0.003609145572656677)	(37, 0.0032288149725188697)	(38, 0.0038595156330125616)	(39, 0.004177700004634845)	(40, 0.004149986957739996)	(41, 0.006778524029673028)	(42, 0.007085747826933512)	(43, 0.005718852532763096)	(44, 0.0059893767990031556)	(45, 0.004482185182865869)	(46, 0.004968542318463359)	(47, 0.003993038028608309)	(48, 0.0037373422565356008)	(49, 0.0036652637667457296)	(50, 0.0029889581032868638)	(51, 0.0037493131545425482)	(52, 0.0038743254308038965)	(53, 0.0017987879775512151)	(54, 0.002210890843843822)	(55, 0.003085171016952642)	(56, 0.0025922850412492347)	(57, 0.0028154354959170785)	(58, 0.0027379414536555457)	(59, 0.0024031384252520224)	(60, 0.004800722328181836)	(61, 0.004330460772061299)	(62, 0.0040116850417376915)	(63, 0.004765865136188584)	(64, 0.004301158433064887)	(65, 0.0038307093457990034)	(66, 0.003872548964322624)	(67, 0.005572285009419429)	(68, 0.003164174507610689)	(69, 0.0035830330502256355)	(70, 0.0030204460134499486)	(71, 0.0029498553175541105)	(72, 0.002680871591454814)	(73, 0.0029466910203182722)	(74, 0.0034395138542280524)	(75, 0.007851697528046158)
qc_output | SRR8668755_filtered	(1, 0.0)	(2, 0.000749597116722799)	(3, 0.00015775103501181292)	(4, 0.0)	(5, 0.0)	(6, 0.014795033241107902)	(7, 0.0)	(8, 0.00031997727669062765)	(9, 0.00016110744001206426)	(10, 4.922727333701964e-05)	(11, 0.00019690909334807856)	(12, 4.1395661669766516e-05)	(13, 0.00031662087169037634)	(14, 5.370248000402142e-05)	(15, 9.621694334053839e-05)	(16, 0.00015327582834481112)	(17, 9.286053834028704e-05)	(18, 5.034607500377008e-05)	(19, 0.00028865083002161513)	(20, 0.00019690909334807856)	(21, 5.8177686671023206e-05)	(22, 0.0002785816150208611)	(23, 0.0004307386416989218)	(24, 0.00011188016667504464)	(25, 0.00043633265003267406)	(26, 0.0003982958130472847)	(27, 0.0002539711692823683)	(28, 0.00046654944005955723)	(29, 0.0005940998965885777)	(30, 0.0006355016579041095)	(31, 0.0008447324287095619)	(32, 0.0007977480278057592)	(33, 0.0007675464875271347)	(34, 0.0008190232516673164)	(35, 0.0006008472953871599)	(36, 0.0006982088403287127)	(37, 0.0005896890728410461)	(38, 0.0006579645704877779)	(39, 0.001045168898678563)	(40, 0.0006300342379405208)	(41, 0.002425118778221802)	(42, 0.0024375471708185715)	(43, 0.0011416105297409745)	(44, 0.0023068504403045476)	(45, 0.0010219679796723965)	(46, 0.0012302456853246467)	(47, 0.0009325458884505177)	(48, 0.0008688037873933682)	(49, 0.0007927482702551858)	(50, 0.0008936190426768938)	(51, 0.0013025140368846664)	(52, 0.0008008827946226018)	(53, 0.00017700599975279657)	(54, 9.860237740864458e-05)	(55, 0.00046508681271221895)	(56, 0.0003575727891815288)	(57, 0.0006054400062714615)	(58, 0.00047550794285551893)	(59, 0.0004980919767894075)	(60, 0.0013242390877312436)	(61, 0.0011002499352452393)	(62, 0.0010153964313780097)	(63, 0.0011935325907897316)	(64, 0.0008209598194374226)	(65, 0.0009161745117504558)	(66, 0.0010444679938613674)	(67, 0.001623349482821612)	(68, 0.0004734941853727475)	(69, 0.0004883114441780372)	(70, 0.0004958784764720676)	(71, 0.000437164513429259)	(72, 0.00019437805893792663)	(73, 0.0001520613489508433)	(74, 0.0002270331871941729)	(75, 0.0)
qc_output | SRR8668756	(1, 0.10310017221633648)	(2, 0.035245787493953726)	(3, 0.03452257238971872)	(4, 0.03427163687073702)	(5, 0.03427163687073702)	(6, 0.053493060893113835)	(7, 0.03479718107086851)	(8, 0.03428228979371266)	(9, 0.034462205826190105)	(10, 0.03441012486942032)	(11, 0.03434502367345808)	(12, 0.034375798784276594)	(13, 0.03430359563966393)	(14, 0.0344053902369867)	(15, 0.03441841047617915)	(16, 0.03441367584374553)	(17, 0.03526354236557979)	(18, 0.03443971632213042)	(19, 0.0345154704410683)	(20, 0.03465514209786)	(21, 0.03443853266402202)	(22, 0.03466697867894404)	(23, 0.03500550489794766)	(24, 0.03492146517225096)	(25, 0.03479954838708532)	(26, 0.03576422974543479)	(27, 0.035559456892680856)	(28, 0.035964267965755116)	(29, 0.03599030844414001)	(30, 0.03712425291199129)	(31, 0.036225856407712455)	(32, 0.03583998386437266)	(33, 0.03719527239849555)	(34, 0.036160755211750224)	(35, 0.03634658953476969)	(36, 0.0020390744932171643)	(37, 0.0015442036403866615)	(38, 0.0019102594004362498)	(39, 0.0016474807993278372)	(40, 0.0014889168617844637)	(41, 0.0018266975760007475)	(42, 0.0016717267303310598)	(43, 0.001801116540582189)	(44, 0.0016496789241287064)	(45, 0.001474490881056187)	(46, 0.0025795791881258177)	(47, 0.0019243587800594506)	(48, 0.0021074118028889)	(49, 0.0022182717478027632)	(50, 0.0024918250635809934)	(51, 0.002038021383912664)	(52, 0.001981735852184116)	(53, 0.001975333606585836)	(54, 0.002507234470590728)	(55, 0.0018710777502940945)	(56, 0.002063336485976703)	(57, 0.002129712355933139)	(58, 0.0020034268479339028)	(59, 0.0018473658456858502)	(60, 0.0015279757521451701)	(61, 0.0024248297412893926)	(62, 0.0020734373799410227)	(63, 0.0018721617916724548)	(64, 0.001792587293978624)	(65, 0.001790815810691424)	(66, 0.0021331455014831535)	(67, 0.002265134985908473)	(68, 0.002678707090671004)	(69, 0.0018258622050901765)	(70, 0.0028331997722165205)	(71, 0.003397912795236691)	(72, 0.002643220736177164)	(73, 0.0027425411115579792)	(74, 0.002963719741337197)	(75, 0.003528730214214851)
qc_output | SRR8668756_filtered	(1, 0.0)	(2, 0.000963456635180419)	(3, 0.0002508622936884865)	(4, 0.0)	(5, 0.0)	(6, 0.019356389153586985)	(7, 0.0005320219658417661)	(8, 1.0907056247325498e-05)	(9, 0.0001648177388484742)	(10, 0.0001260370944135391)	(11, 2.302600763324272e-05)	(12, 7.756128886987022e-05)	(13, 2.0602217356059275e-05)	(14, 0.00010301108678029638)	(15, 7.028991803831989e-05)	(16, 0.00010058729650311293)	(17, 0.0009016499831122413)	(18, 8.84683451171957e-05)	(19, 0.00011270624788903016)	(20, 0.00018299616592735003)	(21, 0.00010179919164170465)	(22, 0.00011391814302762187)	(23, 0.00045324878183330405)	(24, 0.0005005126922383812)	(25, 0.00025570987424285336)	(26, 0.0007586946283208342)	(27, 0.0003927732724285843)	(28, 0.0005916617760607462)	(29, 0.0007955945986597578)	(30, 0.0015929014971308724)	(31, 0.0006879416734172713)	(32, 0.0005399581269146218)	(33, 0.0013165625829904628)	(34, 0.0005921647095461222)	(35, 0.000701394896065836)	(36, 0.0005266979424921089)	(37, 0.0003252795926780971)	(38, 0.00036175029163992893)	(39, 0.00022097196607584956)	(40, 0.000245302496656023)	(41, 0.0002902870440884076)	(42, 0.00035836670982697643)	(43, 0.0003547996648601248)	(44, 0.00026980209433024997)	(45, 0.00013858384403404633)	(46, 0.000918261416133026)	(47, 0.000388157138323544)	(48, 0.0003311557650310567)	(49, 0.00044114337049864675)	(50, 0.0005293206115067837)	(51, 0.00028818009908095825)	(52, 0.0003972779735645124)	(53, 0.0003877134464955138)	(54, 0.0006032637523455702)	(55, 0.0004003944485297467)	(56, 0.0005513291479854911)	(57, 0.0005909665490863926)	(58, 0.0003349535515125067)	(59, 0.00033644309899948696)	(60, 0.00014748989890845675)	(61, 0.000386326383662085)	(62, 0.00029094857384097893)	(63, 0.0002679780516343321)	(64, 0.00021914138597368596)	(65, 0.0003548409725590558)	(66, 0.0005468541251050264)	(67, 0.0004461701705061866)	(68, 0.0007616388248165131)	(69, 0.0002071004556387902)	(70, 0.0007180315769515916)	(71, 0.0010274258937900626)	(72, 0.000311455744811111)	(73, 0.00039998760442454164)	(74, 0.0006118436893715224)	(75, 0.0)
qc_output | SRR8668757	(1, 0.0673145757226628)	(2, 0.008366088421742624)	(3, 0.00785615341048899)	(4, 0.007699492963732717)	(5, 0.007699492963732717)	(6, 0.02225209191375655)	(7, 0.007699492963732717)	(8, 0.008076950013299842)	(9, 0.007926598040909595)	(10, 0.007760474882604286)	(11, 0.008062230239779117)	(12, 0.007803582790772119)	(13, 0.008375551133291661)	(14, 0.007776246068519348)	(15, 0.007949729113585017)	(16, 0.007926598040909595)	(17, 0.008046459053864056)	(18, 0.007841433636968265)	(19, 0.008070641538933818)	(20, 0.008259895769914547)	(21, 0.008062230239779117)	(22, 0.008745648296098422)	(23, 0.008518543218921546)	(24, 0.00814634323132611)	(25, 0.00948373979692327)	(26, 0.009429066352417727)	(27, 0.00897590761045831)	(28, 0.010267042030704629)	(29, 0.011451983799122867)	(30, 0.01160864424587914)	(31, 0.011303734651521295)	(32, 0.011921965139391682)	(33, 0.011311094538281656)	(34, 0.011516119955177448)	(35, 0.010766462918014889)	(36, 0.0039115903197140455)	(37, 0.0034647350486614417)	(38, 0.004312304879639533)	(39, 0.00489596314904438)	(40, 0.004775109483659766)	(41, 0.007174884308539584)	(42, 0.00769873164736894)	(43, 0.0063023577201205706)	(44, 0.006337213321810949)	(45, 0.004763019283076732)	(46, 0.005612930779028097)	(47, 0.004368906005848003)	(48, 0.003800070197698626)	(49, 0.003683494697818696)	(50, 0.002902142917505867)	(51, 0.003802791783558683)	(52, 0.004268059422370285)	(53, 0.002438780096524349)	(54, 0.0028514365268913875)	(55, 0.003968176466438508)	(56, 0.0033676442611716307)	(57, 0.0034564381022243462)	(58, 0.0033916188256655606)	(59, 0.002726743945678291)	(60, 0.0054334013101678515)	(61, 0.004856263755596157)	(62, 0.005131194077318973)	(63, 0.006128215222750034)	(64, 0.00572406388552766)	(65, 0.0052756088109498864)	(66, 0.005274188513734943)	(67, 0.007364912642546165)	(68, 0.004285998551435919)	(69, 0.0049023873232520694)	(70, 0.003732397593542726)	(71, 0.0036719464234771073)	(72, 0.0033300766324717507)	(73, 0.003954273942150716)	(74, 0.004540268453839141)	(75, 0.010283358172106306)
qc_output | SRR8668757_filtered	(1, 0.0)	(2, 0.000667012702849953)	(3, 0.00015644671952740576)	(4, 0.0)	(5, 0.0)	(6, 0.013739827435251485)	(7, 0.0)	(8, 0.0002843524834653523)	(9, 0.00014799014009349193)	(10, 3.699753502337298e-05)	(11, 0.00020612912370164947)	(12, 4.016875231109066e-05)	(13, 0.0002473549484419794)	(14, 4.862533174500449e-05)	(15, 9.40794462022913e-05)	(16, 0.00011522089478707584)	(17, 9.513651863153052e-05)	(18, 5.4967766320439855e-05)	(19, 0.0003202929460594861)	(20, 0.00023149886200339093)	(21, 7.18809251882675e-05)	(22, 0.0004175436095494951)	(23, 0.0003964021609647105)	(24, 0.00014270477794729578)	(25, 0.0005687049669307046)	(26, 0.0004513733769665159)	(27, 0.0002695576922965116)	(28, 0.00045138095404512706)	(29, 0.0006871204379735271)	(30, 0.0006797276924180393)	(31, 0.0008108196449992682)	(32, 0.0009334578986913384)	(33, 0.0007262664450852762)	(34, 0.0007188765186332529)	(35, 0.0005729953588221685)	(36, 0.0006819015958273457)	(37, 0.0005783094785431007)	(38, 0.0006311889156882797)	(39, 0.0012010925501547331)	(40, 0.0007591669595398162)	(41, 0.002245864421478965)	(42, 0.002457442442156389)	(43, 0.00129222323560347)	(44, 0.0021192621545580216)	(45, 0.0009285455339958024)	(46, 0.001263867321471919)	(47, 0.0009688471021984135)	(48, 0.0007753460436561287)	(49, 0.000686551068604044)	(50, 0.00077125235046824)	(51, 0.0011638808332464126)	(52, 0.0007915369127260394)	(53, 0.000293162562154432)	(54, 0.00011961080169372704)	(55, 0.0005960340424155187)	(56, 0.00046801643453475055)	(57, 0.0006026149847110541)	(58, 0.000518008227644383)	(59, 0.0004874167795451522)	(60, 0.0012454243110810882)	(61, 0.0009691302742874067)	(62, 0.0012601708276117813)	(63, 0.0014698529498616815)	(64, 0.0010608136315252488)	(65, 0.0012698367899495065)	(66, 0.0014528890565939322)	(67, 0.002174250041587057)	(68, 0.0007229898355306893)	(69, 0.0007342048883275968)	(70, 0.0005339428602013113)	(71, 0.00047861807697142385)	(72, 0.00022528097925266657)	(73, 0.0001964118092500441)	(74, 0.0003288645917797269)	(75, 0.0)
qc_output | SRR8668758	(1, 0.20754881566379535)	(2, 0.1586389094549725)	(3, 0.15763763561582766)	(4, 0.157514962993151)	(5, 0.157514962993151)	(6, 0.17501073136787698)	(7, 0.1581283261065344)	(8, 0.15751827846943955)	(9, 0.1576508975209819)	(10, 0.15761442728180777)	(11, 0.15754811775603658)	(12, 0.15758790347149929)	(13, 0.15752159394572812)	(14, 0.15762437371067342)	(15, 0.1576442665684048)	(16, 0.1576177427580963)	(17, 0.15851955230858436)	(18, 0.15768073680757894)	(19, 0.1576442665684048)	(20, 0.15782661776427553)	(21, 0.1576674749024247)	(22, 0.15772715347561875)	(23, 0.15818468920343992)	(24, 0.1582410523003454)	(25, 0.15796586776839502)	(26, 0.15908649875392797)	(27, 0.15853944516631574)	(28, 0.1589240404157886)	(29, 0.15920254042402754)	(30, 0.1601275583085355)	(31, 0.15918596304258473)	(32, 0.15892072493950002)	(33, 0.16015739759513253)	(34, 0.1589638261312513)	(35, 0.15923901066320167)	(36, 0.001258881675950836)	(37, 0.0010632309775269189)	(38, 0.0013427905227839144)	(39, 0.0011571388199824173)	(40, 0.0011011556145795664)	(41, 0.0012083062365944165)	(42, 0.0010692322555994043)	(43, 0.0012600166322195452)	(44, 0.0010474751428977934)	(45, 0.0010182752020608554)	(46, 0.0018847151174570167)	(47, 0.001140732274517456)	(48, 0.0012427382299877022)	(49, 0.0011977573151769876)	(50, 0.00157975594518462)	(51, 0.0011384817160678472)	(52, 0.0011411585433171965)	(53, 0.0011880633146357214)	(54, 0.0015476362435773096)	(55, 0.0012901207556431295)	(56, 0.0013010504804513068)	(57, 0.0014117860560221378)	(58, 0.001173030171884008)	(59, 0.001188652692925502)	(60, 0.0009273407992024451)	(61, 0.0013482146424772278)	(62, 0.001244048991492708)	(63, 0.0011710928847545182)	(64, 0.0011117048517685889)	(65, 0.0011058344219040523)	(66, 0.001310213067428125)	(67, 0.0013096255361074339)	(68, 0.0017804132471574083)	(69, 0.0011874905882093615)	(70, 0.0019026753825679055)	(71, 0.001982959340516162)	(72, 0.0017264328299080778)	(73, 0.0017579223932963823)	(74, 0.0021285180345221645)	(75, 0.002270307042231823)
qc_output | SRR8668758_filtered	(1, 0.0)	(2, 0.0011169403176172728)	(3, 0.0001237226197976056)	(4, 0.0)	(5, 0.0)	(6, 0.017730138764884648)	(7, 0.0006254865778656728)	(8, 3.436739438822378e-06)	(9, 0.00012028588035878323)	(10, 7.560826765409232e-05)	(11, 1.718369719411189e-05)	(12, 5.498783102115805e-05)	(13, 1.0310218316467134e-05)	(14, 8.591848597055945e-05)	(15, 8.591848597055945e-05)	(16, 6.18613098988028e-05)	(17, 0.0009760340006255554)	(18, 0.0001099756620423161)	(19, 8.935522540938182e-05)	(20, 0.00019589414801287556)	(21, 0.00011684914091996083)	(22, 7.904500709291469e-05)	(23, 0.0004948904791904224)	(24, 0.0005945559229162714)	(25, 0.00025431871847285593)	(26, 0.0009932764805705326)	(27, 0.000391885885855123)	(28, 0.0006085332241778295)	(29, 0.0009044292064744477)	(30, 0.0016682796810001586)	(31, 0.0006880117969254748)	(32, 0.0005607722666669603)	(33, 0.001469093692017891)	(34, 0.0005264252576774221)	(35, 0.0007638767764909283)	(36, 0.0003338755311331532)	(37, 0.0003133455595490854)	(38, 0.0003410497974388125)	(39, 0.00019302195307608746)	(40, 0.0002828188123348183)	(41, 0.0002105378326993901)	(42, 0.00021416005562634736)	(43, 0.0003526407241332065)	(44, 0.00014879817444710407)	(45, 0.00013855832144907062)	(46, 0.0007978025603773509)	(47, 0.00020495354658390898)	(48, 0.00022967801126403607)	(49, 0.0002058283830153628)	(50, 0.0004022103100352487)	(51, 0.00018594667645751935)	(52, 0.00023934443839904195)	(53, 0.00022239412856908157)	(54, 0.0004355027353289485)	(55, 0.00032329727408173003)	(56, 0.0004028889347160196)	(57, 0.0004653546505378086)	(58, 0.0001977404593194485)	(59, 0.0002782243821106203)	(60, 0.00011629280770050269)	(61, 0.00017188827905528155)	(62, 0.0002358590607966899)	(63, 0.0001894548677642171)	(64, 0.00012746969248724)	(65, 0.0002497409599732217)	(66, 0.00033304372565526926)	(67, 0.00021342512321032361)	(68, 0.0005239164098852549)	(69, 0.00014876625331628125)	(70, 0.0006165621922583958)	(71, 0.0005140644450571081)	(72, 0.00021681426731542697)	(73, 0.0002548192466496969)	(74, 0.00040818034223880794)	(75, 0.0)
qc_output | SRR8668759	(1, 0.695386492585562)	(2, 0.6122879851654889)	(3, 0.6116869109707687)	(4, 0.6114427245791636)	(5, 0.6114427245791636)	(6, 0.6310527701819114)	(7, 0.6117620452451087)	(8, 0.6114615081477486)	(9, 0.6116117766964286)	(10, 0.6117432616765237)	(11, 0.6115742095592587)	(12, 0.6115742095592587)	(13, 0.6115178588535035)	(14, 0.6115366424220886)	(15, 0.6116117766964286)	(16, 0.6115554259906736)	(17, 0.6122316344597338)	(18, 0.6116493438335986)	(19, 0.6117244781079387)	(20, 0.6118747466566188)	(21, 0.6115554259906736)	(22, 0.6119310973623737)	(23, 0.6120625823424688)	(24, 0.6121189330482237)	(25, 0.6119310973623737)	(26, 0.612832708654454)	(27, 0.6129641936345491)	(28, 0.6133210814376643)	(29, 0.6130956786146442)	(30, 0.6142602598669147)	(31, 0.6132647307319092)	(32, 0.6132647307319092)	(33, 0.6142226927297446)	(34, 0.6136591856721945)	(35, 0.6136028349664394)	(36, 0.002496619633757248)	(37, 0.0019308151087418033)	(38, 0.002425303034982533)	(39, 0.0020294890448371034)	(40, 0.002088805767078788)	(41, 0.0022246602639549896)	(42, 0.0020945498859898416)	(43, 0.002307358892132116)	(44, 0.002100530231117522)	(45, 0.002065126439278399)	(46, 0.003293547156031605)	(47, 0.0026464813017466203)	(48, 0.0029968987860830936)	(49, 0.003022026725110482)	(50, 0.003549304664210702)	(51, 0.0030743226194156815)	(52, 0.0031402992666431984)	(53, 0.0027206521791938126)	(54, 0.0035656611632083)	(55, 0.0026764095789675625)	(56, 0.002977487063602258)	(57, 0.0031033197271749854)	(58, 0.0027580158282528382)	(59, 0.0021938046561230965)	(60, 0.0020430277512591896)	(61, 0.003066362048154628)	(62, 0.0028789676022178447)	(63, 0.002871296253721391)	(64, 0.0025210167078869705)	(65, 0.0024520234259428134)	(66, 0.0028303116193454853)	(67, 0.0031502557434889937)	(68, 0.004173115637856614)	(69, 0.002479927057078828)	(70, 0.0035745303077566685)	(71, 0.004455774244118692)	(72, 0.0037368836965675774)	(73, 0.003546536396329767)	(74, 0.003531440007470536)	(75, 0.004859217170945426)
qc_output | SRR8668759_filtered	(1, 0.0)	(2, 0.0008895378713906145)	(3, 0.00025089529705889127)	(4, 0.0)	(5, 0.0)	(6, 0.020619031685567068)	(7, 0.000387747277272832)	(8, 2.2808663368990116e-05)	(9, 0.00011404331684495059)	(10, 0.0002965126237968715)	(11, 2.2808663368990116e-05)	(12, 0.00011404331684495059)	(13, 2.2808663368990116e-05)	(14, 6.842599010697035e-05)	(15, 6.842599010697035e-05)	(16, 0.00011404331684495059)	(17, 0.0007070685644386936)	(18, 0.0)	(19, 0.00011404331684495059)	(20, 0.00022808663368990118)	(21, 6.842599010697035e-05)	(22, 0.0001368519802139407)	(23, 0.0004333646040108123)	(24, 0.0004789819307487924)	(25, 0.00020527797032091107)	(26, 0.0007527200565680528)	(27, 0.0003421653822158402)	(28, 0.0005018801113352588)	(29, 0.000593171094955057)	(30, 0.0014602440569778106)	(31, 0.0005932850627478819)	(32, 0.0004792479914374359)	(33, 0.0011183971770742272)	(34, 0.0007076643242216606)	(35, 0.0005479558393256491)	(36, 0.000594267920206275)	(37, 0.0005491982049456672)	(38, 0.00036662183187181067)	(39, 0.00027536520884500587)	(40, 0.0002528304367392964)	(41, 0.0002763208886848208)	(42, 0.0003922335903309344)	(43, 0.00030055086349419044)	(44, 0.0004401430882014317)	(45, 0.00016247115846810124)	(46, 0.0010233355389315214)	(47, 0.0005127701920161215)	(48, 0.00042058256292732944)	(49, 0.0009138009244853662)	(50, 0.0006110304629237291)	(51, 0.0004480177924371295)	(52, 0.0006862698465098327)	(53, 0.0005224523915258223)	(54, 0.0008819342677704988)	(55, 0.00047848549770267146)	(56, 0.0009606523982567041)	(57, 0.0009643422402393498)	(58, 0.00048427709657478075)	(59, 0.00046223582006473245)	(60, 0.00017118199947911765)	(61, 0.0005409672001750767)	(62, 0.0005194352897410047)	(63, 0.00032356901602662225)	(64, 0.0002756095794874313)	(65, 0.0004795126939628847)	(66, 0.0007121586852329827)	(67, 0.0005895933190361226)	(68, 0.0013711657806693566)	(69, 0.00013081163386346927)	(70, 0.0006099999681739147)	(71, 0.0012157565288151858)	(72, 0.00022084000914277639)	(73, 0.0004247003455928279)	(74, 0.0006742703934612935)	(75, 0.0)
