Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
qc_output | SRR8668755	(1, 31.402446546817416)	(2, 31.41226635012932)	(3, 31.49518267368597)	(4, 31.514212858874576)	(5, 31.521061543635803)	(6, 34.9587967053832)	(7, 34.961138284918825)	(8, 34.910208824371225)	(9, 34.91841096963921)	(10, 34.86092811570573)	(11, 34.93510760453082)	(12, 34.94775936033792)	(13, 34.92439333069199)	(14, 34.913815375976384)	(15, 34.901806337366835)	(16, 34.904771495153106)	(17, 34.8790972929422)	(18, 34.86992184158973)	(19, 34.871191595615784)	(20, 34.83658247446522)	(21, 34.83827069416983)	(22, 34.78938096049333)	(23, 34.74925438455091)	(24, 34.728919937403525)	(25, 34.69466710537596)	(26, 34.61630313769856)	(27, 34.58171603578963)	(28, 34.5566750091049)	(29, 34.56634361362423)	(30, 34.55951981727855)	(31, 34.53769886002494)	(32, 34.51094895113511)	(33, 34.501870095304284)	(34, 34.49593280697189)	(35, 34.4740586810343)	(36, 34.46597157970811)	(37, 34.43766426790813)	(38, 34.38885796765582)	(39, 34.338864603690375)	(40, 34.34089353212353)	(41, 34.313348318684106)	(42, 34.305520449401484)	(43, 34.2740478249583)	(44, 34.23373508472471)	(45, 34.21726467646149)	(46, 34.17627113190803)	(47, 34.17171879248305)	(48, 34.14127510885663)	(49, 34.08359825731507)	(50, 34.026523019372924)	(51, 34.01991804528952)	(52, 33.99887417512122)	(53, 33.93807901688223)	(54, 33.899790804751355)	(55, 33.84722967953668)	(56, 33.82942585151135)	(57, 33.77818994605089)	(58, 33.734317568705315)	(59, 33.69443468792279)	(60, 33.654554418973525)	(61, 33.58540570961165)	(62, 33.53162866897754)	(63, 33.49128274414522)	(64, 33.46367100446955)	(65, 33.398644553949055)	(66, 33.33106330647186)	(67, 33.332667559967554)	(68, 33.27025063581633)	(69, 33.27268263730959)	(70, 33.25979824181617)	(71, 33.219827017659846)	(72, 33.18733759465758)	(73, 33.148859486568234)	(74, 33.09839977937046)	(75, 31.69869923598585)
qc_output | SRR8668755_filtered	(1, 31.441832097249552)	(2, 31.44081318219561)	(3, 31.52478206666543)	(4, 31.543720000102482)	(5, 31.546860700141384)	(6, 35.00025846556105)	(7, 35.001208093227774)	(8, 34.95277586273118)	(9, 34.961328273560255)	(10, 34.90461032098789)	(11, 34.97856127632536)	(12, 34.99178450510485)	(13, 34.96886156795109)	(14, 34.95797876037827)	(15, 34.94681186668623)	(16, 34.94983202703356)	(17, 34.925075396324026)	(18, 34.91601869683168)	(19, 34.91846539300868)	(20, 34.88453607663801)	(21, 34.887612982605866)	(22, 34.84014197056126)	(23, 34.80109563575944)	(24, 34.7818904877323)	(25, 34.75012291994212)	(26, 34.6796009912822)	(27, 34.64666144716755)	(28, 34.62309839287144)	(29, 34.6345582226178)	(30, 34.62814850093942)	(31, 34.6081377897105)	(32, 34.5813106523462)	(33, 34.57355809735027)	(34, 34.56810218617446)	(35, 34.54709740965444)	(36, 34.5364323974228)	(37, 34.50884073159445)	(38, 34.46078412547232)	(39, 34.411162137510054)	(40, 34.413952201081685)	(41, 34.387050814732476)	(42, 34.378886299918335)	(43, 34.348676239354496)	(44, 34.308145231468714)	(45, 34.29235852154568)	(46, 34.25206171378038)	(47, 34.24809515747504)	(48, 34.21751254063967)	(49, 34.16066034632059)	(50, 34.10392525188019)	(51, 34.0978004816166)	(52, 34.07740524369217)	(53, 34.016573329423814)	(54, 33.98007045386372)	(55, 33.928559729356685)	(56, 33.91158434393884)	(57, 33.86158733296625)	(58, 33.81896997667521)	(59, 33.78126599342207)	(60, 33.742968267999416)	(61, 33.675729702316936)	(62, 33.625089567456506)	(63, 33.58803857146691)	(64, 33.5641258237657)	(65, 33.504701854866205)	(66, 33.44552720834617)	(67, 33.45799588289692)	(68, 33.41180422134192)	(69, 33.439241616298645)	(70, 33.46523945334721)	(71, 33.49263599810357)	(72, 33.566610005462486)	(73, 33.53264650483276)	(74, 33.484358870198605)	(75, 32.06316117312978)
qc_output | SRR8668756	(1, 30.99304748818576)	(2, 31.13835808036932)	(3, 31.138521472534606)	(4, 31.157349756352854)	(5, 31.163711362366218)	(6, 34.31753636242096)	(7, 34.23562941108689)	(8, 34.23456662814451)	(9, 34.25524878096531)	(10, 34.17161580754098)	(11, 34.35618368740394)	(12, 34.347577770924396)	(13, 34.30514674075893)	(14, 34.3098094422893)	(15, 34.28868950168053)	(16, 34.29940709973521)	(17, 34.28429981089286)	(18, 34.27374250381922)	(19, 34.25432311297821)	(20, 34.222390680444214)	(21, 34.22401893237471)	(22, 34.15797350866624)	(23, 34.122229566820785)	(24, 34.095675522855814)	(25, 34.0679526165088)	(26, 33.915295910680214)	(27, 33.90081072886648)	(28, 33.865608393461684)	(29, 33.87483921040298)	(30, 33.86023771050694)	(31, 33.83769664630005)	(32, 33.80645847659295)	(33, 33.774331935965755)	(34, 33.76503875207872)	(35, 33.69994172259303)	(36, 33.71257177524454)	(37, 33.667018975621964)	(38, 33.628013718433735)	(39, 33.567256869852805)	(40, 33.53434639220816)	(41, 33.47666104797237)	(42, 33.40569677552349)	(43, 33.374659020200184)	(44, 33.33926479024854)	(45, 33.34961917598622)	(46, 33.265057096187626)	(47, 33.26415567448348)	(48, 33.24292107389389)	(49, 33.16951351794044)	(50, 33.0922000310434)	(51, 33.094945006657696)	(52, 33.05581406449452)	(53, 32.94750024145276)	(54, 32.8865736631607)	(55, 32.8382986553917)	(56, 32.87265440413702)	(57, 32.81185922353853)	(58, 32.77790730149927)	(59, 32.76818750732366)	(60, 32.71811150063369)	(61, 32.655648270538194)	(62, 32.645015488171374)	(63, 32.59373046110341)	(64, 32.58576981304044)	(65, 32.51263183534703)	(66, 32.44964674691057)	(67, 32.43398232290097)	(68, 32.34145743551851)	(69, 32.34494297031264)	(70, 32.29261958205051)	(71, 32.25182221526164)	(72, 32.209979361509085)	(73, 32.143480600898556)	(74, 32.10831439272217)	(75, 30.628813536266833)
qc_output | SRR8668756_filtered	(1, 31.074829616632726)	(2, 31.205793549542697)	(3, 31.20902880056678)	(4, 31.226756693508932)	(5, 31.224527327568833)	(6, 34.41064557775222)	(7, 34.32650953961437)	(8, 34.32789030022157)	(9, 34.34941615133856)	(10, 34.270004298592056)	(11, 34.45731889529941)	(12, 34.455556254415086)	(13, 34.40700059710073)	(14, 34.40928983066068)	(15, 34.391633548602265)	(16, 34.400625083393535)	(17, 34.3912788026573)	(18, 34.37732879890648)	(19, 34.358397469853806)	(20, 34.32735406086065)	(21, 34.33191546449699)	(22, 34.26836422878205)	(23, 34.23706056530788)	(24, 34.20991536245542)	(25, 34.19216668551164)	(26, 34.07641615927449)	(27, 34.05150720803205)	(28, 34.01430040450631)	(29, 34.02844677594627)	(30, 34.00769030520357)	(31, 33.99031938668896)	(32, 33.95735291801501)	(33, 33.92630531841048)	(34, 33.917304465271386)	(35, 33.851713323887964)	(36, 33.85259572886803)	(37, 33.81138444347192)	(38, 33.77255786808948)	(39, 33.709732682320784)	(40, 33.68672854110457)	(41, 33.63461492026823)	(42, 33.565496193210144)	(43, 33.53457394544457)	(44, 33.50055099178156)	(45, 33.50870703449526)	(46, 33.42663270680539)	(47, 33.424456681304406)	(48, 33.401729831098145)	(49, 33.329937488034595)	(50, 33.24960470787997)	(51, 33.25257972169691)	(52, 33.21756339028466)	(53, 33.1093393748139)	(54, 33.05165388979328)	(55, 33.00756618165144)	(56, 33.03982032354592)	(57, 32.98341539431078)	(58, 32.952485489088254)	(59, 32.943160602955146)	(60, 32.8959137603946)	(61, 32.83624895536546)	(62, 32.828642311534146)	(63, 32.78403062230888)	(64, 32.780742456710875)	(65, 32.712830910609036)	(66, 32.65471016419949)	(67, 32.65311625299673)	(68, 32.58790851708921)	(69, 32.63761925651038)	(70, 32.66773331112222)	(71, 32.74599796507326)	(72, 32.87765875813224)	(73, 32.82268720534331)	(74, 32.7922498268526)	(75, 31.25610698229308)
qc_output | SRR8668757	(1, 31.470598529858414)	(2, 31.498355533187574)	(3, 31.58052524126261)	(4, 31.5893774186625)	(5, 31.599245502260175)	(6, 35.09517440718399)	(7, 35.09206256294872)	(8, 35.05126064398652)	(9, 35.05544175359858)	(10, 35.01062481664025)	(11, 35.077717270980486)	(12, 35.07968882693173)	(13, 35.06658915374119)	(14, 35.059636794424875)	(15, 35.04778974241858)	(16, 35.052166383193615)	(17, 35.032898725361186)	(18, 35.02367866927864)	(19, 35.02112564021684)	(20, 34.99380816932501)	(21, 34.9943373556972)	(22, 34.950551728128225)	(23, 34.919913991522186)	(24, 34.90082345462171)	(25, 34.870870639591715)	(26, 34.79846172899364)	(27, 34.78253765720232)	(28, 34.75736530941978)	(29, 34.75889025692828)	(30, 34.750482217152005)	(31, 34.73821597753822)	(32, 34.7173496051037)	(33, 34.69836480874772)	(34, 34.6958258265555)	(35, 34.66890227783133)	(36, 34.66187055571837)	(37, 34.63720632072403)	(38, 34.597862985318976)	(39, 34.55719170035402)	(40, 34.562740742912396)	(41, 34.53728086922204)	(42, 34.52670940393393)	(43, 34.5034479617541)	(44, 34.46577726026557)	(45, 34.45653012940973)	(46, 34.41742845611401)	(47, 34.412560137796596)	(48, 34.38622596664641)	(49, 34.33492846604913)	(50, 34.29145841591047)	(51, 34.279325533903815)	(52, 34.25247243148694)	(53, 34.20082331448522)	(54, 34.15866468174417)	(55, 34.11679511379943)	(56, 34.09992806606619)	(57, 34.0572948189298)	(58, 34.01509623013146)	(59, 33.98155573544111)	(60, 33.94215426169727)	(61, 33.88812377370388)	(62, 33.84083817607551)	(63, 33.80407689211569)	(64, 33.779384238491296)	(65, 33.71585860870767)	(66, 33.65525607951734)	(67, 33.64453459602041)	(68, 33.590148934702974)	(69, 33.60173202832902)	(70, 33.571696473694566)	(71, 33.551074886411655)	(72, 33.53056287042784)	(73, 33.49047488662726)	(74, 33.44145987308065)	(75, 32.15334570642622)
qc_output | SRR8668757_filtered	(1, 31.509740103204308)	(2, 31.523904503780763)	(3, 31.606653201184763)	(4, 31.6153633934359)	(5, 31.62210693414461)	(6, 35.13164323378456)	(7, 35.127196362630684)	(8, 35.088375483374115)	(9, 35.09263588695147)	(10, 35.04847876865269)	(11, 35.115372341554014)	(12, 35.11784721237897)	(13, 35.105077957136075)	(14, 35.09793814111509)	(15, 35.08668127110888)	(16, 35.09127191468385)	(17, 35.07268327487423)	(18, 35.06380314765937)	(19, 35.06219331091543)	(20, 35.03538396681376)	(21, 35.03704089613442)	(22, 34.99455229267012)	(23, 34.96536810850747)	(24, 34.94778249301378)	(25, 34.91990149945407)	(26, 34.855058321562915)	(27, 34.840743994029985)	(28, 34.81748140506033)	(29, 34.82067318330985)	(30, 34.81321400148134)	(31, 34.80241915176721)	(32, 34.78211484728956)	(33, 34.76432163336414)	(34, 34.76249421396905)	(35, 34.73625195954898)	(36, 34.727594045647955)	(37, 34.70356695577277)	(38, 34.664949572023254)	(39, 34.62506870466133)	(40, 34.63116111171268)	(41, 34.606619336448574)	(42, 34.596214259161734)	(43, 34.57385864752828)	(44, 34.536310294581355)	(45, 34.527552605779555)	(46, 34.48903743695576)	(47, 34.48464300131401)	(48, 34.4583088340379)	(49, 34.40803866884116)	(50, 34.3649790938773)	(51, 34.3536198609027)	(52, 34.32778171071212)	(53, 34.27655989841377)	(54, 34.23614739408339)	(55, 34.19544686736576)	(56, 34.17979790542103)	(57, 34.138596712408)	(58, 34.098021107934855)	(59, 34.06646333616547)	(60, 34.029237665921784)	(61, 33.97765076374782)	(62, 33.93348626376141)	(63, 33.90042414862058)	(64, 33.879803943376636)	(65, 33.82185797588526)	(66, 33.769102765597715)	(67, 33.76921625238916)	(68, 33.729679325642856)	(69, 33.76407738750365)	(70, 33.768536467016105)	(71, 33.807160432574584)	(72, 33.87458381515711)	(73, 33.83817055116516)	(74, 33.79197646416206)	(75, 32.48346854490387)
qc_output | SRR8668758	(1, 30.658316893820444)	(2, 30.838306310157037)	(3, 30.870894027132994)	(4, 30.892746961291383)	(5, 30.893137093386258)	(6, 33.871818680315116)	(7, 33.782914216792165)	(8, 33.78220344498542)	(9, 33.80037815659452)	(10, 33.687439042896266)	(11, 33.91285698271964)	(12, 33.900437871637955)	(13, 33.831455640966276)	(14, 33.84610789110212)	(15, 33.80420819480307)	(16, 33.816853852379545)	(17, 33.78874511178609)	(18, 33.767525897765495)	(19, 33.74847029726129)	(20, 33.70578231331987)	(21, 33.69685131537709)	(22, 33.606380620855425)	(23, 33.55745838107481)	(24, 33.534676549924654)	(25, 33.49723398101936)	(26, 33.29018596804895)	(27, 33.25093434266157)	(28, 33.22998126192266)	(29, 33.22205853347399)	(30, 33.13743060335137)	(31, 33.16346103763334)	(32, 33.135899184853685)	(33, 33.08196772456773)	(34, 33.05257065619807)	(35, 32.97870648615578)	(36, 33.03308038779933)	(37, 32.97502556821306)	(38, 32.916850754716414)	(39, 32.822286786282675)	(40, 32.73976422628182)	(41, 32.61458383020628)	(42, 32.53556034981682)	(43, 32.4855430425015)	(44, 32.48949901165383)	(45, 32.510112841585425)	(46, 32.39657056034218)	(47, 32.35261673780744)	(48, 32.357731176694564)	(49, 32.22069933325514)	(50, 32.12788181516378)	(51, 32.212185742416224)	(52, 32.11176192785839)	(53, 31.95097698745053)	(54, 31.86924635680998)	(55, 31.787817890094306)	(56, 31.91960464183395)	(57, 31.75711375692306)	(58, 31.719273171241664)	(59, 31.74420038555885)	(60, 31.659930270918274)	(61, 31.56337055896001)	(62, 31.63398746764726)	(63, 31.51908462143821)	(64, 31.501099429777362)	(65, 31.510960560451245)	(66, 31.46506606405552)	(67, 31.453538389319643)	(68, 31.32991749035303)	(69, 31.321032477051187)	(70, 31.153835724280913)	(71, 31.043482059951142)	(72, 30.961918881750325)	(73, 30.83933434708175)	(74, 30.824595895283593)	(75, 29.212158629364673)
qc_output | SRR8668758_filtered	(1, 30.841782276576623)	(2, 30.97859382162917)	(3, 31.0024912924192)	(4, 31.02113213276798)	(5, 31.009707139279744)	(6, 34.03465800507517)	(7, 33.93966030648774)	(8, 33.94240615819717)	(9, 33.966356314202805)	(10, 33.85530986725353)	(11, 34.087283833814816)	(12, 34.08274757832733)	(13, 34.01136491928285)	(14, 34.02689932522027)	(15, 33.99320123583775)	(16, 34.00601783385956)	(17, 33.989409515582295)	(18, 33.96634205173413)	(19, 33.95168263965783)	(20, 33.91043317454337)	(21, 33.9128863191548)	(22, 33.82827960226064)	(23, 33.786969169388534)	(24, 33.76693156939703)	(25, 33.741737004407995)	(26, 33.582953072841704)	(27, 33.54365421419472)	(28, 33.51399112428507)	(29, 33.52323351392343)	(30, 33.43852977573093)	(31, 33.470444991238)	(32, 33.437084069533284)	(33, 33.39044378292795)	(34, 33.369596120005)	(35, 33.29514034326076)	(36, 33.29723017891977)	(37, 33.248262860424866)	(38, 33.189062229840765)	(39, 33.102702362492195)	(40, 33.02978733956758)	(41, 32.916421277919774)	(42, 32.84098957834994)	(43, 32.7947828395205)	(44, 32.79698039366045)	(45, 32.821648594620264)	(46, 32.710672184037925)	(47, 32.66902475564413)	(48, 32.675860329460576)	(49, 32.54531334528092)	(50, 32.44781074654885)	(51, 32.532062381952365)	(52, 32.44125378753775)	(53, 32.28373290027431)	(54, 32.20823729701368)	(55, 32.13518473010841)	(56, 32.267258692346594)	(57, 32.11639493475066)	(58, 32.08547194733402)	(59, 32.11373158732719)	(60, 32.03484234274914)	(61, 31.947401491741573)	(62, 32.02313412541931)	(63, 31.924482546748916)	(64, 31.9158553064527)	(65, 31.93106120269268)	(66, 31.897133282108403)	(67, 31.911883906666944)	(68, 31.83629077581345)	(69, 31.885787724548585)	(70, 31.90938541656134)	(71, 32.01142702056717)	(72, 32.17891699799139)	(73, 32.07931991157146)	(74, 32.060621195084984)	(75, 30.353342465704298)
qc_output | SRR8668759	(1, 30.233235758955725)	(2, 30.7322550688399)	(3, 31.097507758553004)	(4, 31.138436215321306)	(5, 31.098683609946427)	(6, 34.38760250662966)	(7, 34.38648488429885)	(8, 34.39448424265215)	(9, 34.343678634179106)	(10, 34.162487823551665)	(11, 34.379690867541655)	(12, 34.34782003538073)	(13, 34.179499725947736)	(14, 34.23772803721852)	(15, 34.097182427145114)	(16, 34.132414954575694)	(17, 34.033762901024495)	(18, 34.01338704933053)	(19, 33.98209831996006)	(20, 33.92340135865308)	(21, 33.84992097752696)	(22, 33.686435182976375)	(23, 33.52979280596836)	(24, 33.62729568079354)	(25, 33.55079189646798)	(26, 33.31871339317277)	(27, 33.22827163745008)	(28, 33.325843635807644)	(29, 33.18273989152865)	(30, 33.187035693664036)	(31, 33.1654422910544)	(32, 33.08696491717761)	(33, 33.05343756210318)	(34, 32.96861021503054)	(35, 33.0241678785199)	(36, 33.02482037105442)	(37, 32.972393319152566)	(38, 32.8169476007595)	(39, 32.716333574406285)	(40, 32.76798665898745)	(41, 31.78733807040194)	(42, 31.521239211878)	(43, 31.09030487838598)	(44, 30.950605649700684)	(45, 31.708941462078926)	(46, 31.04653571497643)	(47, 30.800278494213508)	(48, 31.33235530694103)	(49, 30.704958183427014)	(50, 30.513576669031583)	(51, 31.17381910724378)	(52, 30.8098132025935)	(53, 30.423215908041957)	(54, 30.165397187375298)	(55, 30.068616108703644)	(56, 30.984371718887612)	(57, 29.96077050322097)	(58, 30.03615916351744)	(59, 30.438012468320768)	(60, 30.047838387380672)	(61, 29.81276634042433)	(62, 30.650840408629467)	(63, 30.0725201086113)	(64, 29.92830631845443)	(65, 30.575500840983242)	(66, 30.833702902800177)	(67, 31.08148381955008)	(68, 31.207703571467484)	(69, 31.27682247772819)	(70, 31.015086596114028)	(71, 30.597300512058414)	(72, 30.075632414784803)	(73, 29.31198859053291)	(74, 29.233187856965777)	(75, 28.38007360338764)
qc_output | SRR8668759_filtered	(1, 31.18690741667026)	(2, 31.33046195070181)	(3, 31.358431302244668)	(4, 31.36779106534477)	(5, 31.362142271774804)	(6, 34.704201059279946)	(7, 34.63831230488614)	(8, 34.621132819636614)	(9, 34.62356445123839)	(10, 34.564241170595345)	(11, 34.689833197963914)	(12, 34.68610968366893)	(13, 34.62985553676882)	(14, 34.62086481784203)	(15, 34.59436867786618)	(16, 34.58253166583757)	(17, 34.55834148172832)	(18, 34.544536082050975)	(19, 34.52224243830086)	(20, 34.4889618614059)	(21, 34.49462570869368)	(22, 34.4247826163316)	(23, 34.387070544230674)	(24, 34.34989287911249)	(25, 34.30287943408969)	(26, 34.188421568851076)	(27, 34.137736849728945)	(28, 34.1201181608284)	(29, 34.13354129303542)	(30, 34.089340013037244)	(31, 34.06642442381182)	(32, 34.03776816492521)	(33, 34.00277955935151)	(34, 33.97815029329262)	(35, 33.918873996413176)	(36, 33.898312530527654)	(37, 33.838653347694866)	(38, 33.81968071821217)	(39, 33.768824481986414)	(40, 33.726086033141016)	(41, 33.680025476785936)	(42, 33.63324728805081)	(43, 33.57950552909552)	(44, 33.55332287182709)	(45, 33.541332082460144)	(46, 33.46444920708939)	(47, 33.47303120136695)	(48, 33.454114208727646)	(49, 33.37783184563419)	(50, 33.30490960626842)	(51, 33.27128609166491)	(52, 33.268885022113274)	(53, 33.19272983749356)	(54, 33.139150158605155)	(55, 33.07844219476513)	(56, 33.084017938262235)	(57, 33.0656463925765)	(58, 33.01973647093236)	(59, 33.029461694760876)	(60, 32.966036268574776)	(61, 32.928219799891316)	(62, 32.8963865113044)	(63, 32.86877708334889)	(64, 32.886626496152864)	(65, 32.819798877233644)	(66, 32.75766486219221)	(67, 32.74640386527126)	(68, 32.7486914421663)	(69, 32.78194276206148)	(70, 32.82561639170697)	(71, 32.90354944171109)	(72, 33.05790563064729)	(73, 32.99615079920111)	(74, 32.96669073607647)	(75, 31.366675249944795)
