Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
qc_output | SRR8668755	(0.0, 10253.0)	(1.0, 5489.5)	(2.0, 655.5)	(3.0, 678.0)	(4.0, 771.0)	(5.0, 823.5)	(6.0, 907.0)	(7.0, 1005.0)	(8.0, 1081.0)	(9.0, 1250.0)	(10.0, 1754.0)	(11.0, 2500.0)	(12.0, 2918.5)	(13.0, 3676.0)	(14.0, 5875.5)	(15.0, 8515.0)	(16.0, 10878.5)	(17.0, 15601.5)	(18.0, 25363.0)	(19.0, 37446.0)	(20.0, 48396.5)	(21.0, 68680.5)	(22.0, 107602.5)	(23.0, 155410.5)	(24.0, 197458.5)	(25.0, 276478.5)	(26.0, 414393.0)	(27.0, 555677.0)	(28.0, 663569.0)	(29.0, 834367.0)	(30.0, 1098182.5)	(31.0, 1350321.0)	(32.0, 1529031.5)	(33.0, 1731616.0)	(34.0, 2017054.5)	(35.0, 2293732.0)	(36.0, 2468132.0)	(37.0, 2627259.0)	(38.0, 2835975.0)	(39.0, 2983687.5)	(40.0, 3045032.5)	(41.0, 3199131.0)	(42.0, 3671797.0)	(43.0, 3800628.0)	(44.0, 3541405.5)	(45.0, 3558375.5)	(46.0, 3643721.0)	(47.0, 3458469.5)	(48.0, 3328696.5)	(49.0, 3224871.5)	(50.0, 3122902.0)	(51.0, 3182190.5)	(52.0, 3232338.0)	(53.0, 3260201.0)	(54.0, 3249314.0)	(55.0, 3428639.5)	(56.0, 3573587.0)	(57.0, 3432475.0)	(58.0, 3210018.5)	(59.0, 3044412.0)	(60.0, 2931732.0)	(61.0, 2774955.5)	(62.0, 2723746.0)	(63.0, 2538378.0)	(64.0, 2288146.5)	(65.0, 2020603.0)	(66.0, 1582922.5)	(67.0, 1501631.5)	(68.0, 1517363.0)	(69.0, 1260253.5)	(70.0, 874092.5)	(71.0, 753996.5)	(72.0, 838617.5)	(73.0, 829271.5)	(74.0, 711432.0)	(75.0, 631516.5)	(76.0, 702039.5)	(77.0, 624808.0)	(78.0, 436258.5)	(79.0, 383132.0)	(80.0, 397443.5)	(81.0, 334308.5)	(82.0, 192012.5)	(83.0, 98284.5)	(84.0, 86954.5)	(85.0, 91870.0)	(86.0, 79193.5)	(87.0, 48118.5)	(88.0, 37239.0)	(89.0, 32457.5)	(90.0, 20118.5)	(91.0, 9042.5)	(92.0, 5853.5)	(93.0, 4833.5)	(94.0, 3169.0)	(95.0, 2016.0)	(96.0, 1583.0)	(97.0, 1416.5)	(98.0, 1577.0)	(99.0, 2412.0)	(100.0, 2962.0)
qc_output | SRR8668755_filtered	(0.0, 778.0)	(1.0, 1029.0)	(2.0, 1367.0)	(3.0, 1482.0)	(4.0, 1555.0)	(5.0, 1709.5)	(6.0, 1861.5)	(7.0, 2030.0)	(8.0, 2374.5)	(9.0, 2834.0)	(10.0, 3467.0)	(11.0, 4371.0)	(12.0, 5140.5)	(13.0, 6229.0)	(14.0, 8536.0)	(15.0, 11383.5)	(16.0, 14010.0)	(17.0, 18436.5)	(18.0, 27336.5)	(19.0, 38648.5)	(20.0, 49265.0)	(21.0, 68921.0)	(22.0, 106726.5)	(23.0, 153802.0)	(24.0, 195922.5)	(25.0, 274962.5)	(26.0, 412005.5)	(27.0, 552451.0)	(28.0, 660283.0)	(29.0, 830559.5)	(30.0, 1092664.0)	(31.0, 1343287.0)	(32.0, 1522320.5)	(33.0, 1724707.5)	(34.0, 2008548.5)	(35.0, 2284134.0)	(36.0, 2459003.5)	(37.0, 2618229.0)	(38.0, 2825559.5)	(39.0, 2972391.0)	(40.0, 3034558.5)	(41.0, 3189849.5)	(42.0, 3663173.0)	(43.0, 3791903.5)	(44.0, 3529868.5)	(45.0, 3543453.5)	(46.0, 3627606.0)	(47.0, 3442977.0)	(48.0, 3314408.0)	(49.0, 3214981.5)	(50.0, 3116271.5)	(51.0, 3173303.0)	(52.0, 3221619.0)	(53.0, 3250022.0)	(54.0, 3240750.0)	(55.0, 3420285.5)	(56.0, 3562503.0)	(57.0, 3419555.0)	(58.0, 3197485.5)	(59.0, 3030293.5)	(60.0, 2915502.0)	(61.0, 2765060.0)	(62.0, 2719655.0)	(63.0, 2533846.5)	(64.0, 2278718.5)	(65.0, 2009004.0)	(66.0, 1575692.0)	(67.0, 1495243.0)	(68.0, 1509593.5)	(69.0, 1252861.0)	(70.0, 867997.5)	(71.0, 744844.5)	(72.0, 826977.0)	(73.0, 818811.0)	(74.0, 704227.0)	(75.0, 627029.0)	(76.0, 695610.0)	(77.0, 617208.0)	(78.0, 432403.5)	(79.0, 379935.5)	(80.0, 394891.5)	(81.0, 334758.0)	(82.0, 193582.0)	(83.0, 100682.0)	(84.0, 86627.0)	(85.0, 88974.5)	(86.0, 77539.5)	(87.0, 49342.0)	(88.0, 39190.0)	(89.0, 33090.5)	(90.0, 20571.5)	(91.0, 9963.0)	(92.0, 5993.5)	(93.0, 3834.0)	(94.0, 2153.5)	(95.0, 1253.0)	(96.0, 813.5)	(97.0, 626.0)	(98.0, 442.5)	(99.0, 242.5)	(100.0, 141.0)
qc_output | SRR8668756	(0.0, 34165.0)	(1.0, 19230.5)	(2.0, 3584.0)	(3.0, 2987.5)	(4.0, 3103.5)	(5.0, 3104.5)	(6.0, 2975.0)	(7.0, 2843.0)	(8.0, 2856.0)	(9.0, 3346.5)	(10.0, 4220.5)	(11.0, 5504.5)	(12.0, 6500.5)	(13.0, 8212.5)	(14.0, 13042.5)	(15.0, 18989.5)	(16.0, 24373.5)	(17.0, 35941.0)	(18.0, 60329.0)	(19.0, 90686.5)	(20.0, 118522.5)	(21.0, 166483.0)	(22.0, 253304.0)	(23.0, 351635.0)	(24.0, 430848.0)	(25.0, 562222.0)	(26.0, 774233.5)	(27.0, 968172.5)	(28.0, 1099124.5)	(29.0, 1283079.5)	(30.0, 1535750.5)	(31.0, 1763396.5)	(32.0, 1918483.5)	(33.0, 2073498.5)	(34.0, 2292718.5)	(35.0, 2494997.0)	(36.0, 2616760.5)	(37.0, 2729530.0)	(38.0, 2878883.5)	(39.0, 3004205.0)	(40.0, 3074278.0)	(41.0, 3132777.0)	(42.0, 3247329.5)	(43.0, 3311960.0)	(44.0, 3293071.5)	(45.0, 3309506.0)	(46.0, 3310183.5)	(47.0, 3288475.0)	(48.0, 3373091.0)	(49.0, 3245675.0)	(50.0, 2993408.0)	(51.0, 2940093.5)	(52.0, 2914590.5)	(53.0, 2798790.5)	(54.0, 2716679.0)	(55.0, 2897923.0)	(56.0, 3029680.0)	(57.0, 3085630.0)	(58.0, 3068153.5)	(59.0, 2810944.5)	(60.0, 2650139.5)	(61.0, 2750008.5)	(62.0, 2656205.0)	(63.0, 2107089.0)	(64.0, 1698488.5)	(65.0, 1631336.0)	(66.0, 1446248.0)	(67.0, 1231864.0)	(68.0, 1103069.5)	(69.0, 993252.0)	(70.0, 775219.0)	(71.0, 481260.5)	(72.0, 373255.0)	(73.0, 315057.0)	(74.0, 248087.5)	(75.0, 209669.0)	(76.0, 200818.0)	(77.0, 177918.5)	(78.0, 153070.5)	(79.0, 149696.5)	(80.0, 146279.5)	(81.0, 127529.5)	(82.0, 93264.5)	(83.0, 71933.5)	(84.0, 69555.0)	(85.0, 58711.5)	(86.0, 38719.5)	(87.0, 24123.0)	(88.0, 20076.5)	(89.0, 18793.5)	(90.0, 14366.0)	(91.0, 10663.5)	(92.0, 9112.0)	(93.0, 8163.5)	(94.0, 6958.5)	(95.0, 6223.5)	(96.0, 6004.0)	(97.0, 6170.5)	(98.0, 6789.0)	(99.0, 5154.0)	(100.0, 3142.0)
qc_output | SRR8668756_filtered	(0.0, 5687.0)	(1.0, 5247.5)	(2.0, 4241.0)	(3.0, 3633.0)	(4.0, 3651.0)	(5.0, 3705.0)	(6.0, 3679.5)	(7.0, 3652.5)	(8.0, 3763.5)	(9.0, 4299.5)	(10.0, 5092.0)	(11.0, 6289.0)	(12.0, 7427.0)	(13.0, 9144.0)	(14.0, 13280.0)	(15.0, 18915.5)	(16.0, 24676.0)	(17.0, 35652.5)	(18.0, 58614.5)	(19.0, 88054.5)	(20.0, 115864.0)	(21.0, 162862.0)	(22.0, 247466.0)	(23.0, 344503.0)	(24.0, 423567.0)	(25.0, 553819.0)	(26.0, 763126.5)	(27.0, 955218.5)	(28.0, 1087010.5)	(29.0, 1270275.0)	(30.0, 1518947.5)	(31.0, 1743138.0)	(32.0, 1898618.0)	(33.0, 2053866.0)	(34.0, 2269728.5)	(35.0, 2469654.5)	(36.0, 2593272.0)	(37.0, 2706565.0)	(38.0, 2852648.5)	(39.0, 2975297.0)	(40.0, 3045151.0)	(41.0, 3103713.5)	(42.0, 3214944.5)	(43.0, 3273035.5)	(44.0, 3260308.0)	(45.0, 3279779.0)	(46.0, 3282417.0)	(47.0, 3272300.5)	(48.0, 3380487.0)	(49.0, 3277134.0)	(50.0, 3036177.5)	(51.0, 3002858.0)	(52.0, 2996856.5)	(53.0, 2931729.0)	(54.0, 2926408.0)	(55.0, 3152590.5)	(56.0, 3406953.0)	(57.0, 3357090.0)	(58.0, 2887628.0)	(59.0, 2474854.5)	(60.0, 2348826.5)	(61.0, 2540549.5)	(62.0, 2598987.0)	(63.0, 2056836.0)	(64.0, 1634305.5)	(65.0, 1501494.0)	(66.0, 1316290.5)	(67.0, 1050278.5)	(68.0, 878857.5)	(69.0, 827368.0)	(70.0, 666499.0)	(71.0, 458425.0)	(72.0, 367280.0)	(73.0, 310026.0)	(74.0, 244917.0)	(75.0, 207686.5)	(76.0, 199290.0)	(77.0, 176527.0)	(78.0, 152658.5)	(79.0, 149490.5)	(80.0, 144731.0)	(81.0, 121922.5)	(82.0, 84697.0)	(83.0, 64886.0)	(84.0, 62221.0)	(85.0, 52400.5)	(86.0, 35412.5)	(87.0, 21854.0)	(88.0, 17592.5)	(89.0, 16010.0)	(90.0, 12032.5)	(91.0, 8326.5)	(92.0, 6287.0)	(93.0, 4709.5)	(94.0, 3476.0)	(95.0, 2922.0)	(96.0, 2852.5)	(97.0, 3095.5)	(98.0, 3077.0)	(99.0, 1570.0)	(100.0, 231.0)
qc_output | SRR8668757	(0.0, 7872.0)	(1.0, 4397.5)	(2.0, 850.5)	(3.0, 916.0)	(4.0, 1053.5)	(5.0, 1128.5)	(6.0, 1284.0)	(7.0, 1482.0)	(8.0, 1612.5)	(9.0, 1912.0)	(10.0, 2678.5)	(11.0, 3839.5)	(12.0, 4583.0)	(13.0, 5918.5)	(14.0, 9418.0)	(15.0, 13662.5)	(16.0, 17648.0)	(17.0, 25853.0)	(18.0, 42064.5)	(19.0, 61434.5)	(20.0, 78463.0)	(21.0, 110676.0)	(22.0, 172046.5)	(23.0, 246036.0)	(24.0, 310157.0)	(25.0, 425809.0)	(26.0, 631298.5)	(27.0, 848144.5)	(28.0, 1014590.0)	(29.0, 1262823.5)	(30.0, 1633727.5)	(31.0, 1977604.5)	(32.0, 2213833.5)	(33.0, 2481791.0)	(34.0, 2853261.5)	(35.0, 3174058.5)	(36.0, 3361036.0)	(37.0, 3526642.5)	(38.0, 3718833.5)	(39.0, 3851201.0)	(40.0, 3910013.5)	(41.0, 3992584.0)	(42.0, 4257439.0)	(43.0, 4273228.0)	(44.0, 4044753.0)	(45.0, 3958748.5)	(46.0, 3904646.0)	(47.0, 3740809.5)	(48.0, 3674979.5)	(49.0, 3495394.5)	(50.0, 3233346.0)	(51.0, 3194171.5)	(52.0, 3173286.5)	(53.0, 3103033.0)	(54.0, 3019668.0)	(55.0, 3139500.0)	(56.0, 3253041.0)	(57.0, 3208374.5)	(58.0, 3081010.0)	(59.0, 2859151.5)	(60.0, 2683179.0)	(61.0, 2587317.0)	(62.0, 2485400.5)	(63.0, 2134820.5)	(64.0, 1807547.0)	(65.0, 1657289.0)	(66.0, 1395181.0)	(67.0, 1320379.5)	(68.0, 1264277.0)	(69.0, 1052160.0)	(70.0, 745551.5)	(71.0, 519242.5)	(72.0, 501687.5)	(73.0, 470639.5)	(74.0, 391797.5)	(75.0, 363590.5)	(76.0, 413066.0)	(77.0, 345834.5)	(78.0, 215082.5)	(79.0, 175706.0)	(80.0, 176286.0)	(81.0, 144330.5)	(82.0, 81303.0)	(83.0, 44266.5)	(84.0, 40632.5)	(85.0, 40699.5)	(86.0, 32717.0)	(87.0, 18808.0)	(88.0, 14212.5)	(89.0, 12060.5)	(90.0, 7388.0)	(91.0, 3799.5)	(92.0, 2727.0)	(93.0, 2503.0)	(94.0, 2000.0)	(95.0, 1418.5)	(96.0, 1166.0)	(97.0, 1071.0)	(98.0, 1384.0)	(99.0, 2185.0)	(100.0, 2606.0)
qc_output | SRR8668757_filtered	(0.0, 899.0)	(1.0, 1255.5)	(2.0, 1862.0)	(3.0, 2173.5)	(4.0, 2375.5)	(5.0, 2656.0)	(6.0, 2886.5)	(7.0, 3214.0)	(8.0, 3755.5)	(9.0, 4473.0)	(10.0, 5381.0)	(11.0, 6586.0)	(12.0, 7743.0)	(13.0, 9449.0)	(14.0, 12896.5)	(15.0, 17253.5)	(16.0, 21476.0)	(17.0, 29164.5)	(18.0, 44119.0)	(19.0, 62554.5)	(20.0, 79620.0)	(21.0, 111241.0)	(22.0, 171278.0)	(23.0, 244491.5)	(24.0, 308389.5)	(25.0, 423787.0)	(26.0, 627822.5)	(27.0, 843486.0)	(28.0, 1010131.0)	(29.0, 1257405.5)	(30.0, 1626303.0)	(31.0, 1968473.5)	(32.0, 2204255.0)	(33.0, 2471896.5)	(34.0, 2841841.5)	(35.0, 3161658.0)	(36.0, 3349205.5)	(37.0, 3515286.5)	(38.0, 3706810.0)	(39.0, 3838420.5)	(40.0, 3897458.0)	(41.0, 3981058.0)	(42.0, 4246630.0)	(43.0, 4262041.5)	(44.0, 4031791.5)	(45.0, 3944724.0)	(46.0, 3890106.0)	(47.0, 3727882.5)	(48.0, 3664035.5)	(49.0, 3485371.5)	(50.0, 3224252.5)	(51.0, 3184815.0)	(52.0, 3164067.0)	(53.0, 3094715.0)	(54.0, 3012360.5)	(55.0, 3132168.5)	(56.0, 3244218.0)	(57.0, 3198750.5)	(58.0, 3071933.0)	(59.0, 2849538.0)	(60.0, 2672148.0)	(61.0, 2579032.5)	(62.0, 2480775.0)	(63.0, 2130598.0)	(64.0, 1800902.5)	(65.0, 1649164.0)	(66.0, 1389354.5)	(67.0, 1315651.5)	(68.0, 1259115.0)	(69.0, 1047792.0)	(70.0, 742627.5)	(71.0, 515400.5)	(72.0, 496455.0)	(73.0, 465681.5)	(74.0, 388221.0)	(75.0, 360905.0)	(76.0, 409176.0)	(77.0, 341688.5)	(78.0, 213047.0)	(79.0, 174120.0)	(80.0, 174661.5)	(81.0, 143878.0)	(82.0, 81576.0)	(83.0, 44865.0)	(84.0, 40385.0)	(85.0, 39627.5)	(86.0, 31831.0)	(87.0, 18895.0)	(88.0, 14712.5)	(89.0, 12075.0)	(90.0, 7430.5)	(91.0, 3915.5)	(92.0, 2462.0)	(93.0, 1686.5)	(94.0, 1056.0)	(95.0, 698.0)	(96.0, 490.5)	(97.0, 371.0)	(98.0, 262.5)	(99.0, 141.0)	(100.0, 69.0)
qc_output | SRR8668758	(0.0, 48705.0)	(1.0, 24833.5)	(2.0, 817.5)	(3.0, 720.0)	(4.0, 767.0)	(5.0, 768.0)	(6.0, 776.5)	(7.0, 780.0)	(8.0, 774.0)	(9.0, 869.5)	(10.0, 1102.0)	(11.0, 1509.0)	(12.0, 1813.0)	(13.0, 2261.5)	(14.0, 3520.0)	(15.0, 5158.0)	(16.0, 6702.5)	(17.0, 9865.0)	(18.0, 16407.0)	(19.0, 24639.5)	(20.0, 32294.5)	(21.0, 45232.5)	(22.0, 69074.0)	(23.0, 96901.5)	(24.0, 120098.0)	(25.0, 159222.5)	(26.0, 222918.5)	(27.0, 285448.0)	(28.0, 334096.5)	(29.0, 397995.0)	(30.0, 485656.5)	(31.0, 567958.5)	(32.0, 628053.5)	(33.0, 686458.5)	(34.0, 761878.5)	(35.0, 835506.0)	(36.0, 887590.0)	(37.0, 933117.0)	(38.0, 986613.5)	(39.0, 1035541.5)	(40.0, 1067261.0)	(41.0, 1102060.5)	(42.0, 1171111.5)	(43.0, 1196787.0)	(44.0, 1173230.0)	(45.0, 1171248.0)	(46.0, 1182046.5)	(47.0, 1212561.5)	(48.0, 1254653.5)	(49.0, 1191987.0)	(50.0, 1096665.0)	(51.0, 1076039.0)	(52.0, 1067779.0)	(53.0, 1028986.0)	(54.0, 993702.5)	(55.0, 1047227.0)	(56.0, 1100944.5)	(57.0, 1116885.0)	(58.0, 1094454.0)	(59.0, 1014511.5)	(60.0, 970167.5)	(61.0, 999106.0)	(62.0, 967662.5)	(63.0, 805329.0)	(64.0, 683532.0)	(65.0, 631313.0)	(66.0, 547097.5)	(67.0, 488115.5)	(68.0, 450610.5)	(69.0, 390662.0)	(70.0, 303077.0)	(71.0, 225415.0)	(72.0, 203215.0)	(73.0, 184725.5)	(74.0, 156285.0)	(75.0, 147463.5)	(76.0, 152416.0)	(77.0, 146402.5)	(78.0, 138453.5)	(79.0, 133463.0)	(80.0, 125851.5)	(81.0, 110854.5)	(82.0, 87018.5)	(83.0, 69173.0)	(84.0, 63688.0)	(85.0, 53625.0)	(86.0, 38991.5)	(87.0, 30009.0)	(88.0, 27717.5)	(89.0, 27185.0)	(90.0, 24383.5)	(91.0, 22630.0)	(92.0, 22278.5)	(93.0, 22986.5)	(94.0, 25672.5)	(95.0, 29939.0)	(96.0, 32314.0)	(97.0, 35603.5)	(98.0, 42752.0)	(99.0, 28291.0)	(100.0, 10064.0)
qc_output | SRR8668758_filtered	(0.0, 1377.0)	(1.0, 1247.0)	(2.0, 1009.5)	(3.0, 897.5)	(4.0, 909.0)	(5.0, 953.0)	(6.0, 995.0)	(7.0, 1010.0)	(8.0, 1065.5)	(9.0, 1214.0)	(10.0, 1420.5)	(11.0, 1823.0)	(12.0, 2216.0)	(13.0, 2693.5)	(14.0, 3805.0)	(15.0, 5369.5)	(16.0, 6934.5)	(17.0, 9865.0)	(18.0, 16019.0)	(19.0, 24039.0)	(20.0, 31708.5)	(21.0, 44286.0)	(22.0, 67450.0)	(23.0, 94695.0)	(24.0, 117427.0)	(25.0, 156160.5)	(26.0, 219047.0)	(27.0, 280703.5)	(28.0, 329288.0)	(29.0, 392954.5)	(30.0, 479029.0)	(31.0, 559716.0)	(32.0, 619969.0)	(33.0, 678314.5)	(34.0, 752004.5)	(35.0, 824424.5)	(36.0, 876922.0)	(37.0, 922170.0)	(38.0, 974376.5)	(39.0, 1022201.0)	(40.0, 1053401.0)	(41.0, 1087205.5)	(42.0, 1153329.0)	(43.0, 1174768.5)	(44.0, 1149337.0)	(45.0, 1144826.5)	(46.0, 1150405.0)	(47.0, 1169156.0)	(48.0, 1217061.5)	(49.0, 1188329.0)	(50.0, 1115411.5)	(51.0, 1103961.0)	(52.0, 1099751.5)	(53.0, 1077002.5)	(54.0, 1066201.5)	(55.0, 1123639.0)	(56.0, 1199401.5)	(57.0, 1183510.0)	(58.0, 1037370.0)	(59.0, 913427.5)	(60.0, 880766.5)	(61.0, 935064.5)	(62.0, 943307.5)	(63.0, 781753.5)	(64.0, 654865.0)	(65.0, 588500.5)	(66.0, 505319.0)	(67.0, 432688.0)	(68.0, 382827.5)	(69.0, 335408.5)	(70.0, 265780.5)	(71.0, 213607.0)	(72.0, 197319.0)	(73.0, 179567.5)	(74.0, 152516.0)	(75.0, 143802.0)	(76.0, 148375.0)	(77.0, 142090.5)	(78.0, 135126.0)	(79.0, 131454.0)	(80.0, 122609.5)	(81.0, 104510.5)	(82.0, 78252.0)	(83.0, 60563.5)	(84.0, 54806.0)	(85.0, 46202.5)	(86.0, 33663.5)	(87.0, 24036.0)	(88.0, 19821.5)	(89.0, 17495.5)	(90.0, 13621.0)	(91.0, 9831.5)	(92.0, 7779.0)	(93.0, 6893.5)	(94.0, 7273.5)	(95.0, 9549.5)	(96.0, 13959.0)	(97.0, 21065.0)	(98.0, 26011.0)	(99.0, 13748.0)	(100.0, 885.0)
qc_output | SRR8668759	(0.0, 33207.0)	(1.0, 16692.0)	(2.0, 161.0)	(3.0, 149.5)	(4.0, 154.5)	(5.0, 154.5)	(6.0, 123.5)	(7.0, 96.5)	(8.0, 100.5)	(9.0, 106.5)	(10.0, 116.0)	(11.0, 125.5)	(12.0, 130.5)	(13.0, 156.0)	(14.0, 195.5)	(15.0, 238.0)	(16.0, 292.5)	(17.0, 371.0)	(18.0, 539.5)	(19.0, 752.5)	(20.0, 915.0)	(21.0, 1245.5)	(22.0, 1888.0)	(23.0, 2603.0)	(24.0, 3173.0)	(25.0, 4362.5)	(26.0, 6571.5)	(27.0, 8938.0)	(28.0, 10901.0)	(29.0, 14017.5)	(30.0, 19272.5)	(31.0, 25279.0)	(32.0, 30180.5)	(33.0, 35976.5)	(34.0, 46292.0)	(35.0, 58324.5)	(36.0, 67663.5)	(37.0, 78064.0)	(38.0, 91020.5)	(39.0, 105829.5)	(40.0, 118714.0)	(41.0, 131496.5)	(42.0, 152241.5)	(43.0, 187883.5)	(44.0, 212381.5)	(45.0, 281154.0)	(46.0, 279301.5)	(47.0, 204182.5)	(48.0, 205061.0)	(49.0, 202147.5)	(50.0, 191103.5)	(51.0, 189740.5)	(52.0, 190036.0)	(53.0, 182855.5)	(54.0, 177077.5)	(55.0, 191323.0)	(56.0, 200796.0)	(57.0, 204982.0)	(58.0, 208370.5)	(59.0, 198224.5)	(60.0, 192518.5)	(61.0, 186572.5)	(62.0, 176756.0)	(63.0, 160501.5)	(64.0, 143873.0)	(65.0, 132128.0)	(66.0, 115008.0)	(67.0, 112672.0)	(68.0, 115233.0)	(69.0, 99172.5)	(70.0, 76018.5)	(71.0, 63070.5)	(72.0, 60756.5)	(73.0, 57801.0)	(74.0, 53890.5)	(75.0, 56939.0)	(76.0, 63057.0)	(77.0, 62583.0)	(78.0, 64965.5)	(79.0, 71718.5)	(80.0, 71811.5)	(81.0, 62688.0)	(82.0, 48139.0)	(83.0, 39541.0)	(84.0, 38796.5)	(85.0, 36242.0)	(86.0, 29318.5)	(87.0, 22993.5)	(88.0, 21849.5)	(89.0, 22385.5)	(90.0, 22057.5)	(91.0, 22618.5)	(92.0, 23483.0)	(93.0, 24655.5)	(94.0, 27591.5)	(95.0, 31781.5)	(96.0, 34000.5)	(97.0, 36942.5)	(98.0, 44147.0)	(99.0, 32941.5)	(100.0, 17542.0)
qc_output | SRR8668759_filtered	(0.0, 723.0)	(1.0, 459.0)	(2.0, 195.5)	(3.0, 210.5)	(4.0, 217.0)	(5.0, 215.5)	(6.0, 202.5)	(7.0, 182.0)	(8.0, 182.0)	(9.0, 204.5)	(10.0, 232.0)	(11.0, 232.0)	(12.0, 236.5)	(13.0, 263.5)	(14.0, 297.0)	(15.0, 343.5)	(16.0, 385.5)	(17.0, 447.5)	(18.0, 581.0)	(19.0, 743.0)	(20.0, 908.0)	(21.0, 1229.5)	(22.0, 1802.0)	(23.0, 2461.5)	(24.0, 3028.5)	(25.0, 4134.5)	(26.0, 6176.0)	(27.0, 8510.5)	(28.0, 10458.5)	(29.0, 13403.5)	(30.0, 18390.5)	(31.0, 24136.5)	(32.0, 28898.0)	(33.0, 34436.5)	(34.0, 44020.0)	(35.0, 55317.0)	(36.0, 64054.5)	(37.0, 73321.5)	(38.0, 84746.0)	(39.0, 96910.5)	(40.0, 106389.5)	(41.0, 115395.5)	(42.0, 128479.5)	(43.0, 138746.5)	(44.0, 142903.0)	(45.0, 147721.5)	(46.0, 152861.0)	(47.0, 155399.5)	(48.0, 163623.0)	(49.0, 163129.0)	(50.0, 155345.5)	(51.0, 157493.5)	(52.0, 161230.5)	(53.0, 158440.0)	(54.0, 158695.0)	(55.0, 178452.5)	(56.0, 191386.5)	(57.0, 197733.0)	(58.0, 203685.0)	(59.0, 195071.0)	(60.0, 190089.5)	(61.0, 184678.5)	(62.0, 175130.0)	(63.0, 158815.0)	(64.0, 141976.0)	(65.0, 130212.0)	(66.0, 113394.0)	(67.0, 110897.5)	(68.0, 113391.0)	(69.0, 97598.0)	(70.0, 74503.0)	(71.0, 61444.0)	(72.0, 59071.0)	(73.0, 56114.5)	(74.0, 52044.5)	(75.0, 54583.0)	(76.0, 60455.5)	(77.0, 60137.5)	(78.0, 62736.5)	(79.0, 69153.0)	(80.0, 68423.5)	(81.0, 58320.5)	(82.0, 42512.0)	(83.0, 32836.5)	(84.0, 31090.0)	(85.0, 28114.0)	(86.0, 20582.0)	(87.0, 13010.0)	(88.0, 10761.5)	(89.0, 10064.5)	(90.0, 7815.5)	(91.0, 5877.5)	(92.0, 5319.5)	(93.0, 5395.0)	(94.0, 6201.5)	(95.0, 8516.0)	(96.0, 12029.5)	(97.0, 15889.0)	(98.0, 17340.0)	(99.0, 8755.0)	(100.0, 637.0)
