Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
qc_output | SRR8668755	(2.0, 9671.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 8.0)	(13.0, 20.0)	(14.0, 18.0)	(15.0, 45.0)	(16.0, 156.0)	(17.0, 578.0)	(18.0, 1530.0)	(19.0, 3069.0)	(20.0, 7667.0)	(21.0, 23309.0)	(22.0, 59943.0)	(23.0, 128481.0)	(24.0, 253050.0)	(25.0, 454579.0)	(26.0, 755677.0)	(27.0, 1161113.0)	(28.0, 1662995.0)	(29.0, 2255912.0)	(30.0, 2957224.0)	(31.0, 3873206.0)	(32.0, 5326846.0)	(33.0, 8373959.0)	(34.0, 18283517.0)	(35.0, 44328780.0)
qc_output | SRR8668755_filtered	(20.0, 3.0)	(21.0, 8.0)	(22.0, 16.0)	(23.0, 362.0)	(24.0, 18339.0)	(25.0, 250698.0)	(26.0, 697519.0)	(27.0, 1125842.0)	(28.0, 1644529.0)	(29.0, 2251797.0)	(30.0, 2970891.0)	(31.0, 3900522.0)	(32.0, 5366729.0)	(33.0, 8425420.0)	(34.0, 18341133.0)	(35.0, 44387539.0)																		
qc_output | SRR8668756	(2.0, 28954.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 13.0)	(13.0, 34.0)	(14.0, 7.0)	(15.0, 25.0)	(16.0, 169.0)	(17.0, 1551.0)	(18.0, 4670.0)	(19.0, 8976.0)	(20.0, 23420.0)	(21.0, 64389.0)	(22.0, 147428.0)	(23.0, 284759.0)	(24.0, 502990.0)	(25.0, 847960.0)	(26.0, 1341543.0)	(27.0, 1953375.0)	(28.0, 2676521.0)	(29.0, 3523734.0)	(30.0, 4478565.0)	(31.0, 5600431.0)	(32.0, 7147742.0)	(33.0, 9779830.0)	(34.0, 15626163.0)	(35.0, 30440605.0)
qc_output | SRR8668756_filtered	(20.0, 1.0)	(21.0, 5.0)	(22.0, 27.0)	(23.0, 931.0)	(24.0, 37256.0)	(25.0, 459015.0)	(26.0, 1219969.0)	(27.0, 1897039.0)	(28.0, 2648669.0)	(29.0, 3504881.0)	(30.0, 4475471.0)	(31.0, 5601646.0)	(32.0, 7143164.0)	(33.0, 9746423.0)	(34.0, 15530013.0)	(35.0, 30250880.0)																		
qc_output | SRR8668757	(2.0, 7323.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 9.0)	(13.0, 16.0)	(14.0, 26.0)	(15.0, 53.0)	(16.0, 190.0)	(17.0, 651.0)	(18.0, 1671.0)	(19.0, 3180.0)	(20.0, 8757.0)	(21.0, 25441.0)	(22.0, 62524.0)	(23.0, 127010.0)	(24.0, 233854.0)	(25.0, 408599.0)	(26.0, 671393.0)	(27.0, 1032841.0)	(28.0, 1482048.0)	(29.0, 2014425.0)	(30.0, 2651986.0)	(31.0, 3479922.0)	(32.0, 4804770.0)	(33.0, 7617255.0)	(34.0, 17354894.0)	(35.0, 53121320.0)
qc_output | SRR8668757_filtered	(19.0, 1.0)	(20.0, 4.0)	(21.0, 19.0)	(22.0, 46.0)	(23.0, 477.0)	(24.0, 16972.0)	(25.0, 218721.0)	(26.0, 612435.0)	(27.0, 997446.0)	(28.0, 1464736.0)	(29.0, 2012641.0)	(30.0, 2665353.0)	(31.0, 3505253.0)	(32.0, 4840358.0)	(33.0, 7662308.0)	(34.0, 17407090.0)	(35.0, 53197035.0)	(36.0, 2.0)																
qc_output | SRR8668758	(2.0, 47509.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 7.0)	(14.0, 0.0)	(15.0, 23.0)	(16.0, 531.0)	(17.0, 5362.0)	(18.0, 17100.0)	(19.0, 24726.0)	(20.0, 31778.0)	(21.0, 53996.0)	(22.0, 101693.0)	(23.0, 180570.0)	(24.0, 298506.0)	(25.0, 469109.0)	(26.0, 700155.0)	(27.0, 987592.0)	(28.0, 1298489.0)	(29.0, 1626762.0)	(30.0, 1990864.0)	(31.0, 2420223.0)	(32.0, 2994676.0)	(33.0, 3894576.0)	(34.0, 5625648.0)	(35.0, 7391679.0)
qc_output | SRR8668758_filtered	(20.0, 1.0)	(21.0, 6.0)	(22.0, 14.0)	(23.0, 484.0)	(24.0, 19021.0)	(25.0, 238016.0)	(26.0, 628559.0)	(27.0, 942858.0)	(28.0, 1288203.0)	(29.0, 1648069.0)	(30.0, 2020080.0)	(31.0, 2441559.0)	(32.0, 3003218.0)	(33.0, 3889571.0)	(34.0, 5608828.0)	(35.0, 7368860.0)																		
qc_output | SRR8668759	(2.0, 32552.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 3.0)	(13.0, 2.0)	(14.0, 0.0)	(15.0, 53.0)	(16.0, 1076.0)	(17.0, 11471.0)	(18.0, 34228.0)	(19.0, 43918.0)	(20.0, 37380.0)	(21.0, 33508.0)	(22.0, 45663.0)	(23.0, 67734.0)	(24.0, 96204.0)	(25.0, 133863.0)	(26.0, 187076.0)	(27.0, 179370.0)	(28.0, 187945.0)	(29.0, 248300.0)	(30.0, 271590.0)	(31.0, 303098.0)	(32.0, 348221.0)	(33.0, 444378.0)	(34.0, 743231.0)	(35.0, 1872938.0)
qc_output | SRR8668759_filtered	(20.0, 3.0)	(21.0, 10.0)	(22.0, 42.0)	(23.0, 102.0)	(24.0, 2538.0)	(25.0, 29702.0)	(26.0, 76257.0)	(27.0, 108275.0)	(28.0, 140665.0)	(29.0, 177118.0)	(30.0, 214154.0)	(31.0, 258557.0)	(32.0, 322549.0)	(33.0, 438084.0)	(34.0, 744638.0)	(35.0, 1871605.0)																		
