Sample	Unique Reads	Duplicate Reads
qc_output | SRR8668755	30668580.0	59252773.0
qc_output | SRR8668755_filtered	30201033.0	59180314.0
qc_output | SRR8668756	34590747.0	49893108.0
qc_output | SRR8668756_filtered	33362761.0	49152629.0
qc_output | SRR8668757	41590044.0	53520115.0
qc_output | SRR8668757_filtered	41132465.0	53468432.0
qc_output | SRR8668758	15461668.0	14699911.0
qc_output | SRR8668758_filtered	14813585.0	14283762.0
qc_output | SRR8668759	2617823.0	2705979.0
qc_output | SRR8668759_filtered	2370529.0	2013770.0
qc_output | SRR8668769	26657085.0	67594447.0
qc_output | SRR8668769_filtered	26249367.0	67501862.0
qc_output | SRR8668771	23319461.0	41117076.0
qc_output | SRR8668771_filtered	23084328.0	41066941.0
qc_output | SRR8668772	25653140.0	42526766.0
qc_output | SRR8668772_filtered	25278626.0	42490329.0
qc_output | SRR8668773	26430662.0	43549461.0
qc_output | SRR8668773_filtered	26042336.0	43508957.0
qc_output | SRR8668774	54094756.0	79293178.0
qc_output | SRR8668774_filtered	52207651.0	78076307.0
