Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
qc_output | SRR8668755	(1.0, 25.3392011232001)	(2.0, 9.276995121041665)	(3.0, 4.602145134416995)	(4.0, 2.866206656283612)	(5.0, 2.076317451528102)	(6.0, 1.7121592556853855)	(7.0, 1.4228917571956536)	(8.0, 1.1743001755054194)	(9.0, 1.036045167828543)	('>10', 11.2799998867379)	('>50', 3.28908687254469)	('>100', 7.4621716540576175)	('>500', 2.87840339900167)	('>1k', 6.706225657340805)	('>5k', 3.4551448859491636)	('>10k+', 15.422705801682406)
qc_output | SRR8668755_filtered	(1.0, 24.98824002579392)	(2.0, 9.29352112131658)	(3.0, 4.626879264069077)	(4.0, 2.8940852025961905)	(5.0, 2.0866306722330523)	(6.0, 1.7158489988944252)	(7.0, 1.4413916125896467)	(8.0, 1.1851634912792934)	(9.0, 1.0449876706627224)	('>10', 11.32276508223987)	('>50', 3.3152653650021504)	('>100', 7.483616316741459)	('>500', 2.884509537263146)	('>1k', 6.735182670559158)	('>5k', 3.4708357426348297)	('>10k+', 15.511077226124515)
qc_output | SRR8668756	(1.0, 30.17012220175449)	(2.0, 10.878653355762651)	(3.0, 6.080062897516261)	(4.0, 3.8161429089174734)	(5.0, 2.712320438166772)	(6.0, 2.236166601856068)	(7.0, 1.7549934605739261)	(8.0, 1.486673846526168)	(9.0, 1.2521388363745098)	('>10', 13.714212284754627)	('>50', 3.741099525431219)	('>100', 7.665235582054273)	('>500', 2.4546018426334952)	('>1k', 3.5654757887096182)	('>5k', 1.315957390735216)	('>10k+', 7.1561430382335836)
qc_output | SRR8668756_filtered	(1.0, 29.4014106166025)	(2.0, 11.129640155888278)	(3.0, 6.222284193383959)	(4.0, 3.920020568852685)	(5.0, 2.79367210321771)	(6.0, 2.2833976008604266)	(7.0, 1.7873622263697204)	(8.0, 1.5255419570665598)	(9.0, 1.2844882998019704)	('>10', 14.056100577095707)	('>50', 3.827772972639165)	('>100', 7.806625787476344)	('>500', 2.509228347480255)	('>1k', 3.5753337767655853)	('>5k', 1.3209856694749984)	('>10k+', 6.556135147024245)
qc_output | SRR8668757	(1.0, 32.13621950114658)	(2.0, 13.479173993884913)	(3.0, 6.19679121271643)	(4.0, 3.575114894008408)	(5.0, 2.4233896258538867)	(6.0, 1.6992995654361698)	(7.0, 1.4504060285165097)	(8.0, 1.139950333765217)	(9.0, 1.0095697441670066)	('>10', 10.50775338030502)	('>50', 2.924906420670553)	('>100', 5.988829008347356)	('>500', 2.0164439036516364)	('>1k', 4.190595420753924)	('>5k', 2.092497839660322)	('>10k+', 9.169059127115807)
qc_output | SRR8668757_filtered	(1.0, 31.84525554785934)	(2.0, 13.529420071861395)	(3.0, 6.205583808797433)	(4.0, 3.5951402855070427)	(5.0, 2.4310632094124145)	(6.0, 1.7136764262445228)	(7.0, 1.4591100360357563)	(8.0, 1.1438847483430594)	(9.0, 1.0212980069265283)	('>10', 10.55598230635523)	('>50', 2.9386776071917606)	('>100', 6.012334034187742)	('>500', 2.0310697276965026)	('>1k', 4.2055949124180385)	('>5k', 2.0963395098365876)	('>10k+', 9.215569761326988)
qc_output | SRR8668758	(1.0, 41.849756274920416)	(2.0, 10.492465505623612)	(3.0, 5.050928801882324)	(4.0, 3.120235256368464)	(5.0, 2.1507401545017304)	(6.0, 1.608942813445665)	(7.0, 1.1977188223285493)	(8.0, 1.0319273051740256)	(9.0, 0.890407878126909)	('>10', 9.67210354610408)	('>50', 3.2450161972904366)	('>100', 5.895100960107277)	('>500', 1.791004001957391)	('>1k', 4.488961534546871)	('>5k', 2.0607974641676545)	('>10k+', 5.4538934834546176)
qc_output | SRR8668758_filtered	(1.0, 41.19245846438071)	(2.0, 10.834553999331778)	(3.0, 5.238579035831815)	(4.0, 3.19641085735739)	(5.0, 2.2258812024953394)	(6.0, 1.6579544337480816)	(7.0, 1.2522179343982045)	(8.0, 1.0588504679074475)	(9.0, 0.9122555074361308)	('>10', 9.915369008807927)	('>50', 3.335702157896475)	('>100', 6.042720804878703)	('>500', 1.8045288426056825)	('>1k', 4.497894471545052)	('>5k', 2.047864895648189)	('>10k+', 4.786757915731058)
qc_output | SRR8668759	(1.0, 41.325030711054545)	(2.0, 9.710031858611776)	(3.0, 3.788966367262573)	(4.0, 2.0967127724695027)	(5.0, 1.3935279349875949)	(6.0, 1.0257095523818074)	(7.0, 0.8412794547388396)	(8.0, 0.721652370244317)	(9.0, 0.5995198285783832)	('>10', 7.486858410482091)	('>50', 2.574282612047067)	('>100', 6.329216237708504)	('>500', 3.3981346717856664)	('>1k', 7.42196866215197)	('>5k', 2.334826012067885)	('>10k+', 8.952282543427465)
qc_output | SRR8668759_filtered	(1.0, 44.97108282649787)	(2.0, 11.430551084265492)	(3.0, 4.4083771175963244)	(4.0, 2.3591488806288354)	(5.0, 1.5619597159534349)	(6.0, 1.1361835836983152)	(7.0, 0.921816550086225)	(8.0, 0.7775953066216862)	(9.0, 0.6563137563254231)	('>10', 8.14024451975095)	('>50', 2.762022946032579)	('>100', 6.85161337613646)	('>500', 3.4258297799837862)	('>1k', 7.17487085798524)	('>5k', 2.5688473874791375)	('>10k+', 0.8535423109582588)
qc_output | SRR8668769	(1.0, 19.34767765234811)	(2.0, 8.537475435100406)	(3.0, 4.70052536353266)	(4.0, 3.269684337326816)	(5.0, 2.434878386694671)	(6.0, 1.9378703780610458)	(7.0, 1.6008010659414702)	(8.0, 1.431024780159499)	(9.0, 1.1907401701445424)	('>10', 14.78736649406358)	('>50', 4.7686725657789495)	('>100', 10.60113239349042)	('>500', 3.9070046738728728)	('>1k', 6.399024693651323)	('>5k', 2.1240323247425064)	('>10k+', 12.962089285091091)
qc_output | SRR8668769_filtered	(1.0, 19.02191972476621)	(2.0, 8.577646785448223)	(3.0, 4.727351324417052)	(4.0, 3.289458905494665)	(5.0, 2.4412086272501274)	(6.0, 1.9473215236955925)	(7.0, 1.604561261068235)	(8.0, 1.4420693830958924)	(9.0, 1.1857968933557346)	('>10', 14.84278933279126)	('>50', 4.792120659580585)	('>100', 10.638026522972247)	('>500', 3.9191042399854874)	('>1k', 6.428980250768812)	('>5k', 2.118727259442963)	('>10k+', 13.022917305866844)
qc_output | SRR8668771	(1.0, 27.639206373747033)	(2.0, 9.175008840662127)	(3.0, 4.403008797808701)	(4.0, 2.8416042020309953)	(5.0, 2.063312725168794)	(6.0, 1.675904639205101)	(7.0, 1.3545046451486622)	(8.0, 1.0743258079375246)	(9.0, 0.9768384787156531)	('>10', 10.356405019618787)	('>50', 3.163104196540964)	('>100', 6.6705096947378255)	('>500', 2.647042601715634)	('>1k', 7.929255876029038)	('>5k', 4.592512111900456)	('>10k+', 13.437455989032632)
qc_output | SRR8668771_filtered	(1.0, 27.407518095677087)	(2.0, 9.205785431504028)	(3.0, 4.414739051524999)	(4.0, 2.842788060209593)	(5.0, 2.0767700175018526)	(6.0, 1.6826985252333813)	(7.0, 1.3574407196776146)	(8.0, 1.0813995044457672)	(9.0, 0.9760010616710486)	('>10', 10.380263311948678)	('>50', 3.177147099671357)	('>100', 6.691797451286946)	('>500', 2.6542822322906137)	('>1k', 7.95180833224954)	('>5k', 4.61043899894725)	('>10k+', 13.489122106160325)
qc_output | SRR8668772	(1.0, 28.59202952386316)	(2.0, 9.503904796075261)	(3.0, 4.681282382882522)	(4.0, 3.0557955856633687)	(5.0, 2.231302275324926)	(6.0, 1.8096113509041598)	(7.0, 1.5046504022343001)	(8.0, 1.2022211612883207)	(9.0, 0.9850002719997277)	('>10', 11.650893271293949)	('>50', 3.407009627093676)	('>100', 7.047983995945646)	('>500', 2.7229564362282557)	('>1k', 6.995955700061539)	('>5k', 3.2793365218774797)	('>10k+', 11.330066697263833)
qc_output | SRR8668772_filtered	(1.0, 28.221327455704888)	(2.0, 9.551758043270986)	(3.0, 4.71043976812772)	(4.0, 3.0733371675439525)	(5.0, 2.226381405956686)	(6.0, 1.830325818373094)	(7.0, 1.509647326856007)	(8.0, 1.2101250645332446)	(9.0, 0.9878707190052363)	('>10', 11.709736796650025)	('>50', 3.432179866091244)	('>100', 7.086544910308038)	('>500', 2.7384580250516892)	('>1k', 7.032568499326181)	('>5k', 3.28646479272043)	('>10k+', 11.392834340480746)
qc_output | SRR8668773	(1.0, 28.29231768843416)	(2.0, 9.43488899359905)	(3.0, 4.952164642936776)	(4.0, 3.464823344655522)	(5.0, 2.5455249813194243)	(6.0, 1.9583389005048537)	(7.0, 1.6792120710475298)	(8.0, 1.4129013044004637)	(9.0, 1.194399053663019)	('>10', 13.693015668672114)	('>50', 4.157009405091336)	('>100', 8.619434577624714)	('>500', 2.9645066975059895)	('>1k', 4.952339786667338)	('>5k', 1.5664284920070048)	('>10k+', 9.112694391870747)
qc_output | SRR8668773_filtered	(1.0, 27.918134911422683)	(2.0, 9.482494581911913)	(3.0, 4.978998279891122)	(4.0, 3.4839016468791817)	(5.0, 2.565118590314101)	(6.0, 1.9638741043999133)	(7.0, 1.681839541965741)	(8.0, 1.4233894508898886)	(9.0, 1.2010546658127332)	('>10', 13.750974960147328)	('>50', 4.18905983155293)	('>100', 8.68098773611284)	('>500', 2.9714987483286315)	('>1k', 4.97729966085803)	('>5k', 1.5646264235735305)	('>10k+', 9.166746865939523)
qc_output | SRR8668774	(1.0, 32.02376951844296)	(2.0, 8.556571835906375)	(3.0, 4.378806865749367)	(4.0, 2.8614169103043263)	(5.0, 2.1904876412624765)	(6.0, 1.7568585819224543)	(7.0, 1.4944061990362365)	(8.0, 1.2586457464201184)	(9.0, 1.1514595196894224)	('>10', 13.842116479702076)	('>50', 3.9250076730605974)	('>100', 7.112100437962411)	('>500', 2.2367471797826366)	('>1k', 4.361273312755431)	('>5k', 1.9237788665918372)	('>10k+', 10.926553231411154)
qc_output | SRR8668774_filtered	(1.0, 31.313510196723755)	(2.0, 8.785117997546953)	(3.0, 4.484486310558773)	(4.0, 2.9383200705002404)	(5.0, 2.2666560798803683)	(6.0, 1.7948516999317348)	(7.0, 1.5527931490233693)	(8.0, 1.2885061850913422)	(9.0, 1.2009982496264713)	('>10', 14.175676171946874)	('>50', 4.003797209415565)	('>100', 7.2782309592437935)	('>500', 2.295726367293674)	('>1k', 4.418145884373925)	('>5k', 1.9615826646555385)	('>10k+', 10.241600804187643)
