Sample	kallisto-percent_aligned	kallisto-pseudoaligned_reads	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	fastp-pct_adapter
kallisto_output | SRR8668755_filtered	52.974755459883596	47.34955													
kallisto_output | SRR8668756_filtered	69.12583337484074	57.039451													
kallisto_output | SRR8668757_filtered	48.94126426729336	46.298874999999995													
kallisto_output | SRR8668758_filtered	63.154493088321765	18.376282													
kallisto_output | SRR8668759_filtered	58.15449630602293	2.549667													
kallisto_output | SRR8668769_filtered	67.90830976733116	63.664874999999995													
kallisto_output | SRR8668771_filtered	52.34775948079843	33.581752													
kallisto_output | SRR8668772_filtered	54.636167844110915	37.02636													
kallisto_output | SRR8668773_filtered	65.777491728299	45.749095999999994													
kallisto_output | SRR8668774_filtered	58.875157139453805	76.70488499999999													
qc_output | SRR8668755			62.547799999999995	92.6996	6159.996266	89.38134699999999	50.470099999999995	99.39946855559435	65.89399718245215	50.0	74.47977032774406	75	30.0	89.921353	
qc_output | SRR8668755_filtered									66.21103446577959	50.0	74.09595200551185	74	30.0	89.38134699999999	
qc_output | SRR8668756			54.62200000000001	89.5602	5449.4903079999995	82.51539	47.9535	97.67001044164	59.05638296198224	48.0	74.27136176491946	75	20.0	84.48385499999999	3.1019299486274625
qc_output | SRR8668756_filtered									59.56783232724236	47.0	73.51793423020845	74	30.0	82.51539	
qc_output | SRR8668757			53.4626	93.695	6590.257403	94.60089699999999	47.902899999999995	99.46455562123495	56.27171289620192	47.0	74.47828267220119	75	20.0	95.110159	
qc_output | SRR8668757_filtered									56.5200061870371	47.0	74.1180118672659	74	20.0	94.60089699999999	
qc_output | SRR8668758			38.9706	86.8993	1823.0909589999999	29.097347	49.1943	96.47156403847424	48.73720826058155	49.0	72.73567113313266	75	10.0	30.161579	2.896744895219179
qc_output | SRR8668758_filtered									49.0895682625402	49.0	71.91206619283882	74	10.0	29.097347	
qc_output | SRR8668759			40.792899999999996	90.1229	284.754377	4.3842989999999995	56.120099999999994	82.35278096367972	50.82794296566836	57.0	72.67510869111962	75	40.0	5.323802	10.88370679450513
qc_output | SRR8668759_filtered									45.931404043974254	56.0	71.84133096305703	74	10.0	4.3842989999999995	
qc_output | SRR8668769			68.5126	94.48	6589.942067999999	93.751229	53.70890000000001	99.4691831640466	71.71708122692716	53.0	74.49919337120164	75	30.0	94.251532	
qc_output | SRR8668769_filtered									72.00104250923692	53.0	74.1281962767656	74	30.0	93.751229	
qc_output | SRR8668771			60.9629	94.52120000000001	4511.8832059999995	64.151269	52.6741	99.55728843714863	63.81019030990686	52.0	74.51151436024564	75	30.0	64.436537	
qc_output | SRR8668771_filtered									64.0157896089973	52.0	74.15054618015428	74	20.0	64.151269	
qc_output | SRR8668772			59.3155	94.9144	4783.175867999999	67.76895499999999	50.903	99.39725496248117	62.37434087264336	50.0	74.46793996753237	75	30.0	68.179906	
qc_output | SRR8668772_filtered									62.698812387066695	50.0	74.11754378535127	74	30.0	67.76895499999999	
qc_output | SRR8668773			59.3568	95.0067	4914.105305	69.551293	50.8608	99.38721170867333	62.23118774864832	50.0	74.46369312611812	75	30.0	69.98012299999999	
qc_output | SRR8668773_filtered									62.55664827516159	50.0	74.11724582172756	74	30.0	69.551293	
qc_output | SRR8668774			56.1149	90.7394	8671.655061	130.28395799999998	48.9982	97.6729709300393	59.44554091232145	49.0	73.84977352599223	75	30.0	133.387934	3.2347123691112873
qc_output | SRR8668774_filtered									59.92779791914405	48.0	73.13790367805682	74	30.0	130.28395799999998	
