Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
kallisto_output | SRR8668755_filtered	89381347.0	47349550.0	42031797.0	52.974755459883596
kallisto_output | SRR8668756_filtered	82515390.0	57039451.0	25475939.0	69.12583337484074
kallisto_output | SRR8668757_filtered	94600897.0	46298875.0	48302022.0	48.94126426729336
kallisto_output | SRR8668758_filtered	29097347.0	18376282.0	10721065.0	63.154493088321765
kallisto_output | SRR8668759_filtered	4384299.0	2549667.0	1834632.0	58.15449630602293
kallisto_output | SRR8668769_filtered	93751229.0	63664875.0	30086354.0	67.90830976733116
kallisto_output | SRR8668771_filtered	64151269.0	33581752.0	30569517.0	52.34775948079843
kallisto_output | SRR8668772_filtered	67768955.0	37026360.0	30742595.0	54.636167844110915
kallisto_output | SRR8668773_filtered	69551293.0	45749096.0	23802197.0	65.777491728299
kallisto_output | SRR8668774_filtered	130283958.0	76704885.0	53579073.0	58.875157139453805
