Module	Section	Sample Name	Source
Kallisto	all_sections	kallisto_output | SRR8668769_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/CL08.log
Kallisto	all_sections	kallisto_output | SRR8668758_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/HS04.log
Kallisto	all_sections	kallisto_output | SRR8668772_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/CL11.log
Kallisto	all_sections	kallisto_output | SRR8668757_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/HS03.log
Kallisto	all_sections	kallisto_output | SRR8668774_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/CL13.log
Kallisto	all_sections	kallisto_output | SRR8668756_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/HS02.log
Kallisto	all_sections	kallisto_output | SRR8668771_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/CL10.log
Kallisto	all_sections	kallisto_output | SRR8668773_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/CL12.log
Kallisto	all_sections	kallisto_output | SRR8668755_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/HS01.log
Kallisto	all_sections	kallisto_output | SRR8668759_filtered	/home/adnan_raza/rnaseq_analysis/kallisto_output/HS05.log
fastp	all_sections	qc_output | SRR8668771	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668771_fast.json
fastp	all_sections	qc_output | SRR8668758	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668758_fast.json
fastp	all_sections	qc_output | SRR8668759	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668759_fast.json
fastp	all_sections	qc_output | SRR8668756	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668756_fast.json
fastp	all_sections	qc_output | SRR8668772	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668772_fast.json
fastp	all_sections	qc_output | SRR8668769	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668769_fast.json
fastp	all_sections	qc_output | SRR8668774	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668774_fast.json
fastp	all_sections	qc_output | SRR8668755	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668755_fast.json
fastp	all_sections	qc_output | SRR8668757	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668757_fast.json
fastp	all_sections	qc_output | SRR8668773	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668773_fast.json
FastQC	all_sections	qc_output | SRR8668757	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668757_fastqc.zip
FastQC	all_sections	qc_output | SRR8668772	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668772_fastqc.zip
FastQC	all_sections	qc_output | SRR8668773	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668773_fastqc.zip
FastQC	all_sections	qc_output | SRR8668758	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668758_fastqc.zip
FastQC	all_sections	qc_output | SRR8668774_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668774_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668771_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668771_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668769	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668769_fastqc.zip
FastQC	all_sections	qc_output | SRR8668772_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668772_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668756	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668756_fastqc.zip
FastQC	all_sections	qc_output | SRR8668771	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668771_fastqc.zip
FastQC	all_sections	qc_output | SRR8668759_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668759_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668769_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668769_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668757_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668757_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668773_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668773_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668774	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668774_fastqc.zip
FastQC	all_sections	qc_output | SRR8668755	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668755_fastqc.zip
FastQC	all_sections	qc_output | SRR8668755_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668755_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668756_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668756_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668758_filtered	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668758_filtered_fastqc.zip
FastQC	all_sections	qc_output | SRR8668759	/home/adnan_raza/rnaseq_analysis/qc_output/SRR8668759_fastqc.zip
